,div,bu,date,overtime (hours),occupancy,online time,month,year
0,WISE,WISE,2019-03-01,28.25,0.85,0.67,March,2019
1,WISE,WISE,2019-04-01,24.16666667,0.82,0.66,April,2019
2,WISE,WISE,2019-05-01,18.0,0.79,0.61,May,2019
3,WISE,WISE,2019-06-01,17.5,0.82,0.56,June,2019
4,WISE,WISE,2019-07-01,21.75,0.82,0.67,July,2019
5,WISE,WISE,2019-08-01,7.5,0.8,0.65,August,2019
6,WISE,WISE,2019-09-01,3.5,0.81,0.65,September,2019
7,WISE,WISE,2019-10-01,4.75,0.79,0.65,October,2019
8,WISE,WISE,2020-03-01,25.5,0.87,0.64,March,2020
9,WISE,WISE,2020-04-01,21.75,0.92,0.67,April,2020
10,WISE,WISE,2020-05-01,24.75,0.92,0.66,May,2020
11,WISE,WISE,2020-06-01,20.5,0.92,0.64,June,2020
12,WISE,WISE,2020-07-01,24.0,0.9,0.63,July,2020
13,WISE,WISE,2020-08-01,24.0,0.89,0.62,August,2020
14,WISE,WISE,2020-09-01,18.58333333,0.87,0.56,September,2020
15,WISE,WISE,2020-10-01,22.0,0.83,0.62,October,2020
16,WISE,WISE,2020-11-01,2.5,0.83,0.66,November,2020
17,College Savings,CS - Direct Sold,2019-03-01,2.75,0.54,0.63,March,2019
18,College Savings,CS - Direct Sold,2019-04-01,2.25,0.51,0.63,April,2019
19,College Savings,CS - Direct Sold,2019-05-01,13.0,0.53,0.57,May,2019
20,College Savings,CS - Direct Sold,2019-06-01,11.75,0.43,0.57,June,2019
21,College Savings,CS - Direct Sold,2019-07-01,11.25,0.55,0.64,July,2019
22,College Savings,CS - Direct Sold,2019-08-01,22.25,0.59,0.59,August,2019
23,College Savings,CS - Direct Sold,2019-09-01,14.0,0.49,0.55,September,2019
24,College Savings,CS - Direct Sold,2019-10-01,11.5,0.55,0.49,October,2019
25,College Savings,CS - Direct Sold,2020-03-01,3.25,0.52,0.49,March,2020
26,College Savings,CS - Direct Sold,2020-04-01,0.0,0.46,0.57,April,2020
27,College Savings,CS - Direct Sold,2020-05-01,3.5,0.52,0.59,May,2020
