,div,bu,ot,occupancy,online_time,month,year
0,WISE,WISE,24.16666667,0.82,0.66,4,2019
1,WISE,WISE,18.0,0.79,0.61,5,2019
2,WISE,WISE,17.5,0.82,0.56,6,2019
3,WISE,WISE,21.75,0.82,0.67,7,2019
4,WISE,WISE,7.5,0.8,0.65,8,2019
5,WISE,WISE,3.5,0.81,0.65,9,2019
6,WISE,WISE,4.75,0.79,0.65,10,2019
7,WISE,WISE,25.5,0.87,0.64,3,2020
8,WISE,WISE,21.75,0.92,0.67,4,2020
9,WISE,WISE,24.75,0.92,0.66,5,2020
10,WISE,WISE,20.5,0.92,0.64,6,2020
11,WISE,WISE,24.0,0.9,0.63,7,2020
12,WISE,WISE,24.0,0.89,0.62,8,2020
13,WISE,WISE,18.58333333,0.87,0.56,9,2020
14,WISE,WISE,22.0,0.83,0.62,10,2020
16,College Savings,CS - Direct Sold,2.75,0.54,0.63,3,2019
17,College Savings,CS - Direct Sold,2.25,0.51,0.63,4,2019
18,College Savings,CS - Direct Sold,13.0,0.53,0.57,5,2019
19,College Savings,CS - Direct Sold,11.75,0.43,0.57,6,2019
20,College Savings,CS - Direct Sold,11.25,0.55,0.64,7,2019
21,College Savings,CS - Direct Sold,22.25,0.59,0.59,8,2019
22,College Savings,CS - Direct Sold,14.0,0.49,0.55,9,2019
23,College Savings,CS - Direct Sold,11.5,0.55,0.49,10,2019
24,College Savings,CS - Direct Sold,3.25,0.52,0.49,3,2020
25,College Savings,CS - Direct Sold,0.0,0.46,0.57,4,2020
26,College Savings,CS - Direct Sold,3.5,0.52,0.59,5,2020
27,College Savings,CS - Direct Sold,3.25,0.47,0.61,6,2020
28,College Savings,CS - Direct Sold,14.25,0.57,0.65,7,2020
29,College Savings,CS - Direct Sold,24.0,0.58,0.66,8,2020
30,College Savings,CS - Direct Sold,6.583333333,0.46,0.61,9,2020
31,College Savings,CS - Direct Sold,7.75,0.51,0.57,10,2020
33,College Savings,CS - Intermediary,2.75,0.66,0.63,3,2019
34,College Savings,CS - Intermediary,2.25,0.66,0.63,4,2019
35,College Savings,CS - Intermediary,13.0,0.66,0.57,5,2019
36,College Savings,CS - Intermediary,11.75,0.69,0.57,6,2019
37,College Savings,CS - Intermediary,24.25,0.73,0.67,7,2019
38,College Savings,CS - Intermediary,30.5,0.78,0.61,8,2019
39,College Savings,CS - Intermediary,16.75,0.68,0.59,9,2019
40,College Savings,CS - Intermediary,16.0,0.67,0.54,10,2019
41,College Savings,CS - Intermediary,1.25,0.67,0.59,3,2020
42,College Savings,CS - Intermediary,0.0,0.66,0.6,4,2020
43,College Savings,CS - Intermediary,1.5,0.66,0.62,5,2020
44,College Savings,CS - Intermediary,4.5,0.7,0.64,6,2020
45,College Savings,CS - Intermediary,24.0,0.64,0.71,7,2020
46,College Savings,CS - Intermediary,25.5,0.66,0.73,8,2020
47,College Savings,CS - Intermediary,5.0,0.58,0.68,9,2020
48,College Savings,CS - Intermediary,8.0,0.52,0.63,10,2020
50,RPS,Client Transactions,21.81666667,,0.83,3,2019
51,RPS,Client Transactions,12.63333333,,0.78,4,2019
52,RPS,Client Transactions,3.666666667,,0.78,5,2019
53,RPS,Client Transactions,3.016666667,,0.78,6,2019
54,RPS,Client Transactions,8.55,,0.77,7,2019
55,RPS,Client Transactions,2.983333333,,0.83,8,2019
56,RPS,Client Transactions,6.05,,0.82,9,2019
57,RPS,Client Transactions,3.233333333,,0.86,10,2019
58,RPS,Client Transactions,4.1,,0.9,3,2020
59,RPS,Client Transactions,1.733333333,,0.89,4,2020
60,RPS,Client Transactions,3.516666667,,0.91,5,2020
61,RPS,Client Transactions,5.083333333,,0.91,6,2020
62,RPS,Client Transactions,5.133333333,,0.91,7,2020
63,RPS,Client Transactions,2.166666667,,0.89,8,2020
64,RPS,Client Transactions,8.233333333,,0.94,9,2020
65,RPS,Client Transactions,3.916666667,,0.92,10,2020
67,RPS,Participant Transactions,48.91666667,,0.77,3,2019
68,RPS,Participant Transactions,38.78333333,,0.71,4,2019
69,RPS,Participant Transactions,40.98333333,,0.74,5,2019
70,RPS,Participant Transactions,35.66666667,,0.75,6,2019
71,RPS,Participant Transactions,38.55,,0.78,7,2019
72,RPS,Participant Transactions,29.31666667,,0.78,8,2019
73,RPS,Participant Transactions,19.91666667,,0.69,9,2019
74,RPS,Participant Transactions,19.18333333,,0.75,10,2019
75,RPS,Participant Transactions,22.2,,0.79,3,2020
76,RPS,Participant Transactions,30.86666667,,0.73,4,2020
77,RPS,Participant Transactions,27.56666667,,0.73,5,2020
78,RPS,Participant Transactions,15.95,,0.76,6,2020
79,RPS,Participant Transactions,13.36666667,,0.79,7,2020
80,RPS,Participant Transactions,12.06666667,,0.77,8,2020
81,RPS,Participant Transactions,17.31666667,,0.74,9,2020
82,RPS,Participant Transactions,16.28333333,,0.76,10,2020
84,II Services and Operations,RAM,24.0,,0.78,3,2019
85,II Services and Operations,RAM,14.0,,0.82,4,2019
86,II Services and Operations,RAM,18.5,,0.68,5,2019
87,II Services and Operations,RAM,15.0,,0.71,6,2019
88,II Services and Operations,RAM,33.25,,0.81,7,2019
89,II Services and Operations,RAM,28.25,,0.82,8,2019
90,II Services and Operations,RAM,34.0,,0.87,9,2019
91,II Services and Operations,RAM,26.5,,0.78,10,2019
92,II Services and Operations,RAM,14.0,,0.82,3,2020
93,II Services and Operations,RAM,0.5,,0.76,4,2020
94,II Services and Operations,RAM,0.5,,0.66,5,2020
95,II Services and Operations,RAM,10.25,,0.74,6,2020
96,II Services and Operations,RAM,22.5,,0.84,7,2020
97,II Services and Operations,RAM,27.5,,0.81,8,2020
98,II Services and Operations,RAM,32.75,,0.74,9,2020
99,II Services and Operations,RAM,6.5,,0.72,10,2020
101,II Services and Operations,RIS,15.0,0.86,0.57,3,2019
102,II Services and Operations,RIS,8.0,0.74,0.6,4,2019
103,II Services and Operations,RIS,1.0,0.74,0.47,5,2019
104,II Services and Operations,RIS,1.0,0.79,0.44,6,2019
105,II Services and Operations,RIS,22.0,0.88,0.48,7,2019
106,II Services and Operations,RIS,19.0,0.88,0.41,8,2019
107,II Services and Operations,RIS,17.5,0.87,0.45,9,2019
108,II Services and Operations,RIS,17.0,0.81,0.43,10,2019
109,II Services and Operations,RIS,21.0,0.87,0.56,3,2020
110,II Services and Operations,RIS,2.5,0.84,0.53,4,2020
111,II Services and Operations,RIS,0.0,0.85,0.51,5,2020
112,II Services and Operations,RIS,0.0,0.89,0.48,6,2020
113,II Services and Operations,RIS,4.0,0.77,0.51,7,2020
114,II Services and Operations,RIS,1.0,0.83,0.44,8,2020
115,II Services and Operations,RIS,10.0,0.8,0.44,9,2020
