BUSINESS UNIT,BUSINESS LINE,ACTIVITY DATE,Sum of AHT,Sum of TOTAL TIME - AHT (sec),Sum of VOLUME - RECEIVED,Sum of CONFORMANCE,Sum of ADHERENCE,Sum of ABANDONMENT RATE,Sum of SERVICE LEVEL,Unplanned Out
RAM,RAM,1/1/2019,1256,1213387,1014,79.15%,75.58%,0.00%,0,0
RAM,RAM,1/2/2019,941,1870982,2012,98.10%,93.69%,19.43%,0,51.5
RAM,RAM,1/3/2019,842,1363789,1667,96.46%,92.01%,26.21%,0,68
RAM,RAM,1/4/2019,812,1803689,2290,93.01%,89.59%,22.01%,0,116.75
RAM,RAM,1/7/2019,829,2377944,2876,99.65%,92.28%,49.30%,0,71.83333333
RAM,RAM,1/8/2019,866,1817732,2123,96.29%,92.07%,67.97%,0,81.08333333
RAM,RAM,1/9/2019,837,1972260,2207,98.95%,95.18%,58.63%,0,51.5
RAM,RAM,1/10/2019,837,1826897,2091,97.69%,92.79%,57.58%,0,32.75
RAM,RAM,1/11/2019,813,1861071,2487,95.62%,92.50%,23.72%,0,47.25
RAM,RAM,1/14/2019,828,1816380,2134,94.70%,91.93%,66.54%,0,81.25
RAM,RAM,1/15/2019,787,1663325,1827,92.09%,90.01%,62.07%,0,49.16666667
RAM,RAM,1/16/2019,773,1729661,1793,94.74%,90.63%,38.37%,0,74.33333333
RAM,RAM,1/17/2019,866,1722144,1651,100.77%,94.14%,21.26%,0,70.61666667
RAM,RAM,1/18/2019,972,1683447,1840,85.54%,91.92%,24.89%,0,85
RAM,RAM,1/21/2019,790,1325463,1551,64.80%,92.70%,38.62%,0,36
RAM,RAM,1/22/2019,947,1444775,1690,95.01%,92.08%,45.15%,0,71.25
RAM,RAM,1/23/2019,873,1512561,1389,96.92%,93.60%,30.24%,0,51.25
RAM,RAM,1/24/2019,983,1450186,1514,94.89%,93.86%,30.38%,0,78.16666667
RAM,RAM,1/25/2019,873,1454947,1480,98.56%,94.01%,18.45%,0,50.5
RAM,RAM,1/28/2019,914,2001516,2013,96.31%,92.76%,33.28%,0,31
RAM,RAM,1/29/2019,847,1260267,1228,95.47%,90.64%,33.39%,0,74.25
RAM,RAM,1/30/2019,870,1622000,1806,97.08%,94.47%,19.44%,0,55
RAM,RAM,1/31/2019,875,1152093,1221,95.11%,92.46%,20.88%,0,8.333333333
RAM,RAM,2/1/2019,923,1439403,1584,94.25%,91.23%,17.74%,0,36.25
RAM,RAM,2/4/2019,896,1835795,2120,97.48%,90.96%,35.05%,0,69
RAM,RAM,2/5/2019,914,1525206,1450,96.91%,93.79%,36.21%,0,51.08333333
RAM,RAM,2/6/2019,906,1539889,1462,92.13%,89.29%,19.49%,0,26.41666667
RAM,RAM,2/7/2019,925,1301841,1419,95.57%,91.74%,21.07%,0,50
RAM,RAM,2/8/2019,865,1259115,1422,92.96%,89.90%,18.71%,0,68.08333333
RAM,RAM,2/11/2019,890,1915431,2162,95.87%,93.90%,27.71%,0,80.75
RAM,RAM,2/12/2019,1043,1851120,1666,95.95%,93.47%,29.35%,0,37.5
RAM,RAM,2/13/2019,913,1328477,1285,93.27%,90.55%,24.90%,0,18
RAM,RAM,2/14/2019,910,1232024,1271,94.91%,91.25%,18.41%,0,38
RAM,RAM,2/15/2019,924,1380189,1529,84.53%,92.10%,17.85%,0,46.5
RAM,RAM,2/18/2019,822,1189609,1308,98.19%,94.92%,32.03%,0,26.5
RAM,RAM,2/19/2019,933,1482190,1648,93.36%,90.71%,28.88%,0,64.25
RAM,RAM,2/20/2019,882,1145418,1111,92.64%,88.81%,26.10%,0,118.4166667
RAM,RAM,2/21/2019,862,1299606,1475,96.08%,92.85%,17.56%,0,54.5
RAM,RAM,2/22/2019,1037,1456674,1384,93.02%,90.46%,17.20%,0,66
RAM,RAM,2/25/2019,961,1953686,2285,95.59%,93.49%,28.93%,0,96.25
RAM,RAM,2/26/2019,1024,1800906,1640,93.75%,92.51%,33.11%,0,32
RAM,RAM,2/27/2019,970,1430118,1331,101.08%,94.25%,29.90%,0,49.25
RAM,RAM,2/28/2019,1049,1515660,1393,93.82%,91.36%,24.91%,0,29.5
RAM,RAM,3/1/2019,1062,1757136,1705,94.95%,93.10%,23.34%,0,80.33333333
RAM,RAM,3/4/2019,815,2597331,3320,96.24%,93.40%,1.36%,0,61.25
RAM,RAM,3/5/2019,1028,2460334,2331,95.47%,92.39%,24.11%,0,19.25
RAM,RAM,3/6/2019,931,1783847,1784,86.32%,86.69%,24.27%,0,43.75
RAM,RAM,3/7/2019,950,2087769,2224,97.28%,92.08%,20.50%,0,21
RAM,RAM,3/8/2019,952,1892552,1962,94.82%,91.30%,21.92%,0,53.25
RAM,RAM,3/11/2019,810,2620533,3389,95.37%,91.35%,22.96%,0,97
RAM,RAM,3/12/2019,1042,2104621,1758,92.44%,89.71%,29.29%,0,49.25
