campaign,actual_effective_date,original_submit_date,Month,status,volume,volume_per_day,aht,ot_hrs_per_wk,attrition_headcount,new_hire_headcount,service_level,business_days,total_staff_fte,online_production_fte
BRO,8/4/2017 0:00,8/4/2017 0:00,'2017-08,Implemented,9694,421.4782609,596,,1,,,23,29,16
BRO,8/4/2017 0:00,8/4/2017 0:00,'2017-09,Implemented,10626,531.3,602,,1,,,20,29,16
BRO,8/4/2017 0:00,8/4/2017 0:00,'2017-10,Implemented,11252,511.4545455,609,,1,,,22,29,17
BRO,8/4/2017 0:00,8/4/2017 0:00,'2017-11,Implemented,11265,536.4285714,596,,1,,,21,28,16
BRO,8/4/2017 0:00,8/4/2017 0:00,'2017-12,Implemented,12483,624.15,597,,1,,,20,27,15
BRO,10/2/2017 0:00,10/2/2017 0:00,'2017-10,Implemented,11252,511.4545455,609,,1,,,22,39,22
BRO,10/2/2017 0:00,10/2/2017 0:00,'2017-11,Implemented,11265,536.4285714,596,,1,,,21,38,21
BRO,10/2/2017 0:00,10/2/2017 0:00,'2017-12,Implemented,12483,624.15,597,,1,,,20,37,20
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-01,Implemented,9878,470.3809524,613,,1,,,21,36,23
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-02,Implemented,9768,514.1052632,597,,1,,,19,35,21
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-03,Implemented,11277,537,640,,1,,,21,34,20
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-04,Implemented,9650,459.5238095,605,,1,,,21,33,21
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-05,Implemented,8108,352.5217391,571,,1,,,23,32,19
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-06,Implemented,9208,438.4761905,569,,1,,,21,31,17
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-07,Implemented,9046,430.7619048,562,,1,,,21,30,17
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-08,Implemented,9577,416.3913043,598,,1,,,23,52,16
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-09,Implemented,9585,504.4736842,602,,1,,,19,93,15
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-10,Implemented,9353,406.6521739,609,,1,,,23,115,29
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-11,Implemented,10110,481.4285714,596,,1,,,21,134,50
BRO,10/2/2017 0:00,10/2/2017 0:00,'2018-12,Implemented,11758,587.9,603,,1,,,20,143,67
BRO,11/1/2017 0:00,11/1/2017 0:00,'2017-11,Implemented,10815,515,596,,0,,,21,38,24
BRO,11/1/2017 0:00,11/1/2017 0:00,'2017-12,Implemented,11983,599.15,597,,1,,,20,37,28
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-01,Implemented,9878,470.3809524,613,,1,,,21,36,22
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-02,Implemented,9768,514.1052632,597,,0,,,19,37,24
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-03,Implemented,11277,537,640,,1,,,21,36,27
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-04,Implemented,9650,459.5238095,605,,1,,,21,36,21
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-05,Implemented,8108,352.5217391,571,,0,,,23,37,16
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-06,Implemented,9208,438.4761905,569,,0,,,21,38,19
BRO,11/1/2017 0:00,11/1/2017 0:00,'2018-07,Implemented,9046,430.7619048,562,,1,,,21,38,19
