StartInterval,Talk Time,Hold time,After call work,,,
6/18/2020 0:00,,,,,,
6/18/2020 0:30,,,,,,
6/18/2020 1:00,,,,,,
6/18/2020 1:30,,,,,,
6/18/2020 2:00,,,,,,
6/18/2020 2:30,,,,,,
6/18/2020 3:00,,,,,,
6/18/2020 3:30,,,,,,
6/18/2020 4:00,,,,,,
6/18/2020 4:30,,,,,,
6/18/2020 5:00,,,,,,
6/18/2020 5:30,,,,,,
6/18/2020 6:00,,,,,,
6/18/2020 6:30,,,,,,
6/18/2020 7:00,4861,774,943,,,
6/18/2020 7:30,12643,2343,2219,,,
6/18/2020 8:00,40877,4982,15666,,,
6/18/2020 8:30,78065,10798,22823,,,
6/18/2020 9:00,118514,26578,54617,,,
6/18/2020 9:30,165974,27544,86417,,,
6/18/2020 10:00,195675,34538,99259,,,
6/18/2020 10:30,248814,33510,120974,,,
6/18/2020 11:00,240302,34789,108544,,,
6/18/2020 11:30,248431,34666,134149,,,
6/18/2020 12:00,291013,40007,131160,,,
6/18/2020 12:30,283368,42018,104570,,,
6/18/2020 13:00,274360,42026,110738,,,
6/18/2020 13:30,261664,41605,150575,,,
6/18/2020 14:00,318838,41674,151090,,,
6/18/2020 14:30,298847,49262,126434,,,
6/18/2020 15:00,359187,48465,134112,,,
6/18/2020 15:30,303580,42577,139246,,,
6/18/2020 16:00,318719,48125,116980,,,
6/18/2020 16:30,311276,40691,116010,,,
6/18/2020 17:00,248320,41205,83766,,,
6/18/2020 17:30,196267,23554,74406,,,
6/18/2020 18:00,166512,24009,59414,,,
6/18/2020 18:30,135541,21147,49547,,,
6/18/2020 19:00,114645,13221,36383,,,
6/18/2020 19:30,88341,13412,30159,,,
6/19/2020 0:00,,,,,,
6/19/2020 0:30,,,,,,
6/19/2020 1:00,,,,,,
6/19/2020 1:30,,,,,,
6/19/2020 2:00,,,,,,
6/19/2020 2:30,,,,,,
6/19/2020 3:00,,,,,,
6/19/2020 3:30,,,,,,
6/19/2020 4:00,,,,,,
6/19/2020 4:30,,,,,,
6/19/2020 5:00,,,,,,
6/19/2020 5:30,,,,,,
6/19/2020 6:00,,,,,,
6/19/2020 6:30,200,0,3,,,
6/19/2020 7:00,8701,1159,2621,,,
6/19/2020 7:30,12979,1724,7904,,,
6/19/2020 8:00,49118,9335,14025,,,
6/19/2020 8:30,73380,12159,33818,,,
6/19/2020 9:00,111605,16243,51149,,,
6/19/2020 9:30,192976,31457,74825,,,
6/19/2020 10:00,207844,27684,75171,,,
6/19/2020 10:30,262817,38299,104679,,,
6/19/2020 11:00,274358,42316,124546,,,
6/19/2020 11:30,288122,40682,110850,,,
6/19/2020 12:00,292119,43765,129659,,,
6/19/2020 12:30,296994,45300,140933,,,
6/19/2020 13:00,275283,43892,143751,,,
6/19/2020 13:30,278602,40342,133849,,,
6/19/2020 14:00,317636,49842,134080,,,
6/19/2020 14:30,290852,48979,144955,,,
6/19/2020 15:00,305127,49753,230043,,,
6/19/2020 15:30,320841,48028,130947,,,
6/19/2020 16:00,283005,41177,120739,,,
6/19/2020 16:30,243356,34596,120816,,,
6/19/2020 17:00,229377,31097,80381,,,
6/19/2020 17:30,165761,29181,57349,,,
6/19/2020 18:00,155623,22539,60748,,,
6/19/2020 18:30,124943,19570,39402,,,
6/19/2020 19:00,86683,13863,28726,,,
6/19/2020 19:30,69669,9138,16193,,,
6/19/2020 20:00,54508,7013,7643,,,
6/19/2020 20:30,42923,4055,7804,,,
6/19/2020 21:00,23796,1183,2707,,,
6/19/2020 21:30,18732,971,2230,,,
6/19/2020 22:00,12890,2767,1043,,,
6/19/2020 22:30,463,74,413,,,
6/19/2020 23:00,468,90,1699,,,
6/19/2020 23:30,7,0,1,,,
6/20/2020 0:00,,,,,,
6/20/2020 0:30,,,,,,
6/20/2020 1:00,,,,,,
6/20/2020 1:30,,,,,,
6/20/2020 2:00,,,,,,
6/20/2020 2:30,,,,,,
6/20/2020 3:00,,,,,,
6/20/2020 3:30,,,,,,
6/20/2020 4:00,,,,,,
6/20/2020 4:30,,,,,,
6/20/2020 5:00,,,,,,
6/20/2020 5:30,,,,,,
6/20/2020 6:00,,,,,,
6/20/2020 6:30,,,,,,
6/20/2020 7:00,,,,,,
6/20/2020 7:30,,,,,,
6/20/2020 8:00,,,,,,
6/20/2020 8:30,,,,,,
6/20/2020 9:00,,,,,,
6/20/2020 9:30,,,,,,
6/20/2020 10:00,,,,,,
6/20/2020 10:30,,,,,,
6/20/2020 11:00,,,,,,
6/20/2020 11:30,,,,,,
6/20/2020 12:00,,,,,,
6/20/2020 12:30,,,,,,
6/20/2020 13:00,,,,,,
6/20/2020 13:30,,,,,,
6/20/2020 14:00,,,,,,
6/20/2020 14:30,,,,,,
6/20/2020 15:00,,,,,,
6/20/2020 15:30,,,,,,
6/20/2020 16:00,,,,,,
6/20/2020 16:30,,,,,,
6/20/2020 17:00,,,,,,
6/20/2020 17:30,,,,,,
6/20/2020 18:00,,,,,,
6/20/2020 18:30,,,,,,
6/20/2020 19:00,,,,,,
6/20/2020 19:30,,,,,,
6/20/2020 20:00,,,,,,
6/20/2020 20:30,,,,,,
6/20/2020 21:00,,,,,,
6/20/2020 21:30,,,,,,
6/20/2020 22:00,,,,,,
6/20/2020 22:30,,,,,,
6/20/2020 23:00,,,,,,
6/20/2020 23:30,,,,,,
6/21/2020 0:00,,,,,,
6/21/2020 0:30,,,,,,
6/21/2020 1:00,,,,,,
