,date,handle_time,handle_time_forecast,volume,volume_forecast,volume_handled
9868,12/31/2018,,,,,
9891,1/2/2019,,,,,
9905,1/3/2019,,,,,
9919,1/4/2019,,,,,
9951,1/7/2019,,,,,
9965,1/8/2019,,,,,
9979,1/9/2019,,,,,
9993,1/10/2019,,,,,
10007,1/11/2019,,,,,
10039,1/14/2019,,,,,
10053,1/15/2019,,,,,
10067,1/16/2019,,,,,
10081,1/17/2019,,,,,
10095,1/18/2019,,,,,
10127,1/21/2019,,,,,
10141,1/22/2019,,,,,
10155,1/23/2019,,,,,
10169,1/24/2019,,,,,
10183,1/25/2019,,,,,
10193,1/26/2019,,,,,
10216,1/28/2019,,,,,
10230,1/29/2019,,,,,
10244,1/30/2019,,,,,
10258,1/31/2019,,,,,
10272,2/1/2019,,,,,
10282,2/2/2019,,,,,
10305,2/4/2019,,,,,
10319,2/5/2019,,,,,
10333,2/6/2019,,,,,
10347,2/7/2019,,,,,
10361,2/8/2019,,,,,
10393,2/11/2019,,,,,
10407,2/12/2019,,,,,
10421,2/13/2019,,,,,
10435,2/14/2019,,,,,
10449,2/15/2019,,,,,
10490,2/19/2019,,,,,
10504,2/20/2019,,,,,
10518,2/21/2019,,,,,
10532,2/22/2019,,,,,
10564,2/25/2019,,,,,
10578,2/26/2019,,,,,
10592,2/27/2019,,,,,
10606,2/28/2019,,,,,
10620,3/1/2019,,,,,
10652,3/4/2019,,,,,
10666,3/5/2019,,,,,
10680,3/6/2019,,,,,
10694,3/7/2019,,,,,
10708,3/8/2019,,,,,
10740,3/11/2019,,,,,
10754,3/12/2019,,,,,
10768,3/13/2019,,,,,
10782,3/14/2019,,,,,
10796,3/15/2019,,,,,
10828,3/18/2019,,,,,
10842,3/19/2019,,,,,
10856,3/20/2019,,,,,
10870,3/21/2019,,,,,
10884,3/22/2019,,,,,
10916,3/25/2019,,,,,
10930,3/26/2019,,,,,
10944,3/27/2019,,,,,
10958,3/28/2019,,,,,
10972,3/29/2019,,,,,
11004,4/1/2019,,,,,
11018,4/2/2019,,,,,
11032,4/3/2019,,,,,
11046,4/4/2019,,,,,
11060,4/5/2019,,,,,
11092,4/8/2019,,,,,
11106,4/9/2019,,,,,
11120,4/10/2019,,,,,
11134,4/11/2019,,,,,
11148,4/12/2019,,,,,
11158,4/13/2019,,,,,
11181,4/15/2019,,,,,
11195,4/16/2019,,,,,
11209,4/17/2019,,,,,
11223,4/18/2019,,,,,
11264,4/22/2019,,,,,
11278,4/23/2019,,,,,
11292,4/24/2019,,,,,
11306,4/25/2019,,,,,
11320,4/26/2019,,,,,
11330,4/27/2019,,,,,
11340,4/28/2019,,,,,
11354,4/29/2019,,,,,
11368,4/30/2019,,,,,
11382,5/1/2019,,,,,
11396,5/2/2019,,,,,
11410,5/3/2019,,,,,
11442,5/6/2019,,,,,
11456,5/7/2019,,,,,
11470,5/8/2019,,,,,
11484,5/9/2019,,,,,
11498,5/10/2019,,,,,
11530,5/13/2019,,,,,
11544,5/14/2019,,,,,
11558,5/15/2019,,,,,
11572,5/16/2019,,,,,
11586,5/17/2019,,,,,
11618,5/20/2019,,,,,
11632,5/21/2019,,,,,
11646,5/22/2019,,,,,
11660,5/23/2019,,,,,
11674,5/24/2019,,,,,
11715,5/28/2019,,,,,
11729,5/29/2019,,,,,
11743,5/30/2019,,,,,
11757,5/31/2019,,,,,
11767,6/1/2019,,,,,
11777,6/2/2019,,,,,
11791,6/3/2019,,,,,
11805,6/4/2019,,,,,
11819,6/5/2019,,,,,
11833,6/6/2019,,,,,
11847,6/7/2019,,,,,
11879,6/10/2019,,,,,
11893,6/11/2019,,,,,
11907,6/12/2019,,,,,
11921,6/13/2019,,,,,
11935,6/14/2019,,,,,
11967,6/17/2019,,,,,
11981,6/18/2019,,,,,
11995,6/19/2019,,,,,
12009,6/20/2019,,,,,
12023,6/21/2019,,,,,
12055,6/24/2019,,,,,
12069,6/25/2019,,,,,
12083,6/26/2019,,,,,
12097,6/27/2019,,,,,
12111,6/28/2019,,,,,
12139,7/1/2019,,,,,
12149,7/2/2019,,,,,
12159,7/3/2019,,,,,
12178,7/5/2019,,,,,
12206,7/8/2019,,,,,
12216,7/9/2019,,,,,
12226,7/10/2019,,,,,
12236,7/11/2019,,,,,
