,date,handle_time,handle_time_forecast,volume,volume_forecast
1,1/1/2016,0.0,,0.0,0.0
10,1/2/2016,0.0,,0.0,0.0
19,1/3/2016,0.0,,0.0,0.0
28,1/4/2016,92200.0,,161.0,135.0
37,1/5/2016,83691.0,,107.0,98.0
46,1/6/2016,52741.0,,79.0,79.0
55,1/7/2016,61826.0,,92.0,69.0
64,1/8/2016,67190.0,,105.0,72.0
73,1/9/2016,0.0,,0.0,0.0
82,1/10/2016,0.0,,0.0,0.0
91,1/11/2016,100362.0,,153.0,122.0
100,1/12/2016,70692.0,,119.0,96.0
109,1/13/2016,65789.0,,93.0,76.0
118,1/14/2016,68313.0,,118.0,71.0
127,1/15/2016,63400.0,,101.0,73.0
136,1/16/2016,0.0,,0.0,0.0
145,1/17/2016,0.0,,0.0,0.0
154,1/18/2016,21898.0,,45.0,43.0
163,1/19/2016,117698.0,,161.0,106.0
172,1/20/2016,67103.0,,106.0,81.0
181,1/21/2016,47381.0,,82.0,73.0
190,1/22/2016,41178.0,,67.0,70.0
199,1/23/2016,0.0,,0.0,0.0
208,1/24/2016,0.0,,0.0,0.0
217,1/25/2016,62704.0,,109.0,97.0
226,1/26/2016,42722.0,,81.0,88.0
235,1/27/2016,59913.0,,103.0,76.0
244,1/28/2016,50197.0,,72.0,67.0
253,1/29/2016,41452.0,,76.0,67.0
262,1/30/2016,0.0,,0.0,0.0
271,1/31/2016,0.0,,0.0,0.0
280,2/1/2016,56923.0,,114.0,91.0
289,2/2/2016,35018.0,,87.0,70.0
298,2/3/2016,40251.0,,65.0,64.0
307,2/4/2016,30536.0,,68.0,55.0
316,2/5/2016,41611.0,,81.0,56.0
325,2/6/2016,0.0,,0.0,0.0
334,2/7/2016,0.0,,0.0,0.0
343,2/8/2016,25013.0,,60.0,75.0
352,2/9/2016,23426.0,,46.0,59.0
361,2/10/2016,25705.0,,47.0,52.0
370,2/11/2016,34142.0,,61.0,52.0
379,2/12/2016,20425.0,,37.0,49.0
388,2/13/2016,0.0,,0.0,0.0
397,2/14/2016,0.0,,0.0,0.0
406,2/15/2016,12029.0,,20.0,33.0
415,2/16/2016,46014.0,,50.0,77.0
424,2/17/2016,30681.0,,56.0,67.0
433,2/18/2016,24613.0,,44.0,65.0
442,2/19/2016,29012.0,,38.0,62.0
451,2/20/2016,0.0,,0.0,0.0
460,2/21/2016,0.0,,0.0,0.0
469,2/22/2016,28790.0,,53.0,74.0
478,2/23/2016,28083.0,,48.0,64.0
487,2/24/2016,18040.0,,38.0,53.0
496,2/25/2016,23242.0,,36.0,54.0
505,2/26/2016,17931.0,,40.0,50.0
514,2/27/2016,0.0,,0.0,0.0
523,2/28/2016,0.0,,0.0,0.0
532,2/29/2016,31831.0,,51.0,72.0
541,3/1/2016,26266.0,,44.0,55.0
550,3/2/2016,39444.0,,54.0,47.0
559,3/3/2016,23998.0,,39.0,45.0
568,3/4/2016,16177.0,,35.0,46.0
577,3/5/2016,0.0,,0.0,0.0
586,3/6/2016,0.0,,0.0,0.0
595,3/7/2016,29157.0,,55.0,56.0
604,3/8/2016,34946.0,,55.0,46.0
613,3/9/2016,25609.0,,41.0,42.0
622,3/10/2016,24090.0,,39.0,40.0
631,3/11/2016,33687.0,,57.0,40.0
640,3/12/2016,0.0,,0.0,0.0
649,3/13/2016,0.0,,0.0,0.0
658,3/14/2016,29745.0,,59.0,50.0
667,3/15/2016,27685.0,,48.0,41.0
676,3/16/2016,23376.0,,41.0,37.0
685,3/17/2016,25334.0,,43.0,36.0
694,3/18/2016,29634.0,,51.0,36.0
703,3/19/2016,0.0,,0.0,0.0
712,3/20/2016,0.0,,0.0,0.0
721,3/21/2016,35809.0,,69.0,55.0
730,3/22/2016,25362.0,,48.0,51.0
739,3/23/2016,13219.0,,42.0,43.0
748,3/24/2016,25342.0,,43.0,41.0
757,3/25/2016,18406.0,,38.0,30.0
766,3/26/2016,0.0,,0.0,0.0
775,3/27/2016,0.0,,0.0,0.0
784,3/28/2016,39207.0,,67.0,59.0
793,3/29/2016,32558.0,,54.0,42.0
802,3/30/2016,28249.0,,41.0,44.0
811,3/31/2016,19515.0,,34.0,44.0
820,4/1/2016,20343.0,,32.0,42.0
829,4/2/2016,0.0,,0.0,0.0
838,4/3/2016,0.0,,0.0,0.0
847,4/4/2016,26681.0,,51.0,60.0
856,4/5/2016,18034.0,,39.0,52.0
865,4/6/2016,16503.0,,37.0,49.0
