,date,handle_time,handle_time_forecast,volume,volume_forecast
2,1/1/2016,0.0,,0.0,0.0
11,1/2/2016,0.0,,0.0,0.0
20,1/3/2016,0.0,,0.0,0.0
29,1/4/2016,458086.0,,1031.0,1027.0
38,1/5/2016,381149.0,,798.0,748.0
47,1/6/2016,279712.0,,612.0,605.0
56,1/7/2016,265484.0,,578.0,524.0
65,1/8/2016,244487.0,,519.0,552.0
74,1/9/2016,0.0,,0.0,0.0
83,1/10/2016,0.0,,0.0,0.0
92,1/11/2016,436316.0,,874.0,908.0
101,1/12/2016,331064.0,,741.0,712.0
110,1/13/2016,261500.0,,568.0,566.0
119,1/14/2016,243422.0,,588.0,526.0
128,1/15/2016,209226.0,,467.0,539.0
137,1/16/2016,0.0,,0.0,0.0
146,1/17/2016,0.0,,0.0,0.0
155,1/18/2016,90322.0,,201.0,277.0
164,1/19/2016,326009.0,,709.0,692.0
173,1/20/2016,268631.0,,572.0,527.0
182,1/21/2016,218971.0,,557.0,476.0
191,1/22/2016,193265.0,,420.0,454.0
200,1/23/2016,0.0,,0.0,0.0
209,1/24/2016,0.0,,0.0,0.0
218,1/25/2016,270504.0,,594.0,583.0
227,1/26/2016,199275.0,,437.0,527.0
236,1/27/2016,209072.0,,431.0,457.0
245,1/28/2016,209433.0,,438.0,405.0
254,1/29/2016,160762.0,,393.0,401.0
263,1/30/2016,0.0,,0.0,0.0
272,1/31/2016,0.0,,0.0,0.0
281,2/1/2016,244250.0,,571.0,635.0
290,2/2/2016,174100.0,,445.0,488.0
299,2/3/2016,197438.0,,469.0,443.0
308,2/4/2016,177308.0,,376.0,382.0
317,2/5/2016,134933.0,,356.0,389.0
326,2/6/2016,0.0,,0.0,0.0
335,2/7/2016,0.0,,0.0,0.0
344,2/8/2016,193360.0,,423.0,512.0
353,2/9/2016,172289.0,,360.0,407.0
362,2/10/2016,165312.0,,377.0,359.0
371,2/11/2016,144704.0,,365.0,355.0
380,2/12/2016,126716.0,,315.0,334.0
389,2/13/2016,0.0,,0.0,0.0
398,2/14/2016,0.0,,0.0,0.0
407,2/15/2016,60060.0,,143.0,184.0
416,2/16/2016,187227.0,,431.0,423.0
425,2/17/2016,174501.0,,383.0,367.0
434,2/18/2016,155506.0,,379.0,359.0
443,2/19/2016,144688.0,,350.0,341.0
452,2/20/2016,0.0,,0.0,0.0
461,2/21/2016,0.0,,0.0,0.0
470,2/22/2016,167710.0,,421.0,466.0
479,2/23/2016,171551.0,,377.0,402.0
488,2/24/2016,133659.0,,314.0,335.0
497,2/25/2016,157938.0,,358.0,339.0
506,2/26/2016,131602.0,,301.0,317.0
515,2/27/2016,0.0,,0.0,0.0
524,2/28/2016,0.0,,0.0,0.0
533,2/29/2016,168479.0,,395.0,477.0
542,3/1/2016,194331.0,,364.0,363.0
551,3/2/2016,166430.0,,337.0,315.0
560,3/3/2016,136928.0,,306.0,302.0
569,3/4/2016,130704.0,,275.0,308.0
578,3/5/2016,0.0,,0.0,0.0
587,3/6/2016,0.0,,0.0,0.0
596,3/7/2016,159982.0,,376.0,387.0
605,3/8/2016,162166.0,,351.0,321.0
614,3/9/2016,155057.0,,316.0,289.0
623,3/10/2016,125078.0,,290.0,281.0
632,3/11/2016,124143.0,,276.0,275.0
641,3/12/2016,0.0,,0.0,0.0
650,3/13/2016,0.0,,0.0,0.0
659,3/14/2016,168483.0,,377.0,362.0
668,3/15/2016,160951.0,,337.0,298.0
677,3/16/2016,163711.0,,320.0,267.0
686,3/17/2016,128157.0,,262.0,258.0
695,3/18/2016,140529.0,,286.0,260.0
704,3/19/2016,0.0,,0.0,0.0
713,3/20/2016,0.0,,0.0,0.0
722,3/21/2016,165764.0,,371.0,377.0
731,3/22/2016,165177.0,,360.0,351.0
740,3/23/2016,161697.0,,371.0,301.0
749,3/24/2016,142528.0,,310.0,280.0
758,3/25/2016,47454.0,,108.0,205.0
767,3/26/2016,0.0,,0.0,0.0
776,3/27/2016,0.0,,0.0,0.0
785,3/28/2016,208156.0,,457.0,429.0
794,3/29/2016,198627.0,,403.0,308.0
803,3/30/2016,155657.0,,329.0,318.0
812,3/31/2016,133843.0,,315.0,322.0
821,4/1/2016,132853.0,,283.0,306.0
830,4/2/2016,0.0,,0.0,0.0
839,4/3/2016,0.0,,0.0,0.0
848,4/4/2016,191875.0,,394.0,438.0
857,4/5/2016,165320.0,,369.0,375.0
866,4/6/2016,171607.0,,337.0,353.0
875,4/7/2016,167028.0,,351.0,363.0
884,4/8/2016,137771.0,,286.0,387.0
893,4/9/2016,0.0,,0.0,0.0
902,4/10/2016,0.0,,0.0,0.0
911,4/11/2016,243119.0,,504.0,485.0
920,4/12/2016,224137.0,,515.0,418.0
929,4/13/2016,194430.0,,423.0,380.0
938,4/14/2016,186241.0,,414.0,311.0
947,4/15/2016,152673.0,,307.0,339.0
956,4/16/2016,0.0,,0.0,0.0
965,4/17/2016,0.0,,0.0,0.0
974,4/18/2016,197143.0,,442.0,389.0
983,4/19/2016,189220.0,,438.0,359.0
992,4/20/2016,148802.0,,351.0,313.0
1001,4/21/2016,142219.0,,318.0,292.0
1010,4/22/2016,149713.0,,329.0,282.0
1019,4/23/2016,0.0,,0.0,0.0
1028,4/24/2016,0.0,,0.0,0.0
1037,4/25/2016,199974.0,,418.0,445.0
1046,4/26/2016,180572.0,,404.0,361.0
1055,4/27/2016,165031.0,,367.0,329.0
1064,4/28/2016,163117.0,,334.0,325.0
1073,4/29/2016,147574.0,,321.0,292.0
1082,4/30/2016,0.0,,0.0,0.0
1091,5/1/2016,0.0,,0.0,0.0
1100,5/2/2016,177333.0,,414.0,458.0
1109,5/3/2016,192827.0,,419.0,377.0
1118,5/4/2016,136108.0,,317.0,345.0
1127,5/5/2016,145740.0,,323.0,293.0
1136,5/6/2016,135828.0,,296.0,298.0
1145,5/7/2016,0.0,,0.0,0.0
1154,5/8/2016,0.0,,0.0,0.0
1163,5/9/2016,156265.0,,356.0,388.0
1172,5/10/2016,184635.0,,423.0,374.0
1181,5/11/2016,162154.0,,371.0,334.0
1190,5/12/2016,144388.0,,306.0,325.0
1199,5/13/2016,116973.0,,257.0,295.0
1208,5/14/2016,0.0,,0.0,0.0
1217,5/15/2016,0.0,,0.0,0.0
1226,5/16/2016,198308.0,,412.0,422.0
1235,5/17/2016,182080.0,,390.0,384.0
1244,5/18/2016,161538.0,,357.0,341.0
1253,5/19/2016,140357.0,,317.0,304.0
1262,5/20/2016,132360.0,,284.0,284.0
1271,5/21/2016,0.0,,0.0,0.0
1280,5/22/2016,0.0,,0.0,0.0
1289,5/23/2016,186708.0,,388.0,451.0
1298,5/24/2016,177577.0,,390.0,394.0
1307,5/25/2016,140074.0,,307.0,369.0
1316,5/26/2016,150781.0,,342.0,334.0
1325,5/27/2016,115793.0,,245.0,288.0
1334,5/28/2016,0.0,,0.0,0.0
1343,5/29/2016,0.0,,0.0,0.0
1352,5/30/2016,0.0,,0.0,0.0
1361,5/31/2016,187870.0,,402.0,489.0
1370,6/1/2016,193465.0,,385.0,366.0
1379,6/2/2016,159735.0,,322.0,336.0
1388,6/3/2016,123832.0,,296.0,305.0
1397,6/4/2016,0.0,,0.0,0.0
1406,6/5/2016,0.0,,0.0,0.0
1415,6/6/2016,189537.0,,415.0,449.0
1424,6/7/2016,187266.0,,380.0,375.0
1433,6/8/2016,158952.0,,383.0,336.0
1442,6/9/2016,157187.0,,348.0,287.0
1451,6/10/2016,123106.0,,261.0,271.0
1460,6/11/2016,0.0,,0.0,0.0
1469,6/12/2016,0.0,,0.0,0.0
1478,6/13/2016,169145.0,,378.0,477.0
1487,6/14/2016,185449.0,,382.0,422.0
1496,6/15/2016,164051.0,,347.0,343.0
1505,6/16/2016,158427.0,,362.0,330.0
1514,6/17/2016,156425.0,,287.0,302.0
1523,6/18/2016,0.0,,0.0,0.0
1532,6/19/2016,0.0,,0.0,0.0
1541,6/20/2016,207287.0,,400.0,435.0
1550,6/21/2016,194596.0,,414.0,368.0
1559,6/22/2016,171658.0,,399.0,312.0
1568,6/23/2016,165707.0,,356.0,300.0
1577,6/24/2016,145354.0,,296.0,285.0
1586,6/25/2016,0.0,,0.0,0.0
1595,6/26/2016,0.0,,0.0,0.0
1604,6/27/2016,200325.0,,413.0,420.0
1613,6/28/2016,173157.0,,433.0,335.0
1622,6/29/2016,149009.0,,332.0,319.0
1631,6/30/2016,155524.0,,351.0,279.0
1640,7/1/2016,125804.0,,303.0,253.0
1649,7/2/2016,0.0,,0.0,0.0
1658,7/3/2016,0.0,,0.0,0.0
1667,7/4/2016,0.0,,0.0,0.0
1676,7/5/2016,228349.0,,488.0,559.0
1685,7/6/2016,215798.0,,455.0,469.0
1694,7/7/2016,204741.0,,460.0,451.0
1703,7/8/2016,226040.0,,437.0,466.0
1712,7/9/2016,0.0,,0.0,0.0
1721,7/10/2016,0.0,,0.0,0.0
1730,7/11/2016,348015.0,,736.0,897.0
1739,7/12/2016,294807.0,,644.0,639.0
1748,7/13/2016,284620.0,,599.0,559.0
1757,7/14/2016,264654.0,,555.0,462.0
1766,7/15/2016,220414.0,,462.0,474.0
1775,7/16/2016,0.0,,0.0,0.0
1784,7/17/2016,0.0,,0.0,0.0
1793,7/18/2016,343929.0,,733.0,740.0
1802,7/19/2016,329572.0,,672.0,598.0
1811,7/20/2016,292439.0,,610.0,505.0
1820,7/21/2016,283312.0,,570.0,481.0
1829,7/22/2016,257972.0,,522.0,479.0
1838,7/23/2016,0.0,,0.0,0.0
1847,7/24/2016,0.0,,0.0,0.0
1856,7/25/2016,399892.0,,825.0,823.0
1865,7/26/2016,360578.0,,748.0,642.0
1874,7/27/2016,290809.0,,637.0,615.0
1883,7/28/2016,267026.0,,569.0,494.0
1892,7/29/2016,262547.0,,509.0,492.0
1901,7/30/2016,0.0,,0.0,0.0
1910,7/31/2016,0.0,,0.0,0.0
1919,8/1/2016,363237.0,,772.0,808.0
1928,8/2/2016,351208.0,,731.0,704.0
1937,8/3/2016,292370.0,,643.0,642.0
1946,8/4/2016,273998.0,,587.0,610.0
1955,8/5/2016,254887.0,,516.0,497.0
1964,8/6/2016,0.0,,0.0,0.0
1973,8/7/2016,0.0,,0.0,0.0
1982,8/8/2016,383929.0,,815.0,839.0
1991,8/9/2016,309444.0,,665.0,684.0
2000,8/10/2016,254334.0,,564.0,570.0
2009,8/11/2016,253559.0,,564.0,517.0
2018,8/12/2016,220147.0,,504.0,516.0
2027,8/13/2016,0.0,,0.0,0.0
2036,8/14/2016,0.0,,0.0,0.0
2045,8/15/2016,387786.0,,801.0,737.0
2054,8/16/2016,296896.0,,656.0,588.0
2063,8/17/2016,229332.0,,540.0,530.0
2072,8/18/2016,245673.0,,538.0,476.0
2081,8/19/2016,217938.0,,457.0,474.0
2090,8/20/2016,0.0,,0.0,0.0
2099,8/21/2016,0.0,,0.0,0.0
2108,8/22/2016,315569.0,,705.0,771.0
2117,8/23/2016,276736.0,,613.0,578.0
2126,8/24/2016,243964.0,,558.0,532.0
2135,8/25/2016,232687.0,,525.0,481.0
2144,8/26/2016,197487.0,,431.0,489.0
2153,8/27/2016,0.0,,0.0,0.0
2162,8/28/2016,0.0,,0.0,0.0
2171,8/29/2016,272766.0,,584.0,605.0
2180,8/30/2016,235575.0,,526.0,501.0
2189,8/31/2016,206034.0,,492.0,449.0
2198,9/1/2016,188014.0,,430.0,394.0
2207,9/2/2016,158833.0,,348.0,378.0
2216,9/3/2016,0.0,,0.0,0.0
2225,9/4/2016,0.0,,0.0,0.0
2234,9/5/2016,0.0,,0.0,0.0
2243,9/6/2016,237681.0,,532.0,606.0
2252,9/7/2016,228177.0,,517.0,468.0
2261,9/8/2016,187409.0,,423.0,420.0
2270,9/9/2016,175114.0,,410.0,414.0
2279,9/10/2016,0.0,,0.0,0.0
2288,9/11/2016,0.0,,0.0,0.0
2297,9/12/2016,247454.0,,493.0,462.0
2306,9/13/2016,199139.0,,422.0,383.0
2315,9/14/2016,165047.0,,347.0,353.0
2324,9/15/2016,174956.0,,370.0,317.0
2333,9/16/2016,161210.0,,338.0,317.0
2342,9/17/2016,0.0,,0.0,0.0
2351,9/18/2016,0.0,,0.0,0.0
2360,9/19/2016,193856.0,,447.0,417.0
2369,9/20/2016,182975.0,,423.0,383.0
2378,9/21/2016,135415.0,,308.0,318.0
2387,9/22/2016,157291.0,,362.0,290.0
2396,9/23/2016,125412.0,,308.0,297.0
2405,9/24/2016,0.0,,0.0,0.0
2414,9/25/2016,0.0,,0.0,0.0
2423,9/26/2016,176205.0,,389.0,440.0
2432,9/27/2016,175958.0,,407.0,339.0
2441,9/28/2016,157465.0,,385.0,309.0
2450,9/29/2016,157665.0,,334.0,354.0
2459,9/30/2016,120205.0,,267.0,298.0
2468,10/1/2016,0.0,,0.0,0.0
2477,10/2/2016,0.0,,0.0,0.0
2486,10/3/2016,170534.0,,401.0,420.0
2495,10/4/2016,162694.0,,352.0,346.0
2504,10/5/2016,138807.0,,319.0,323.0
2513,10/6/2016,141232.0,,318.0,379.0
2522,10/7/2016,138890.0,,282.0,425.0
2531,10/8/2016,0.0,,0.0,0.0
2540,10/9/2016,0.0,,0.0,0.0
2549,10/10/2016,141815.0,,326.0,444.0
2558,10/11/2016,167887.0,,386.0,395.0
2567,10/12/2016,179659.0,,397.0,381.0
2576,10/13/2016,168695.0,,393.0,346.0
2585,10/14/2016,150756.0,,337.0,321.0
2594,10/15/2016,0.0,,0.0,0.0
2603,10/16/2016,0.0,,0.0,0.0
2612,10/17/2016,191023.0,,454.0,432.0
2621,10/18/2016,200302.0,,440.0,383.0
2630,10/19/2016,167425.0,,371.0,327.0
2639,10/20/2016,149849.0,,341.0,301.0
2648,10/21/2016,115140.0,,273.0,296.0
2657,10/22/2016,0.0,,0.0,0.0
2666,10/23/2016,0.0,,0.0,0.0
2675,10/24/2016,176674.0,,406.0,369.0
2684,10/25/2016,178347.0,,378.0,304.0
2693,10/26/2016,163393.0,,358.0,314.0
