date,handle_time,handle_time_forecast,volume,volume_forecast
1/1/2016,0.0,,0.0,0.0
1/2/2016,0.0,,0.0,0.0
1/3/2016,0.0,,0.0,0.0
1/4/2016,693577.0,,1259.0,954.0
1/5/2016,425054.0,,687.0,694.0
1/6/2016,303202.0,,491.0,562.0
1/7/2016,264589.0,,412.0,486.0
1/8/2016,328339.0,,517.0,512.0
1/9/2016,0.0,,0.0,0.0
1/10/2016,0.0,,0.0,0.0
1/11/2016,552397.0,,925.0,881.0
1/12/2016,370936.0,,597.0,691.0
1/13/2016,292881.0,,472.0,549.0
1/14/2016,226972.0,,429.0,510.0
1/15/2016,278223.0,,480.0,523.0
1/16/2016,0.0,,0.0,0.0
1/17/2016,0.0,,0.0,0.0
1/18/2016,156420.0,,280.0,263.0
1/19/2016,303192.0,,486.0,659.0
1/20/2016,226681.0,,411.0,501.0
1/21/2016,167523.0,,364.0,453.0
1/22/2016,136908.0,,265.0,432.0
1/23/2016,0.0,,0.0,0.0
1/24/2016,0.0,,0.0,0.0
1/25/2016,177634.0,,310.0,539.0
1/26/2016,185826.0,,334.0,487.0
1/27/2016,191157.0,,354.0,423.0
1/28/2016,166440.0,,312.0,374.0
1/29/2016,179691.0,,339.0,371.0
1/30/2016,0.0,,0.0,0.0
1/31/2016,0.0,,0.0,0.0
2/1/2016,276673.0,,569.0,503.0
2/2/2016,178057.0,,406.0,387.0
2/3/2016,146572.0,,293.0,351.0
2/4/2016,134361.0,,266.0,303.0
2/5/2016,111114.0,,267.0,308.0
2/6/2016,0.0,,0.0,0.0
2/7/2016,0.0,,0.0,0.0
2/8/2016,179701.0,,361.0,399.0
2/9/2016,152092.0,,336.0,317.0
2/10/2016,127445.0,,283.0,280.0
2/11/2016,134974.0,,283.0,276.0
2/12/2016,110374.0,,249.0,260.0
2/13/2016,0.0,,0.0,0.0
2/14/2016,0.0,,0.0,0.0
2/15/2016,121986.0,,244.0,152.0
2/16/2016,204327.0,,436.0,350.0
2/17/2016,141201.0,,262.0,304.0
2/18/2016,128412.0,,257.0,297.0
2/19/2016,104096.0,,245.0,282.0
2/20/2016,0.0,,0.0,0.0
2/21/2016,0.0,,0.0,0.0
2/22/2016,189099.0,,403.0,402.0
2/23/2016,130776.0,,292.0,347.0
2/24/2016,101279.0,,219.0,289.0
2/25/2016,106319.0,,216.0,292.0
2/26/2016,116179.0,,251.0,273.0
2/27/2016,0.0,,0.0,0.0
2/28/2016,0.0,,0.0,0.0
2/29/2016,153722.0,,358.0,399.0
3/1/2016,129372.0,,264.0,304.0
3/2/2016,134933.0,,298.0,264.0
3/3/2016,113932.0,,233.0,253.0
3/4/2016,136686.0,,286.0,258.0
3/5/2016,0.0,,0.0,0.0
3/6/2016,0.0,,0.0,0.0
3/7/2016,180810.0,,358.0,318.0
3/8/2016,117891.0,,263.0,264.0
3/9/2016,108024.0,,221.0,237.0
3/10/2016,87794.0,,184.0,231.0
3/11/2016,121551.0,,268.0,226.0
3/12/2016,0.0,,0.0,0.0
3/13/2016,0.0,,0.0,0.0
3/14/2016,181882.0,,368.0,301.0
3/15/2016,110852.0,,234.0,248.0
3/16/2016,129933.0,,247.0,222.0
3/17/2016,101617.0,,195.0,215.0
3/18/2016,126191.0,,257.0,216.0
3/19/2016,0.0,,0.0,0.0
3/20/2016,0.0,,0.0,0.0
3/21/2016,172214.0,,383.0,310.0
3/22/2016,119721.0,,261.0,288.0
3/23/2016,123122.0,,256.0,247.0
3/24/2016,86711.0,,225.0,230.0
3/25/2016,98525.0,,209.0,168.0
3/26/2016,0.0,,0.0,0.0
3/27/2016,0.0,,0.0,0.0
3/28/2016,155202.0,,337.0,321.0
3/29/2016,117913.0,,251.0,230.0
3/30/2016,105305.0,,238.0,238.0
3/31/2016,99657.0,,232.0,241.0
4/1/2016,128359.0,,258.0,229.0
4/2/2016,0.0,,0.0,0.0
4/3/2016,0.0,,0.0,0.0
4/4/2016,168905.0,,390.0,329.0
4/5/2016,117332.0,,254.0,282.0
4/6/2016,133289.0,,267.0,265.0
4/7/2016,164123.0,,319.0,273.0
4/8/2016,176958.0,,322.0,291.0
4/9/2016,0.0,,0.0,0.0
4/10/2016,0.0,,0.0,0.0
4/11/2016,239139.0,,470.0,416.0
4/12/2016,193839.0,,350.0,359.0
4/13/2016,132616.0,,285.0,326.0
4/14/2016,145075.0,,269.0,267.0
4/15/2016,147347.0,,289.0,291.0
4/16/2016,0.0,,0.0,0.0
4/17/2016,0.0,,0.0,0.0
4/18/2016,161900.0,,344.0,348.0
4/19/2016,105321.0,,219.0,321.0
4/20/2016,97123.0,,196.0,280.0
4/21/2016,92909.0,,189.0,261.0
4/22/2016,99420.0,,210.0,253.0
4/23/2016,0.0,,0.0,0.0
4/24/2016,0.0,,0.0,0.0
4/25/2016,164127.0,,299.0,312.0
4/26/2016,128582.0,,221.0,254.0
4/27/2016,104114.0,,216.0,231.0
4/28/2016,89763.0,,186.0,229.0
4/29/2016,112358.0,,202.0,205.0
4/30/2016,0.0,,0.0,0.0
5/1/2016,0.0,,0.0,0.0
5/2/2016,164864.0,,333.0,309.0
5/3/2016,116238.0,,224.0,255.0
5/4/2016,95520.0,,170.0,234.0
5/5/2016,97983.0,,184.0,198.0
5/6/2016,101445.0,,200.0,201.0
5/7/2016,0.0,,0.0,0.0
5/8/2016,0.0,,0.0,0.0
5/9/2016,117970.0,,248.0,270.0
5/10/2016,123326.0,,260.0,260.0
5/11/2016,123929.0,,224.0,233.0
5/12/2016,89364.0,,173.0,226.0
5/13/2016,85568.0,,182.0,205.0
5/14/2016,0.0,,0.0,0.0
5/15/2016,0.0,,0.0,0.0
5/16/2016,160552.0,,310.0,269.0
5/17/2016,129502.0,,256.0,245.0
5/18/2016,119465.0,,224.0,218.0
5/19/2016,85265.0,,162.0,194.0
5/20/2016,101919.0,,201.0,181.0
5/21/2016,0.0,,0.0,0.0
5/22/2016,0.0,,0.0,0.0
5/23/2016,168876.0,,314.0,285.0
5/24/2016,95477.0,,204.0,249.0
5/25/2016,105163.0,,205.0,232.0
5/26/2016,82729.0,,163.0,211.0
5/27/2016,122810.0,,206.0,182.0
5/28/2016,0.0,,0.0,0.0
5/29/2016,0.0,,0.0,0.0
5/30/2016,0.0,,0.0,0.0
5/31/2016,154870.0,,289.0,318.0
6/1/2016,110685.0,,223.0,238.0
6/2/2016,98444.0,,187.0,219.0
6/3/2016,100787.0,,214.0,199.0
6/4/2016,0.0,,0.0,0.0
6/5/2016,0.0,,0.0,0.0
6/6/2016,148358.0,,265.0,289.0
6/7/2016,97411.0,,191.0,241.0
6/8/2016,109085.0,,216.0,216.0
6/9/2016,84477.0,,181.0,184.0
6/10/2016,98859.0,,168.0,174.0
6/11/2016,0.0,,0.0,0.0
6/12/2016,0.0,,0.0,0.0
6/13/2016,131861.0,,260.0,306.0
6/14/2016,116790.0,,204.0,271.0
6/15/2016,96912.0,,192.0,220.0
6/16/2016,81190.0,,151.0,212.0
6/17/2016,101178.0,,202.0,194.0
6/18/2016,0.0,,0.0,0.0
6/19/2016,0.0,,0.0,0.0
6/20/2016,160884.0,,309.0,270.0
6/21/2016,114191.0,,210.0,228.0
6/22/2016,119664.0,,231.0,193.0
6/23/2016,135079.0,,227.0,186.0
6/24/2016,132525.0,,227.0,176.0
6/25/2016,0.0,,0.0,0.0
6/26/2016,0.0,,0.0,0.0
6/27/2016,165526.0,,320.0,289.0
6/28/2016,159597.0,,277.0,230.0
6/29/2016,138476.0,,247.0,219.0
6/30/2016,132364.0,,222.0,192.0
7/1/2016,164151.0,,293.0,174.0
7/2/2016,0.0,,0.0,0.0
7/3/2016,0.0,,0.0,0.0
7/4/2016,0.0,,0.0,0.0
7/5/2016,268694.0,,436.0,384.0
7/6/2016,178379.0,,347.0,322.0
7/7/2016,217301.0,,377.0,310.0
7/8/2016,292999.0,,479.0,320.0
7/9/2016,0.0,,0.0,0.0
7/10/2016,0.0,,0.0,0.0
7/11/2016,472625.0,,779.0,626.0
7/12/2016,345900.0,,595.0,607.0
7/13/2016,293076.0,,495.0,527.0
7/14/2016,293878.0,,480.0,435.0
7/15/2016,278097.0,,498.0,446.0
7/16/2016,0.0,,0.0,0.0
7/17/2016,0.0,,0.0,0.0
7/18/2016,450893.0,,764.0,696.0
7/19/2016,330690.0,,572.0,563.0
7/20/2016,277048.0,,470.0,476.0
7/21/2016,268754.0,,474.0,453.0
7/22/2016,300291.0,,530.0,451.0
7/23/2016,0.0,,0.0,0.0
7/24/2016,0.0,,0.0,0.0
7/25/2016,434398.0,,799.0,766.0
7/26/2016,348344.0,,585.0,597.0
7/27/2016,298472.0,,522.0,572.0
7/28/2016,242689.0,,422.0,460.0
7/29/2016,285080.0,,531.0,458.0
7/30/2016,0.0,,0.0,0.0
7/31/2016,0.0,,0.0,0.0
8/1/2016,555467.0,,837.0,842.0
8/2/2016,373884.0,,616.0,599.0
8/3/2016,343937.0,,510.0,495.0
8/4/2016,299961.0,,480.0,508.0
8/5/2016,284648.0,,501.0,505.0
8/6/2016,0.0,,0.0,0.0
8/7/2016,0.0,,0.0,0.0
8/8/2016,440149.0,,703.0,760.0
8/9/2016,350616.0,,502.0,620.0
8/10/2016,301897.0,,479.0,516.0
8/11/2016,303907.0,,473.0,468.0
8/12/2016,293275.0,,480.0,467.0
8/13/2016,125.0,,6.0,0.0
8/14/2016,0.0,,0.0,0.0
8/15/2016,435730.0,,713.0,667.0
8/16/2016,295512.0,,488.0,533.0
8/17/2016,257905.0,,432.0,480.0
8/18/2016,227986.0,,372.0,431.0
8/19/2016,281172.0,,442.0,429.0
8/20/2016,0.0,,0.0,0.0
8/21/2016,0.0,,0.0,0.0
8/22/2016,343770.0,,601.0,678.0
8/23/2016,260336.0,,434.0,507.0
8/24/2016,227876.0,,364.0,466.0
8/25/2016,209024.0,,323.0,422.0
8/26/2016,233618.0,,381.0,429.0
8/27/2016,0.0,,0.0,0.0
8/28/2016,0.0,,0.0,0.0
8/29/2016,301375.0,,532.0,520.0
8/30/2016,239093.0,,414.0,430.0
8/31/2016,185475.0,,319.0,385.0
9/1/2016,161385.0,,317.0,338.0
9/2/2016,209912.0,,320.0,324.0
9/3/2016,0.0,,0.0,0.0
9/4/2016,0.0,,0.0,0.0
9/5/2016,0.0,,0.0,0.0
9/6/2016,265144.0,,486.0,438.0
9/7/2016,166217.0,,317.0,339.0
9/8/2016,163381.0,,285.0,304.0
9/9/2016,168475.0,,293.0,300.0
9/10/2016,0.0,,0.0,0.0
9/11/2016,0.0,,0.0,0.0
9/12/2016,161014.0,,317.0,379.0
9/13/2016,137443.0,,237.0,313.0
9/14/2016,136603.0,,245.0,289.0
9/15/2016,128090.0,,198.0,260.0
9/16/2016,121227.0,,219.0,260.0
9/17/2016,0.0,,0.0,0.0
9/18/2016,0.0,,0.0,0.0
9/19/2016,165255.0,,321.0,316.0
9/20/2016,113701.0,,224.0,290.0
9/21/2016,134619.0,,237.0,241.0
9/22/2016,122331.0,,194.0,220.0
9/23/2016,121409.0,,209.0,225.0
9/24/2016,0.0,,0.0,0.0
9/25/2016,0.0,,0.0,0.0
9/26/2016,197157.0,,326.0,307.0
9/27/2016,136451.0,,223.0,237.0
9/28/2016,129390.0,,225.0,216.0
9/29/2016,113593.0,,189.0,248.0
9/30/2016,110397.0,,192.0,208.0
10/1/2016,0.0,,0.0,0.0
10/2/2016,0.0,,0.0,0.0
10/3/2016,131556.0,,259.0,286.0
10/4/2016,104846.0,,217.0,236.0
10/5/2016,96444.0,,213.0,220.0
10/6/2016,99189.0,,177.0,258.0
10/7/2016,80105.0,,179.0,290.0
10/8/2016,0.0,,0.0,0.0
10/9/2016,0.0,,0.0,0.0
10/10/2016,128860.0,,268.0,298.0
10/11/2016,123370.0,,259.0,265.0
10/12/2016,146450.0,,297.0,255.0
10/13/2016,130707.0,,273.0,232.0
10/14/2016,150557.0,,304.0,215.0
10/15/2016,0.0,,0.0,0.0
10/16/2016,0.0,,0.0,0.0
10/17/2016,166054.0,,338.0,270.0
10/18/2016,139479.0,,265.0,239.0
10/19/2016,118592.0,,205.0,205.0
10/20/2016,101217.0,,190.0,188.0
10/21/2016,124080.0,,224.0,185.0
10/22/2016,0.0,,0.0,0.0
10/23/2016,0.0,,0.0,0.0
10/24/2016,190720.0,,381.0,257.0
10/25/2016,139694.0,,273.0,212.0
10/26/2016,114982.0,,223.0,219.0
10/27/2016,76802.0,,162.0,191.0
10/28/2016,103902.0,,180.0,172.0
10/29/2016,0.0,,0.0,0.0
10/30/2016,0.0,,0.0,0.0
10/31/2016,114516.0,,225.0,282.0
11/1/2016,91804.0,,166.0,252.0
11/2/2016,112164.0,,206.0,196.0
11/3/2016,108736.0,,209.0,188.0
11/4/2016,103817.0,,199.0,197.0
11/5/2016,0.0,,0.0,0.0
11/6/2016,0.0,,0.0,0.0
11/7/2016,132908.0,,280.0,279.0
11/8/2016,107360.0,,190.0,217.0
11/9/2016,116125.0,,205.0,189.0
11/10/2016,115880.0,,214.0,214.0
11/11/2016,124925.0,,210.0,200.0
11/12/2016,0.0,,0.0,0.0
11/13/2016,0.0,,0.0,0.0
11/14/2016,142459.0,,279.0,275.0
11/15/2016,123606.0,,262.0,256.0
11/16/2016,120536.0,,218.0,234.0
11/17/2016,122301.0,,230.0,218.0
11/18/2016,125759.0,,223.0,229.0
11/19/2016,0.0,,0.0,0.0
11/20/2016,0.0,,0.0,0.0
11/21/2016,182966.0,,382.0,410.0
11/22/2016,156512.0,,304.0,312.0
11/23/2016,158333.0,,312.0,263.0
11/24/2016,0.0,,0.0,0.0
11/25/2016,106900.0,,229.0,148.0
11/26/2016,0.0,,0.0,0.0
11/27/2016,0.0,,0.0,0.0
11/28/2016,312673.0,,574.0,514.0
11/29/2016,244594.0,,418.0,459.0
11/30/2016,187405.0,,368.0,425.0
12/1/2016,195327.0,,351.0,374.0
12/2/2016,238213.0,,417.0,378.0
12/3/2016,0.0,,0.0,0.0
12/4/2016,0.0,,0.0,0.0
12/5/2016,319262.0,,589.0,556.0
12/6/2016,236933.0,,464.0,465.0
12/7/2016,217399.0,,395.0,416.0
12/8/2016,217116.0,,402.0,410.0
12/9/2016,260674.0,,498.0,399.0
12/10/2016,0.0,,0.0,0.0
12/11/2016,0.0,,0.0,0.0
12/12/2016,404445.0,,740.0,567.0
12/13/2016,292472.0,,550.0,483.0
12/14/2016,339209.0,,470.0,432.0
12/15/2016,289335.0,,462.0,429.0
12/16/2016,322406.0,,589.0,419.0
12/17/2016,0.0,,0.0,0.0
12/18/2016,0.0,,0.0,0.0
12/19/2016,464843.0,,802.0,663.0
12/20/2016,375477.0,,610.0,541.0
12/21/2016,339402.0,,540.0,519.0
12/22/2016,347641.0,,598.0,488.0
12/23/2016,324844.0,,609.0,392.0
12/24/2016,0.0,,0.0,0.0
12/25/2016,0.0,,0.0,0.0
12/26/2016,0.0,,0.0,0.0
12/27/2016,615463.0,,1041.0,957.0
12/28/2016,486968.0,,881.0,856.0
12/29/2016,455394.0,,845.0,784.0
12/30/2016,570245.0,,1062.0,666.0
12/31/2016,0.0,,0.0,0.0
1/1/2017,,,,0.0
1/2/2017,163881.0,,336.0,289.0
1/3/2017,587865.0,,1006.0,1175.0
1/4/2017,480380.0,,743.0,797.0
1/5/2017,303887.0,,551.0,597.0
1/6/2017,318127.0,,547.0,540.0
1/7/2017,0.0,,0.0,0.0
1/8/2017,0.0,,0.0,0.0
1/9/2017,532569.0,,926.0,844.0
1/10/2017,441977.0,,759.0,619.0
1/11/2017,329375.0,,557.0,491.0
1/12/2017,258431.0,,465.0,492.0
1/13/2017,294471.0,,519.0,467.0
1/14/2017,0.0,,0.0,0.0
1/15/2017,0.0,,0.0,0.0
1/16/2017,140500.0,,309.0,279.0
1/17/2017,337249.0,,603.0,693.0
1/18/2017,277671.0,,484.0,568.0
1/19/2017,193134.0,,375.0,530.0
1/20/2017,205375.0,,389.0,415.0
1/21/2017,0.0,,0.0,0.0
1/22/2017,0.0,,0.0,0.0
1/23/2017,269658.0,,551.0,569.0
1/24/2017,180120.0,,398.0,519.0
1/25/2017,160378.0,,330.0,448.0
1/26/2017,143906.0,,290.0,399.0
1/27/2017,167764.0,,343.0,401.0
1/28/2017,0.0,,0.0,0.0
1/29/2017,0.0,,0.0,0.0
1/30/2017,238475.0,,487.0,545.0
1/31/2017,167617.0,,347.0,465.0
2/1/2017,146176.0,,342.0,398.0
2/2/2017,142023.0,,268.0,369.0
2/3/2017,131012.0,,294.0,376.0
2/4/2017,0.0,,0.0,0.0
2/5/2017,0.0,,0.0,0.0
2/6/2017,176925.0,,391.0,392.0
2/7/2017,120622.0,,290.0,343.0
2/8/2017,110732.0,,230.0,317.0
2/9/2017,110963.0,,259.0,315.0
2/10/2017,137992.0,,297.0,273.0
2/11/2017,0.0,,0.0,0.0
2/12/2017,0.0,,0.0,0.0
2/13/2017,176041.0,,409.0,390.0
2/14/2017,112523.0,,218.0,327.0
2/15/2017,115825.0,,237.0,315.0
2/16/2017,146298.0,,239.0,305.0
2/17/2017,107460.0,,221.0,279.0
2/18/2017,0.0,,0.0,0.0
2/19/2017,0.0,,0.0,0.0
2/20/2017,70281.0,,167.0,184.0
2/21/2017,160403.0,,372.0,404.0
2/22/2017,128706.0,,295.0,300.0
2/23/2017,112867.0,,279.0,297.0
2/24/2017,108449.0,,267.0,286.0
2/25/2017,0.0,,0.0,0.0
2/26/2017,0.0,,0.0,0.0
2/27/2017,164398.0,,429.0,380.0
2/28/2017,120448.0,,307.0,306.0
3/1/2017,113827.0,,258.0,315.0
3/2/2017,109853.0,,250.0,262.0
3/3/2017,103778.0,,229.0,272.0
3/4/2017,0.0,,0.0,0.0
3/5/2017,0.0,,0.0,0.0
3/6/2017,168634.0,,384.0,371.0
3/7/2017,110060.0,,251.0,316.0
3/8/2017,114530.0,,246.0,281.0
3/9/2017,101338.0,,225.0,248.0
3/10/2017,123633.0,,261.0,269.0
3/11/2017,0.0,,0.0,0.0
3/12/2017,0.0,,0.0,0.0
3/13/2017,128586.0,,317.0,389.0
3/14/2017,144403.0,,296.0,298.0
