,date,handle_time,handle_time_forecast,volume,volume_forecast,volume_handled
4,1/1/2016,0.0,,0.0,0.0,0.0
13,1/2/2016,0.0,,0.0,0.0,0.0
22,1/3/2016,0.0,,0.0,0.0,0.0
31,1/4/2016,254753.0,,543.0,423.0,445.0
40,1/5/2016,177765.0,,305.0,308.0,299.0
49,1/6/2016,126104.0,,240.0,249.0,239.0
58,1/7/2016,108545.0,,203.0,216.0,203.0
67,1/8/2016,107551.0,,207.0,227.0,206.0
76,1/9/2016,0.0,,0.0,0.0,0.0
85,1/10/2016,0.0,,0.0,0.0,0.0
94,1/11/2016,180195.0,,330.0,385.0,326.0
103,1/12/2016,129629.0,,224.0,302.0,223.0
112,1/13/2016,108543.0,,199.0,240.0,195.0
121,1/14/2016,101380.0,,201.0,223.0,197.0
130,1/15/2016,121571.0,,216.0,229.0,213.0
139,1/16/2016,0.0,,0.0,0.0,0.0
148,1/17/2016,0.0,,0.0,0.0,0.0
157,1/18/2016,67210.0,,132.0,117.0,132.0
166,1/19/2016,134206.0,,233.0,293.0,230.0
175,1/20/2016,113209.0,,194.0,223.0,192.0
184,1/21/2016,101773.0,,189.0,201.0,185.0
193,1/22/2016,83932.0,,159.0,192.0,156.0
202,1/23/2016,0.0,,0.0,0.0,0.0
211,1/24/2016,0.0,,0.0,0.0,0.0
220,1/25/2016,108129.0,,195.0,230.0,174.0
229,1/26/2016,84709.0,,151.0,207.0,151.0
238,1/27/2016,78254.0,,140.0,180.0,140.0
247,1/28/2016,67153.0,,132.0,159.0,130.0
256,1/29/2016,97661.0,,163.0,158.0,163.0
265,1/30/2016,0.0,,0.0,0.0,0.0
274,1/31/2016,0.0,,0.0,0.0,0.0
283,2/1/2016,110674.0,,217.0,248.0,204.0
292,2/2/2016,83084.0,,192.0,191.0,189.0
301,2/3/2016,62754.0,,122.0,173.0,121.0
310,2/4/2016,73616.0,,147.0,150.0,145.0
319,2/5/2016,69850.0,,125.0,152.0,125.0
328,2/6/2016,0.0,,0.0,0.0,0.0
337,2/7/2016,0.0,,0.0,0.0,0.0
346,2/8/2016,100654.0,,190.0,198.0,185.0
355,2/9/2016,89361.0,,163.0,157.0,158.0
364,2/10/2016,61862.0,,130.0,139.0,130.0
373,2/11/2016,67138.0,,121.0,137.0,121.0
382,2/12/2016,61784.0,,120.0,129.0,118.0
391,2/13/2016,0.0,,0.0,0.0,0.0
400,2/14/2016,0.0,,0.0,0.0,0.0
409,2/15/2016,38749.0,,79.0,68.0,78.0
418,2/16/2016,77727.0,,151.0,157.0,146.0
427,2/17/2016,74149.0,,132.0,136.0,132.0
436,2/18/2016,62510.0,,125.0,133.0,125.0
445,2/19/2016,48279.0,,104.0,126.0,103.0
454,2/20/2016,0.0,,0.0,0.0,0.0
463,2/21/2016,0.0,,0.0,0.0,0.0
472,2/22/2016,74459.0,,152.0,177.0,150.0
481,2/23/2016,77426.0,,146.0,153.0,145.0
490,2/24/2016,67364.0,,139.0,127.0,136.0
499,2/25/2016,47278.0,,87.0,128.0,87.0
508,2/26/2016,57481.0,,119.0,120.0,117.0
517,2/27/2016,0.0,,0.0,0.0,0.0
526,2/28/2016,0.0,,0.0,0.0,0.0
535,2/29/2016,105092.0,,199.0,176.0,192.0
544,3/1/2016,65560.0,,137.0,134.0,135.0
553,3/2/2016,75012.0,,142.0,116.0,139.0
562,3/3/2016,62830.0,,113.0,111.0,112.0
571,3/4/2016,66519.0,,123.0,113.0,122.0
580,3/5/2016,0.0,,0.0,0.0,0.0
589,3/6/2016,0.0,,0.0,0.0,0.0
598,3/7/2016,82878.0,,153.0,145.0,143.0
607,3/8/2016,78367.0,,125.0,120.0,124.0
616,3/9/2016,64975.0,,134.0,108.0,134.0
625,3/10/2016,67039.0,,123.0,105.0,118.0
634,3/11/2016,45624.0,,90.0,103.0,88.0
643,3/12/2016,0.0,,0.0,0.0,0.0
652,3/13/2016,0.0,,0.0,0.0,0.0
661,3/14/2016,87741.0,,185.0,140.0,176.0
670,3/15/2016,73136.0,,139.0,115.0,139.0
679,3/16/2016,74381.0,,131.0,103.0,129.0
688,3/17/2016,61427.0,,135.0,100.0,133.0
697,3/18/2016,70765.0,,130.0,101.0,127.0
706,3/19/2016,0.0,,0.0,0.0,0.0
715,3/20/2016,0.0,,0.0,0.0,0.0
724,3/21/2016,68096.0,,146.0,145.0,140.0
733,3/22/2016,61801.0,,122.0,135.0,121.0
742,3/23/2016,73616.0,,135.0,116.0,132.0
751,3/24/2016,57563.0,,121.0,108.0,121.0
760,3/25/2016,37090.0,,74.0,79.0,74.0
769,3/26/2016,0.0,,0.0,0.0,0.0
778,3/27/2016,0.0,,0.0,0.0,0.0
787,3/28/2016,86029.0,,177.0,168.0,176.0
796,3/29/2016,76122.0,,167.0,120.0,163.0
805,3/30/2016,60007.0,,117.0,124.0,117.0
814,3/31/2016,54847.0,,112.0,126.0,112.0
823,4/1/2016,86984.0,,157.0,120.0,149.0
832,4/2/2016,0.0,,0.0,0.0,0.0
841,4/3/2016,0.0,,0.0,0.0,0.0
850,4/4/2016,84475.0,,159.0,172.0,159.0
859,4/5/2016,103683.0,,191.0,147.0,190.0
868,4/6/2016,69693.0,,142.0,139.0,141.0
877,4/7/2016,68924.0,,152.0,142.0,148.0
886,4/8/2016,94637.0,,163.0,152.0,161.0
895,4/9/2016,0.0,,0.0,0.0,0.0
904,4/10/2016,0.0,,0.0,0.0,0.0
913,4/11/2016,147686.0,,260.0,231.0,255.0
922,4/12/2016,86787.0,,180.0,199.0,168.0
931,4/13/2016,78286.0,,159.0,181.0,159.0
940,4/14/2016,64788.0,,130.0,148.0,129.0
949,4/15/2016,70632.0,,131.0,161.0,128.0
958,4/16/2016,0.0,,0.0,0.0,0.0
967,4/17/2016,0.0,,0.0,0.0,0.0
976,4/18/2016,88435.0,,180.0,185.0,177.0
985,4/19/2016,69095.0,,135.0,171.0,133.0
994,4/20/2016,62801.0,,129.0,149.0,126.0
1003,4/21/2016,51554.0,,101.0,139.0,100.0
1012,4/22/2016,59568.0,,119.0,135.0,118.0
1021,4/23/2016,0.0,,0.0,0.0,0.0
1030,4/24/2016,0.0,,0.0,0.0,0.0
1039,4/25/2016,71117.0,,134.0,174.0,133.0
1048,4/26/2016,53949.0,,106.0,142.0,105.0
1057,4/27/2016,60524.0,,120.0,129.0,119.0
1066,4/28/2016,49024.0,,99.0,128.0,97.0
1075,4/29/2016,66592.0,,119.0,115.0,108.0
1084,4/30/2016,0.0,,0.0,0.0,0.0
1093,5/1/2016,0.0,,0.0,0.0,0.0
1102,5/2/2016,79488.0,,167.0,175.0,163.0
1111,5/3/2016,67272.0,,140.0,144.0,134.0
1120,5/4/2016,50668.0,,118.0,132.0,118.0
1129,5/5/2016,50393.0,,96.0,112.0,95.0
1138,5/6/2016,62339.0,,105.0,114.0,104.0
1147,5/7/2016,0.0,,0.0,0.0,0.0
1156,5/8/2016,0.0,,0.0,0.0,0.0
1165,5/9/2016,86512.0,,162.0,147.0,159.0
1174,5/10/2016,70816.0,,126.0,141.0,125.0
1183,5/11/2016,64231.0,,125.0,126.0,125.0
1192,5/12/2016,48540.0,,86.0,123.0,86.0
1201,5/13/2016,58767.0,,116.0,111.0,112.0
1210,5/14/2016,0.0,,0.0,0.0,0.0
1219,5/15/2016,0.0,,0.0,0.0,0.0
1228,5/16/2016,91254.0,,160.0,156.0,159.0
1237,5/17/2016,59733.0,,108.0,142.0,106.0
1246,5/18/2016,46518.0,,104.0,126.0,98.0
1255,5/19/2016,57372.0,,112.0,113.0,107.0
1264,5/20/2016,72057.0,,121.0,105.0,117.0
1273,5/21/2016,0.0,,0.0,0.0,0.0
1282,5/22/2016,0.0,,0.0,0.0,0.0
1291,5/23/2016,85454.0,,160.0,161.0,155.0
1300,5/24/2016,66357.0,,127.0,141.0,122.0
1309,5/25/2016,65944.0,,125.0,131.0,124.0
1318,5/26/2016,56107.0,,104.0,119.0,99.0
1327,5/27/2016,73301.0,,131.0,103.0,131.0
1336,5/28/2016,0.0,,0.0,0.0,0.0
1345,5/29/2016,0.0,,0.0,0.0,0.0
1354,5/30/2016,0.0,,0.0,0.0,0.0
1363,5/31/2016,76196.0,,155.0,174.0,150.0
1372,6/1/2016,71737.0,,145.0,130.0,139.0
1381,6/2/2016,71302.0,,130.0,120.0,129.0
1390,6/3/2016,52474.0,,91.0,109.0,91.0
1399,6/4/2016,0.0,,0.0,0.0,0.0
1408,6/5/2016,0.0,,0.0,0.0,0.0
1417,6/6/2016,91097.0,,172.0,162.0,169.0
1426,6/7/2016,65830.0,,120.0,135.0,117.0
1435,6/8/2016,68871.0,,135.0,121.0,120.0
1444,6/9/2016,50975.0,,105.0,103.0,102.0
1453,6/10/2016,50322.0,,96.0,98.0,95.0
1462,6/11/2016,0.0,,0.0,0.0,0.0
1471,6/12/2016,0.0,,0.0,0.0,0.0
1480,6/13/2016,84010.0,,150.0,172.0,142.0
1489,6/14/2016,64529.0,,120.0,152.0,118.0
1498,6/15/2016,58232.0,,119.0,124.0,119.0
1507,6/16/2016,52957.0,,110.0,119.0,109.0
1516,6/17/2016,60856.0,,99.0,109.0,99.0
1525,6/18/2016,0.0,,0.0,0.0,0.0
1534,6/19/2016,0.0,,0.0,0.0,0.0
1543,6/20/2016,74986.0,,132.0,156.0,129.0
1552,6/21/2016,61785.0,,116.0,132.0,115.0
1561,6/22/2016,54840.0,,108.0,112.0,101.0
1570,6/23/2016,48579.0,,115.0,108.0,105.0
1579,6/24/2016,74768.0,,119.0,102.0,119.0
1588,6/25/2016,0.0,,0.0,0.0,0.0
1597,6/26/2016,0.0,,0.0,0.0,0.0
1606,6/27/2016,95276.0,,182.0,149.0,178.0
1615,6/28/2016,83833.0,,160.0,119.0,152.0
1624,6/29/2016,58903.0,,113.0,113.0,111.0
1633,6/30/2016,58120.0,,115.0,99.0,111.0
1642,7/1/2016,61824.0,,108.0,90.0,101.0
1651,7/2/2016,0.0,,0.0,0.0,0.0
1660,7/3/2016,0.0,,0.0,0.0,0.0
1669,7/4/2016,0.0,,0.0,0.0,0.0
1678,7/5/2016,104594.0,,211.0,198.0,204.0
1687,7/6/2016,83094.0,,154.0,166.0,151.0
1696,7/7/2016,91483.0,,167.0,160.0,162.0
1705,7/8/2016,104490.0,,181.0,165.0,170.0
1714,7/9/2016,0.0,,0.0,0.0,0.0
1723,7/10/2016,0.0,,0.0,0.0,0.0
1732,7/11/2016,165720.0,,293.0,317.0,285.0
1741,7/12/2016,127728.0,,210.0,248.0,209.0
1750,7/13/2016,98604.0,,188.0,216.0,184.0
1759,7/14/2016,95151.0,,184.0,179.0,175.0
1768,7/15/2016,93924.0,,183.0,183.0,178.0
1777,7/16/2016,0.0,,0.0,0.0,0.0
1786,7/17/2016,0.0,,0.0,0.0,0.0
1795,7/18/2016,124340.0,,243.0,286.0,242.0
1804,7/19/2016,105079.0,,210.0,231.0,205.0
1813,7/20/2016,107055.0,,205.0,195.0,200.0
1822,7/21/2016,76331.0,,154.0,186.0,154.0
1831,7/22/2016,109565.0,,197.0,185.0,192.0
1840,7/23/2016,0.0,,0.0,0.0,0.0
1849,7/24/2016,0.0,,0.0,0.0,0.0
1858,7/25/2016,160446.0,,296.0,301.0,276.0
1867,7/26/2016,128201.0,,254.0,235.0,243.0
1876,7/27/2016,91887.0,,193.0,225.0,192.0
1885,7/28/2016,95381.0,,178.0,181.0,178.0
1894,7/29/2016,106575.0,,185.0,180.0,180.0
1903,7/30/2016,0.0,,0.0,0.0,0.0
1912,7/31/2016,0.0,,0.0,0.0,0.0
1921,8/1/2016,182037.0,,375.0,268.0,361.0
1930,8/2/2016,108109.0,,226.0,220.0,223.0
1939,8/3/2016,117645.0,,220.0,216.0,215.0
1948,8/4/2016,110948.0,,205.0,165.0,202.0
1957,8/5/2016,97173.0,,207.0,188.0,204.0
1966,8/6/2016,0.0,,0.0,0.0,0.0
1975,8/7/2016,0.0,,0.0,0.0,0.0
1984,8/8/2016,170571.0,,306.0,291.0,295.0
1993,8/9/2016,114572.0,,226.0,237.0,226.0
2002,8/10/2016,103515.0,,196.0,197.0,192.0
2011,8/11/2016,87554.0,,171.0,179.0,170.0
2020,8/12/2016,86988.0,,181.0,179.0,178.0
2029,8/13/2016,0.0,,1.0,0.0,0.0
2038,8/14/2016,0.0,,0.0,0.0,0.0
2047,8/15/2016,142815.0,,288.0,280.0,280.0
2056,8/16/2016,133361.0,,234.0,223.0,224.0
2065,8/17/2016,90477.0,,192.0,201.0,191.0
2074,8/18/2016,83091.0,,165.0,181.0,162.0
2083,8/19/2016,92434.0,,171.0,180.0,170.0
2092,8/20/2016,0.0,,0.0,0.0,0.0
2101,8/21/2016,0.0,,0.0,0.0,0.0
2110,8/22/2016,132646.0,,261.0,280.0,253.0
2119,8/23/2016,100582.0,,196.0,210.0,194.0
2128,8/24/2016,70728.0,,146.0,193.0,140.0
2137,8/25/2016,69540.0,,153.0,175.0,147.0
2146,8/26/2016,80654.0,,156.0,178.0,151.0
2155,8/27/2016,0.0,,0.0,0.0,0.0
2164,8/28/2016,0.0,,0.0,0.0,0.0
2173,8/29/2016,111066.0,,212.0,218.0,209.0
2182,8/30/2016,82903.0,,181.0,180.0,178.0
2191,8/31/2016,70051.0,,140.0,161.0,138.0
2200,9/1/2016,69099.0,,131.0,142.0,131.0
2209,9/2/2016,72492.0,,149.0,136.0,143.0
2218,9/3/2016,0.0,,0.0,0.0,0.0
2227,9/4/2016,0.0,,0.0,0.0,0.0
2236,9/5/2016,0.0,,0.0,0.0,0.0
2245,9/6/2016,108782.0,,222.0,209.0,217.0
2254,9/7/2016,98324.0,,197.0,161.0,180.0
2263,9/8/2016,89125.0,,157.0,145.0,139.0
2272,9/9/2016,65703.0,,131.0,143.0,128.0
2281,9/10/2016,0.0,,0.0,0.0,0.0
2290,9/11/2016,0.0,,0.0,0.0,0.0
2299,9/12/2016,100264.0,,196.0,166.0,188.0
2308,9/13/2016,57630.0,,115.0,138.0,115.0
