date,volume,volume_forecast,volume_handled,,,
1/1/2016,1416,,,,,
1/2/2016,561,,,,,
1/3/2016,1098,,,,,
1/4/2016,2180,,,,,
1/5/2016,2386,,,,,
1/6/2016,1960,,,,,
1/7/2016,1684,,,,,
1/8/2016,1860,,,,,
1/9/2016,323,,,,,
1/10/2016,1242,,,,,
1/11/2016,1909,,,,,
1/12/2016,2267,,,,,
1/13/2016,1596,,,,,
1/14/2016,1520,,,,,
1/15/2016,1755,,,,,
1/16/2016,321,,,,,
1/17/2016,923,,,,,
1/18/2016,1079,,,,,
1/19/2016,1980,,,,,
1/20/2016,1775,,,,,
1/21/2016,1421,,,,,
1/22/2016,1374,,,,,
1/23/2016,213,,,,,
1/24/2016,415,,,,,
1/25/2016,1155,,,,,
1/26/2016,1511,,,,,
1/27/2016,1412,,,,,
1/28/2016,1305,,,,,
1/29/2016,1672,,,,,
1/30/2016,218,,,,,
1/31/2016,958,,,,,
2/1/2016,1836,,,,,
2/2/2016,2406,,,,,
2/3/2016,1975,,,,,
2/4/2016,1589,,,,,
2/5/2016,1590,,,,,
2/6/2016,202,,,,,
2/7/2016,847,,,,,
2/8/2016,2026,,,,,
2/9/2016,1665,,,,,
2/10/2016,1323,,,,,
2/11/2016,1522,,,,,
2/12/2016,1508,,,,,
2/13/2016,184,,,,,
2/14/2016,495,,,,,
2/15/2016,1144,,,,,
2/16/2016,1709,,,,,
2/17/2016,1488,,,,,
2/18/2016,1279,,,,,
2/19/2016,1511,,,,,
2/20/2016,242,,,,,
2/21/2016,597,,,,,
2/22/2016,2165,,,,,
2/23/2016,1379,,,,,
2/24/2016,1202,,,,,
2/25/2016,1403,,,,,
2/26/2016,1570,,,,,
2/27/2016,198,,,,,
2/28/2016,498,,,,,
2/29/2016,1902,,,,,
3/1/2016,1758,,,,,
3/2/2016,1525,,,,,
3/3/2016,1463,,,,,
3/4/2016,1598,,,,,
3/5/2016,266,,,,,
3/6/2016,603,,,,,
3/7/2016,2135,,,,,
3/8/2016,1523,,,,,
3/9/2016,1188,,,,,
3/10/2016,1462,,,,,
3/11/2016,1397,,,,,
3/12/2016,187,,,,,
3/13/2016,470,,,,,
3/14/2016,2203,,,,,
3/15/2016,1585,,,,,
3/16/2016,1403,,,,,
3/17/2016,1566,,,,,
3/18/2016,1652,,,,,
3/19/2016,216,,,,,
3/20/2016,511,,,,,
3/21/2016,2102,,,,,
3/22/2016,1396,,,,,
3/23/2016,1256,,,,,
3/24/2016,1476,,,,,
3/25/2016,823,,,,,
3/26/2016,297,,,,,
3/27/2016,398,,,,,
3/28/2016,2387,,,,,
3/29/2016,1532,,,,,
3/30/2016,1472,,,,,
3/31/2016,1697,,,,,
4/1/2016,1813,,,,,
4/2/2016,223,,,,,
4/3/2016,568,,,,,
4/4/2016,2213,,,,,
4/5/2016,1670,,,,,
4/6/2016,1536,,,,,
4/7/2016,1681,,,,,
4/8/2016,2085,,,,,
4/9/2016,224,,,,,
4/10/2016,735,,,,,
4/11/2016,2363,,,,,
4/12/2016,1930,,,,,
4/13/2016,1696,,,,,
4/14/2016,1867,,,,,
4/15/2016,2038,,,,,
4/16/2016,182,,,,,
4/17/2016,655,,,,,
4/18/2016,2376,,,,,
4/19/2016,1557,,,,,
4/20/2016,1378,,,,,
4/21/2016,1367,,,,,
4/22/2016,1398,,,,,
4/23/2016,139,,,,,
4/24/2016,258,,,,,
4/25/2016,1914,,,,,
4/26/2016,1341,,,,,
4/27/2016,1309,,,,,
4/28/2016,1351,,,,,
4/29/2016,1280,,,,,
4/30/2016,170,,,,,
5/1/2016,613,,,,,
5/2/2016,1780,,,,,
5/3/2016,1402,,,,,
5/4/2016,1103,,,,,
5/5/2016,1254,,,,,
5/6/2016,1187,,,,,
5/7/2016,120,,,,,
5/8/2016,375,,,,,
5/9/2016,1473,,,,,
5/10/2016,1228,,,,,
5/11/2016,986,,,,,
5/12/2016,1346,,,,,
5/13/2016,1460,,,,,
5/14/2016,149,,,,,
5/15/2016,567,,,,,
5/16/2016,1748,,,,,
5/17/2016,1157,,,,,
5/18/2016,1141,,,,,
5/19/2016,1418,,,,,
5/20/2016,1321,,,,,
5/21/2016,149,,,,,
5/22/2016,428,,,,,
5/23/2016,1595,,,,,
5/24/2016,1319,,,,,
5/25/2016,1295,,,,,
5/26/2016,1303,,,,,
5/27/2016,1232,,,,,
5/28/2016,103,,,,,
5/29/2016,367,,,,,
5/30/2016,88,,,,,
5/31/2016,1807,,,,,
6/1/2016,1436,,,,,
6/2/2016,1325,,,,,
6/3/2016,1352,,,,,
6/4/2016,119,,,,,
6/5/2016,319,,,,,
6/6/2016,1811,,,,,
6/7/2016,1591,,,,,
6/8/2016,1280,,,,,
6/9/2016,1396,,,,,
6/10/2016,1370,,,,,
6/11/2016,116,,,,,
6/12/2016,370,,,,,
6/13/2016,1671,,,,,
6/14/2016,1202,,,,,
6/15/2016,1267,,,,,
6/16/2016,1271,,,,,
6/17/2016,1376,,,,,
6/18/2016,135,,,,,
6/19/2016,335,,,,,
6/20/2016,1607,,,,,
6/21/2016,1237,,,,,
6/22/2016,1152,,,,,
6/23/2016,1295,,,,,
6/24/2016,1426,,,,,
6/25/2016,144,,,,,
6/26/2016,428,,,,,
6/27/2016,1715,,,,,
6/28/2016,1329,,,,,
6/29/2016,1256,,,,,
6/30/2016,1373,,,,,
7/1/2016,1519,,,,,
7/2/2016,145,,,,,
7/3/2016,314,,,,,
7/4/2016,68,,,,,
7/5/2016,2080,,,,,
7/6/2016,1214,,,,,
7/7/2016,1096,,,,,
7/8/2016,1243,,,,,
7/9/2016,132,,,,,
7/10/2016,673,,,,,
7/11/2016,1505,,,,,
7/12/2016,1690,,,,,
7/13/2016,1515,,,,,
7/14/2016,1672,,,,,
7/15/2016,1651,,,,,
7/16/2016,145,,,,,
7/17/2016,458,,,,,
7/18/2016,2120,,,,,
7/19/2016,1241,,,,,
7/20/2016,1230,,,,,
7/21/2016,1501,,,,,
7/22/2016,1279,,,,,
7/23/2016,166,,,,,
7/24/2016,504,,,,,
7/25/2016,1756,,,,,
7/26/2016,1354,,,,,
7/27/2016,1268,,,,,
7/28/2016,1314,,,,,
7/29/2016,1388,,,,,
7/30/2016,154,,,,,
7/31/2016,411,,,,,
8/1/2016,1925,1566,1114,,,
8/2/2016,1265,1447,1295,,,
8/3/2016,1157,1139,1456,,,
8/4/2016,1355,1253,1408,,,
8/5/2016,1502,1279,1240,,,
8/6/2016,126,,,,,
8/7/2016,419,,,,,
8/8/2016,1870,1564,1108,,,
8/9/2016,1221,1188,1222,,,
8/10/2016,1250,1123,1210,,,
8/11/2016,1366,1271,1453,,,
8/12/2016,1440,1195,1243,,,
8/13/2016,209,,,,,
8/14/2016,461,,,,,
8/15/2016,2075,1640,1184,,,
8/16/2016,1353,1153,1411,,,
8/17/2016,1188,1015,1480,,,
8/18/2016,1540,1170,1547,,,
8/19/2016,1469,1082,1262,,,
8/20/2016,182,,,,,
8/21/2016,627,,,,,
8/22/2016,1705,1763,1482,,,
8/23/2016,1186,1247,1614,,,
8/24/2016,1163,1239,1264,,,
8/25/2016,1363,1435,1521,,,
8/26/2016,1369,1418,1403,,,
8/27/2016,107,,,,,
8/28/2016,472,,,,,
8/29/2016,1806,1866,1477,,,
8/30/2016,1303,1268,1450,,,
8/31/2016,1220,1114,1485,,,
9/1/2016,1539,1410,1484,,,
9/2/2016,1444,1411,1532,,,
9/3/2016,114,171,,,,
9/4/2016,636,347,,,,
9/5/2016,165,86,,,,
9/6/2016,1852,2155,1730,,,
9/7/2016,1235,1289,1409,,,
9/8/2016,1265,1293,1670,,,
9/9/2016,1458,1109,1490,,,
9/10/2016,188,120,,,,
9/11/2016,384,367,,,,
9/12/2016,2341,1762,1836,,,
9/13/2016,1370,1183,1402,,,
9/14/2016,1195,1170,1438,,,
9/15/2016,1451,1395,1408,,,
9/16/2016,1475,1318,1625,,,
9/17/2016,119,125,,,,
9/18/2016,480,377,,,,
9/19/2016,1742,1778,,,,
9/20/2016,1308,1230,,,,
9/21/2016,1204,1151,,,,
9/22/2016,1243,1348,,,,
9/23/2016,1222,1354,,,,
9/24/2016,114,134,,,,
9/25/2016,495,370,,,,
9/26/2016,1673,1889,,,,
9/27/2016,1143,1319,,,,
9/28/2016,1084,1163,,,,
9/29/2016,1304,1389,,,,
9/30/2016,1317,1418,,,,
10/1/2016,361,118,6,,,
10/2/2016,345,395,41,,,
10/3/2016,1735,1755,1689,,,
10/4/2016,1150,1244,1333,,,
10/5/2016,1205,1130,1371,,,
10/6/2016,1317,1262,1313,,,
10/7/2016,1281,1286,1576,,,
10/8/2016,113,112,6,,,
10/9/2016,287,446,78,,,
10/10/2016,1542,1704,1631,,,
10/11/2016,1244,1219,1118,,,
10/12/2016,1020,1099,1261,,,
10/13/2016,1093,1290,1387,,,
10/14/2016,1268,1320,1223,,,
10/15/2016,281,314,2,,,
10/16/2016,347,360,78,,,
10/17/2016,1752,1767,1423,,,
10/18/2016,1105,1174,1660,,,
10/19/2016,1187,1165,1607,,,
10/20/2016,1242,1294,1308,,,
10/21/2016,1229,1290,1317,,,
10/22/2016,129,143,13,,,
10/23/2016,518,328,380,,,
10/24/2016,1461,1737,1317,,,
10/25/2016,1224,1232,1232,,,
10/26/2016,1061,1065,1132,,,
10/27/2016,1189,1172,1343,,,
10/28/2016,1239,1281,1378,,,
10/29/2016,73,233,8,,,
10/30/2016,593,0,474,,,
10/31/2016,1444,1747,1441,,,
11/1/2016,1333,1161,1198,,,
11/2/2016,1116,1143,1089,,,
11/3/2016,1243,1239,1264,,,
11/4/2016,1208,1260,1487,,,
11/5/2016,147,165,9,,,
11/6/2016,408,450,403,,,
11/7/2016,1624,1547,1561,,,
11/8/2016,1011,1202,1156,,,
11/9/2016,1099,1086,1184,,,
11/10/2016,1499,1204,1498,,,
11/11/2016,1109,1246,1154,,,
11/12/2016,133,137,4,,,
11/13/2016,471,494,236,,,
11/14/2016,1493,1525,1665,,,
11/15/2016,1393,1249,1371,,,
11/16/2016,1260,1107,1390,,,
11/17/2016,1483,1226,1497,,,
11/18/2016,1623,1231,1607,,,
11/19/2016,114,169,8,,,
11/20/2016,349,416,330,,,
11/21/2016,1850,1576,1677,,,
11/22/2016,1269,1112,1490,,,
11/23/2016,1254,1081,1303,,,
11/24/2016,63,150,1,,,
11/25/2016,1334,943,1325,,,
11/26/2016,74,142,1,,,
11/27/2016,332,578,291,,,
11/28/2016,1633,1715,1638,,,
11/29/2016,1321,1504,1425,,,
11/30/2016,1224,1371,1304,,,
12/1/2016,1751,1635,1779,,,
12/2/2016,1718,1688,1724,,,
12/3/2016,89,136,5,,,
12/4/2016,488,537,353,,,
12/5/2016,1959,1728,1777,,,
12/6/2016,1703,1402,1792,,,
12/7/2016,1701,1315,1836,,,
12/8/2016,1584,1592,1652,,,
