,date,handle_time,handle_time_forecast,volume,volume_forecast,volume_handled
6,1/1/2016,0.0,,0.0,646.0,0.0
15,1/2/2016,0.0,,0.0,0.0,0.0
24,1/3/2016,0.0,,0.0,0.0,0.0
33,1/4/2016,622585.0,,1032.0,1306.0,965.0
42,1/5/2016,507042.0,,736.0,1094.0,736.0
51,1/6/2016,429551.0,,672.0,1044.0,667.0
60,1/7/2016,462952.0,,679.0,757.0,670.0
69,1/8/2016,419145.0,,660.0,808.0,650.0
78,1/9/2016,0.0,,0.0,0.0,0.0
87,1/10/2016,0.0,,0.0,0.0,0.0
96,1/11/2016,517906.0,,799.0,1355.0,793.0
105,1/12/2016,481048.0,,741.0,1231.0,738.0
114,1/13/2016,434736.0,,696.0,1176.0,691.0
123,1/14/2016,405504.0,,657.0,1117.0,646.0
132,1/15/2016,546004.0,,944.0,988.0,866.0
141,1/16/2016,0.0,,0.0,0.0,0.0
150,1/17/2016,0.0,,0.0,0.0,0.0
159,1/18/2016,327414.0,,555.0,600.0,533.0
168,1/19/2016,555402.0,,970.0,1164.0,943.0
177,1/20/2016,590673.0,,987.0,1051.0,941.0
186,1/21/2016,456212.0,,774.0,943.0,766.0
195,1/22/2016,418383.0,,683.0,911.0,643.0
204,1/23/2016,0.0,,0.0,0.0,0.0
213,1/24/2016,0.0,,0.0,0.0,0.0
222,1/25/2016,455924.0,,791.0,1027.0,732.0
231,1/26/2016,457045.0,,702.0,916.0,697.0
240,1/27/2016,404264.0,,647.0,809.0,638.0
249,1/28/2016,364891.0,,614.0,877.0,613.0
258,1/29/2016,366802.0,,646.0,871.0,640.0
267,1/30/2016,0.0,,0.0,0.0,0.0
276,1/31/2016,0.0,,0.0,0.0,0.0
285,2/1/2016,494716.0,,937.0,916.0,856.0
294,2/2/2016,453084.0,,815.0,827.0,802.0
303,2/3/2016,397709.0,,681.0,773.0,668.0
312,2/4/2016,383003.0,,607.0,655.0,594.0
321,2/5/2016,352976.0,,624.0,659.0,601.0
330,2/6/2016,0.0,,0.0,0.0,0.0
339,2/7/2016,0.0,,0.0,0.0,0.0
348,2/8/2016,525318.0,,802.0,817.0,781.0
357,2/9/2016,416826.0,,704.0,750.0,693.0
366,2/10/2016,388893.0,,623.0,706.0,615.0
375,2/11/2016,366232.0,,624.0,578.0,612.0
384,2/12/2016,369640.0,,634.0,619.0,590.0
393,2/13/2016,0.0,,0.0,0.0,0.0
402,2/14/2016,0.0,,0.0,0.0,0.0
411,2/15/2016,203086.0,,376.0,442.0,376.0
420,2/16/2016,412783.0,,735.0,804.0,711.0
429,2/17/2016,394302.0,,669.0,750.0,665.0
438,2/18/2016,367188.0,,630.0,663.0,607.0
447,2/19/2016,338657.0,,579.0,634.0,548.0
456,2/20/2016,0.0,,0.0,0.0,0.0
465,2/21/2016,0.0,,0.0,0.0,0.0
474,2/22/2016,405430.0,,756.0,887.0,727.0
483,2/23/2016,388767.0,,647.0,807.0,621.0
492,2/24/2016,375898.0,,647.0,640.0,630.0
501,2/25/2016,314402.0,,547.0,683.0,546.0
510,2/26/2016,309729.0,,564.0,644.0,542.0
519,2/27/2016,0.0,,0.0,0.0,0.0
528,2/28/2016,0.0,,0.0,0.0,0.0
537,2/29/2016,375721.0,,713.0,840.0,700.0
546,3/1/2016,372086.0,,637.0,700.0,615.0
555,3/2/2016,328172.0,,597.0,656.0,576.0
564,3/3/2016,298942.0,,518.0,650.0,497.0
573,3/4/2016,340078.0,,653.0,694.0,551.0
582,3/5/2016,0.0,,0.0,0.0,0.0
591,3/6/2016,0.0,,0.0,0.0,0.0
600,3/7/2016,436863.0,,817.0,746.0,737.0
609,3/8/2016,408646.0,,659.0,686.0,641.0
618,3/9/2016,319682.0,,538.0,608.0,519.0
627,3/10/2016,364877.0,,584.0,617.0,568.0
636,3/11/2016,332344.0,,595.0,575.0,552.0
645,3/12/2016,0.0,,0.0,0.0,0.0
654,3/13/2016,0.0,,0.0,0.0,0.0
663,3/14/2016,464996.0,,847.0,830.0,718.0
672,3/15/2016,400924.0,,683.0,648.0,656.0
681,3/16/2016,339170.0,,587.0,593.0,541.0
690,3/17/2016,338030.0,,605.0,609.0,581.0
699,3/18/2016,371015.0,,632.0,597.0,590.0
708,3/19/2016,0.0,,0.0,0.0,0.0
717,3/20/2016,0.0,,0.0,0.0,0.0
726,3/21/2016,566173.0,,944.0,850.0,897.0
735,3/22/2016,394769.0,,641.0,665.0,613.0
744,3/23/2016,338873.0,,584.0,597.0,552.0
753,3/24/2016,288715.0,,537.0,532.0,524.0
762,3/25/2016,209519.0,,393.0,471.0,367.0
771,3/26/2016,0.0,,0.0,0.0,0.0
780,3/27/2016,0.0,,0.0,0.0,0.0
789,3/28/2016,552309.0,,983.0,1014.0,932.0
798,3/29/2016,562286.0,,986.0,717.0,929.0
807,3/30/2016,541653.0,,864.0,690.0,824.0
816,3/31/2016,462035.0,,761.0,636.0,723.0
825,4/1/2016,457897.0,,807.0,656.0,737.0
834,4/2/2016,0.0,,0.0,0.0,0.0
843,4/3/2016,0.0,,0.0,0.0,0.0
852,4/4/2016,622171.0,,1056.0,1068.0,1027.0
861,4/5/2016,509283.0,,833.0,800.0,813.0
870,4/6/2016,421084.0,,797.0,742.0,770.0
879,4/7/2016,568754.0,,991.0,769.0,932.0
888,4/8/2016,480857.0,,861.0,822.0,838.0
897,4/9/2016,0.0,,0.0,0.0,0.0
906,4/10/2016,0.0,,0.0,0.0,0.0
915,4/11/2016,856437.0,,1500.0,1397.0,1413.0
924,4/12/2016,671013.0,,1159.0,1191.0,1137.0
933,4/13/2016,648123.0,,1096.0,1212.0,1053.0
942,4/14/2016,647732.0,,1108.0,1306.0,1060.0
951,4/15/2016,591880.0,,1026.0,1419.0,1001.0
960,4/16/2016,0.0,,0.0,0.0,0.0
969,4/17/2016,0.0,,0.0,0.0,0.0
978,4/18/2016,668980.0,,1357.0,1399.0,1233.0
987,4/19/2016,445008.0,,801.0,672.0,773.0
996,4/20/2016,371925.0,,632.0,572.0,603.0
1005,4/21/2016,342729.0,,598.0,606.0,572.0
1014,4/22/2016,416608.0,,663.0,586.0,626.0
1023,4/23/2016,0.0,,0.0,0.0,0.0
1032,4/24/2016,0.0,,0.0,0.0,0.0
1041,4/25/2016,442584.0,,806.0,721.0,765.0
1050,4/26/2016,357925.0,,618.0,596.0,593.0
1059,4/27/2016,369558.0,,638.0,506.0,618.0
1068,4/28/2016,345818.0,,616.0,450.0,589.0
1077,4/29/2016,346233.0,,592.0,451.0,548.0
1086,4/30/2016,0.0,,0.0,0.0,0.0
1095,5/1/2016,0.0,,0.0,0.0,0.0
1104,5/2/2016,393727.0,,687.0,619.0,666.0
1113,5/3/2016,298916.0,,525.0,594.0,519.0
1122,5/4/2016,280971.0,,483.0,538.0,470.0
1131,5/5/2016,252702.0,,473.0,503.0,469.0
1140,5/6/2016,264884.0,,428.0,501.0,413.0
1149,5/7/2016,0.0,,0.0,0.0,0.0
1158,5/8/2016,0.0,,0.0,0.0,0.0
1167,5/9/2016,313400.0,,590.0,680.0,583.0
1176,5/10/2016,324101.0,,541.0,599.0,535.0
1185,5/11/2016,253448.0,,447.0,508.0,445.0
1194,5/12/2016,252193.0,,480.0,510.0,473.0
1203,5/13/2016,271518.0,,488.0,527.0,464.0
1212,5/14/2016,0.0,,0.0,0.0,0.0
1221,5/15/2016,0.0,,0.0,0.0,0.0
1230,5/16/2016,345262.0,,664.0,699.0,633.0
1239,5/17/2016,288526.0,,524.0,619.0,519.0
1248,5/18/2016,291920.0,,512.0,548.0,507.0
1257,5/19/2016,236949.0,,452.0,510.0,449.0
1266,5/20/2016,218824.0,,436.0,501.0,431.0
1275,5/21/2016,0.0,,0.0,0.0,0.0
1284,5/22/2016,0.0,,0.0,0.0,0.0
1293,5/23/2016,356457.0,,626.0,701.0,614.0
1302,5/24/2016,300513.0,,510.0,619.0,510.0
1311,5/25/2016,259441.0,,453.0,546.0,451.0
1320,5/26/2016,236195.0,,415.0,503.0,406.0
1329,5/27/2016,237970.0,,413.0,517.0,388.0
1338,5/28/2016,0.0,,0.0,0.0,0.0
1347,5/29/2016,0.0,,0.0,0.0,0.0
1356,5/30/2016,0.0,,0.0,0.0,0.0
1365,5/31/2016,349737.0,,604.0,700.0,586.0
1374,6/1/2016,295630.0,,560.0,537.0,526.0
1383,6/2/2016,297452.0,,545.0,503.0,499.0
1392,6/3/2016,286719.0,,460.0,515.0,453.0
1401,6/4/2016,0.0,,0.0,0.0,0.0
1410,6/5/2016,0.0,,0.0,0.0,0.0
1419,6/6/2016,330654.0,,657.0,587.0,600.0
