,date,handle_time,handle_time_forecast,volume,volume_forecast,volume_handled
0,1/1/2016,0.0,,0.0,0.0,0.0
9,1/2/2016,0.0,,0.0,0.0,0.0
18,1/3/2016,0.0,,0.0,0.0,0.0
27,1/4/2016,6893852.0,,10210.0,9930.0,10354.0
36,1/5/2016,4866501.0,,7110.0,9572.0,7540.0
45,1/6/2016,4353665.0,,6149.0,8738.0,6516.0
54,1/7/2016,4390773.0,,6471.0,8124.0,6779.0
63,1/8/2016,4125672.0,,5958.0,8118.0,6282.0
72,1/9/2016,0.0,,0.0,0.0,0.0
81,1/10/2016,0.0,,0.0,0.0,0.0
90,1/11/2016,5317034.0,,7828.0,10800.0,8264.0
99,1/12/2016,4399514.0,,6493.0,10011.0,6871.0
108,1/13/2016,4158719.0,,6137.0,7601.0,6491.0
117,1/14/2016,4391586.0,,6454.0,7100.0,6808.0
126,1/15/2016,4708926.0,,7180.0,7318.0,7413.0
135,1/16/2016,0.0,,0.0,0.0,0.0
144,1/17/2016,0.0,,0.0,0.0,0.0
153,1/18/2016,2738411.0,,4359.0,4998.0,4633.0
162,1/19/2016,5131116.0,,7993.0,9122.0,8394.0
171,1/20/2016,5188922.0,,7847.0,7916.0,8188.0
180,1/21/2016,4431210.0,,6841.0,7332.0,7222.0
189,1/22/2016,3891583.0,,5995.0,7154.0,6175.0
198,1/23/2016,0.0,,0.0,0.0,0.0
207,1/24/2016,0.0,,0.0,0.0,0.0
216,1/25/2016,5008026.0,,8152.0,8938.0,8208.0
225,1/26/2016,4132561.0,,6454.0,7275.0,6837.0
234,1/27/2016,4131370.0,,6509.0,6734.0,6815.0
243,1/28/2016,3759388.0,,5897.0,6569.0,6236.0
252,1/29/2016,3890319.0,,6260.0,6556.0,6559.0
261,1/30/2016,0.0,,0.0,0.0,0.0
270,1/31/2016,0.0,,0.0,0.0,0.0
279,2/1/2016,4963494.0,,9083.0,9037.0,8556.0
288,2/2/2016,4309314.0,,7013.0,7117.0,6954.0
297,2/3/2016,4373160.0,,6372.0,6150.0,6755.0
306,2/4/2016,3746507.0,,5622.0,6046.0,5989.0
315,2/5/2016,3650662.0,,5418.0,6188.0,5742.0
324,2/6/2016,0.0,,0.0,0.0,0.0
333,2/7/2016,0.0,,0.0,0.0,0.0
342,2/8/2016,4755370.0,,7073.0,8630.0,7547.0
351,2/9/2016,3962159.0,,5854.0,6833.0,6248.0
360,2/10/2016,3789561.0,,5690.0,6570.0,6066.0
369,2/11/2016,3465890.0,,5261.0,6220.0,5613.0
378,2/12/2016,3548765.0,,5083.0,6247.0,5411.0
387,2/13/2016,0.0,,0.0,0.0,0.0
396,2/14/2016,0.0,,0.0,0.0,0.0
405,2/15/2016,2370085.0,,3713.0,4392.0,3961.0
414,2/16/2016,3893100.0,,6004.0,7411.0,6386.0
423,2/17/2016,3615085.0,,5589.0,6851.0,5958.0
432,2/18/2016,3488854.0,,5152.0,6338.0,5495.0
441,2/19/2016,3525298.0,,5289.0,6501.0,5624.0
450,2/20/2016,0.0,,0.0,0.0,0.0
459,2/21/2016,0.0,,0.0,0.0,0.0
468,2/22/2016,4433582.0,,7128.0,8587.0,7491.0
477,2/23/2016,3793963.0,,5918.0,6922.0,6259.0
486,2/24/2016,3508498.0,,5561.0,6574.0,5870.0
495,2/25/2016,3496667.0,,5534.0,6167.0,5856.0
504,2/26/2016,3429502.0,,5312.0,6082.0,5641.0
513,2/27/2016,0.0,,5.0,0.0,0.0
522,2/28/2016,0.0,,0.0,0.0,0.0
531,2/29/2016,4516931.0,,7263.0,8000.0,7471.0
540,3/1/2016,3789988.0,,5854.0,7424.0,6205.0
549,3/2/2016,3592891.0,,5647.0,6431.0,5956.0
558,3/3/2016,3222426.0,,4900.0,6100.0,5239.0
567,3/4/2016,3582097.0,,5297.0,6405.0,5611.0
576,3/5/2016,0.0,,0.0,0.0,0.0
585,3/6/2016,0.0,,0.0,0.0,0.0
594,3/7/2016,4570980.0,,7242.0,7900.0,7615.0
603,3/8/2016,3866053.0,,5948.0,6594.0,6352.0
612,3/9/2016,3381621.0,,5234.0,6063.0,5580.0
621,3/10/2016,3384421.0,,5156.0,5859.0,5458.0
630,3/11/2016,3332939.0,,5182.0,5784.0,5399.0
639,3/12/2016,0.0,,0.0,0.0,0.0
648,3/13/2016,0.0,,0.0,0.0,0.0
657,3/14/2016,4582660.0,,6943.0,7986.0,7386.0
666,3/15/2016,3739957.0,,5632.0,6422.0,6013.0
675,3/16/2016,3318716.0,,5196.0,6057.0,5557.0
684,3/17/2016,3209730.0,,4967.0,5768.0,5304.0
693,3/18/2016,3499898.0,,5315.0,5852.0,5570.0
702,3/19/2016,0.0,,0.0,0.0,0.0
711,3/20/2016,0.0,,0.0,0.0,0.0
720,3/21/2016,4707206.0,,7575.0,7768.0,7595.0
729,3/22/2016,4113978.0,,6126.0,6344.0,6299.0
738,3/23/2016,3618734.0,,5624.0,5940.0,5781.0
747,3/24/2016,3272696.0,,5016.0,5630.0,5307.0
756,3/25/2016,2113965.0,,3313.0,3917.0,3536.0
765,3/26/2016,0.0,,0.0,0.0,0.0
774,3/27/2016,0.0,,0.0,0.0,0.0
783,3/28/2016,4560087.0,,7040.0,8000.0,7529.0
792,3/29/2016,3914503.0,,5834.0,6287.0,6239.0
801,3/30/2016,3683425.0,,5641.0,5817.0,6031.0
810,3/31/2016,3444042.0,,5318.0,5501.0,5616.0
819,4/1/2016,3522362.0,,5358.0,5725.0,5661.0
828,4/2/2016,0.0,,0.0,0.0,0.0
837,4/3/2016,0.0,,0.0,0.0,0.0
846,4/4/2016,5005287.0,,7696.0,8120.0,8135.0
855,4/5/2016,3919063.0,,6030.0,6724.0,6394.0
864,4/6/2016,3614771.0,,5529.0,6477.0,5753.0
873,4/7/2016,3369523.0,,5237.0,6247.0,5564.0
882,4/8/2016,3302929.0,,5162.0,6171.0,5430.0
