BUSINESS UNIT,last date of month,attrition,filled position,Attrition %,month,year
Client Transactions,1/31/2019,2,47,0.042553191,January,2019
Participant Transactions,1/31/2019,2,59,0.033898305,January,2019
RAM,1/31/2019,2,89,0.02247191,January,2019
RCS PHONES,1/31/2019,2,20,0.1,January,2019
RIS,1/31/2019,2,126,0.015873016,January,2019
SCS,1/31/2019,2,0,#DIV/0!,January,2019
WISE,1/31/2019,2,278,0.007194245,January,2019
Client Transactions,2/28/2019,2,48,0.041666667,February,2019
Participant Transactions,2/28/2019,2,49,0.040816327,February,2019
RAM,2/28/2019,2,106,0.018867925,February,2019
RCS PHONES,2/28/2019,2,26,0.076923077,February,2019
RIS,2/28/2019,2,108,0.018518519,February,2019
SCS,2/28/2019,2,0,#DIV/0!,February,2019
WISE,2/28/2019,2,274,0.00729927,February,2019
Client Transactions,3/31/2019,2,46,0.043478261,March,2019
Participant Transactions,3/31/2019,2,53,0.037735849,March,2019
RAM,3/31/2019,2,97,0.020618557,March,2019
RCS PHONES,3/31/2019,2,25,0.08,March,2019
RIS,3/31/2019,2,122,0.016393443,March,2019
SCS,3/31/2019,2,0,#DIV/0!,March,2019
WISE,3/31/2019,2,259,0.007722008,March,2019
Client Transactions,4/30/2019,2,47,0.042553191,April,2019
Participant Transactions,4/30/2019,2,53,0.037735849,April,2019
RAM,4/30/2019,2,100,0.02,April,2019
RCS PHONES,4/30/2019,2,26,0.076923077,April,2019
RIS,4/30/2019,2,117,0.017094017,April,2019
SCS,4/30/2019,2,0,#DIV/0!,April,2019
WISE,4/30/2019,2,299,0.006688963,April,2019
Client Transactions,5/31/2019,2,44,0.045454545,May,2019
Participant Transactions,5/31/2019,2,53,0.037735849,May,2019
RAM,5/31/2019,2,110,0.018181818,May,2019
RCS PHONES,5/31/2019,2,26,0.076923077,May,2019
RIS,5/31/2019,2,113,0.017699115,May,2019
SCS,5/31/2019,2,0,#DIV/0!,May,2019
