,date,handle_time,handle_time_forecast,volume,volume_forecast
7,1/1/2016,1317.0,,6.0,0.0
16,1/2/2016,0.0,,0.0,0.0
25,1/3/2016,0.0,,0.0,0.0
34,1/4/2016,500887.0,,790.0,972.0
43,1/5/2016,442528.0,,631.0,844.0
52,1/6/2016,397061.0,,547.0,828.0
61,1/7/2016,402881.0,,598.0,740.0
70,1/8/2016,412462.0,,589.0,745.0
79,1/9/2016,0.0,,0.0,0.0
88,1/10/2016,0.0,,0.0,0.0
97,1/11/2016,426351.0,,631.0,827.0
106,1/12/2016,375499.0,,532.0,732.0
115,1/13/2016,370441.0,,542.0,687.0
124,1/14/2016,323161.0,,474.0,622.0
133,1/15/2016,434221.0,,626.0,637.0
142,1/16/2016,0.0,,0.0,0.0
151,1/17/2016,0.0,,0.0,0.0
160,1/18/2016,0.0,,0.0,0.0
169,1/19/2016,430277.0,,633.0,629.0
178,1/20/2016,443594.0,,609.0,502.0
187,1/21/2016,274010.0,,439.0,441.0
196,1/22/2016,305999.0,,424.0,473.0
205,1/23/2016,0.0,,0.0,0.0
214,1/24/2016,0.0,,0.0,0.0
223,1/25/2016,328387.0,,487.0,622.0
232,1/26/2016,331888.0,,472.0,512.0
241,1/27/2016,253617.0,,405.0,463.0
250,1/28/2016,248950.0,,396.0,367.0
259,1/29/2016,287251.0,,430.0,422.0
268,1/30/2016,0.0,,0.0,0.0
277,1/31/2016,0.0,,0.0,0.0
286,2/1/2016,328732.0,,579.0,593.0
295,2/2/2016,290557.0,,533.0,555.0
304,2/3/2016,324374.0,,477.0,517.0
313,2/4/2016,312304.0,,396.0,510.0
322,2/5/2016,309764.0,,489.0,524.0
331,2/6/2016,0.0,,0.0,0.0
340,2/7/2016,0.0,,0.0,0.0
349,2/8/2016,407815.0,,650.0,621.0
358,2/9/2016,321883.0,,488.0,522.0
367,2/10/2016,290856.0,,401.0,513.0
376,2/11/2016,337252.0,,526.0,489.0
385,2/12/2016,373111.0,,552.0,512.0
394,2/13/2016,0.0,,0.0,0.0
403,2/14/2016,0.0,,0.0,0.0
412,2/15/2016,0.0,,0.0,0.0
421,2/16/2016,410428.0,,643.0,621.0
430,2/17/2016,379553.0,,544.0,522.0
439,2/18/2016,281443.0,,423.0,468.0
448,2/19/2016,295363.0,,441.0,508.0
457,2/20/2016,0.0,,0.0,0.0
466,2/21/2016,0.0,,0.0,0.0
475,2/22/2016,423495.0,,582.0,572.0
484,2/23/2016,343414.0,,450.0,553.0
493,2/24/2016,321320.0,,431.0,512.0
502,2/25/2016,264624.0,,382.0,441.0
511,2/26/2016,270452.0,,382.0,477.0
520,2/27/2016,0.0,,0.0,0.0
529,2/28/2016,0.0,,0.0,0.0
538,2/29/2016,323424.0,,500.0,622.0
547,3/1/2016,317677.0,,450.0,550.0
556,3/2/2016,384018.0,,499.0,489.0
565,3/3/2016,308940.0,,427.0,439.0
