,date,handle_time,handle_time_forecast,volume,volume_forecast
8,1/1/2016,0.0,,0.0,0.0
17,1/2/2016,0.0,,0.0,0.0
26,1/3/2016,0.0,,0.0,0.0
35,1/4/2016,1676378.0,,2461.0,2079.0
44,1/5/2016,1171091.0,,1487.0,1622.0
53,1/6/2016,1003707.0,,1283.0,1524.0
62,1/7/2016,965897.0,,1261.0,1429.0
71,1/8/2016,1021040.0,,1346.0,1388.0
80,1/9/2016,0.0,,0.0,0.0
89,1/10/2016,0.0,,0.0,0.0
98,1/11/2016,1296176.0,,1648.0,2184.0
107,1/12/2016,898168.0,,1177.0,1902.0
116,1/13/2016,797627.0,,1096.0,1676.0
125,1/14/2016,744994.0,,985.0,1461.0
134,1/15/2016,895445.0,,1293.0,1517.0
143,1/16/2016,0.0,,0.0,0.0
152,1/17/2016,0.0,,0.0,0.0
161,1/18/2016,373897.0,,538.0,719.0
170,1/19/2016,871141.0,,1164.0,1382.0
179,1/20/2016,914491.0,,1254.0,1279.0
188,1/21/2016,690763.0,,953.0,1127.0
197,1/22/2016,643988.0,,815.0,1178.0
206,1/23/2016,0.0,,0.0,0.0
215,1/24/2016,0.0,,0.0,0.0
224,1/25/2016,761345.0,,954.0,1390.0
233,1/26/2016,671190.0,,905.0,1145.0
242,1/27/2016,624036.0,,834.0,962.0
251,1/28/2016,574185.0,,822.0,872.0
260,1/29/2016,666059.0,,909.0,923.0
269,1/30/2016,0.0,,0.0,0.0
278,1/31/2016,0.0,,0.0,0.0
287,2/1/2016,935798.0,,1579.0,1242.0
296,2/2/2016,794094.0,,1341.0,1110.0
305,2/3/2016,755111.0,,1004.0,985.0
314,2/4/2016,689923.0,,893.0,944.0
323,2/5/2016,706200.0,,976.0,974.0
332,2/6/2016,0.0,,0.0,0.0
341,2/7/2016,0.0,,0.0,0.0
350,2/8/2016,907001.0,,1290.0,1245.0
359,2/9/2016,842686.0,,1068.0,1117.0
368,2/10/2016,657498.0,,890.0,994.0
377,2/11/2016,731341.0,,998.0,957.0
386,2/12/2016,683613.0,,920.0,989.0
395,2/13/2016,0.0,,0.0,0.0
404,2/14/2016,0.0,,0.0,0.0
413,2/15/2016,377611.0,,541.0,552.0
422,2/16/2016,739858.0,,1070.0,1197.0
431,2/17/2016,723275.0,,939.0,1121.0
440,2/18/2016,600312.0,,854.0,938.0
449,2/19/2016,618953.0,,817.0,971.0
458,2/20/2016,0.0,,0.0,0.0
467,2/21/2016,0.0,,0.0,0.0
476,2/22/2016,842577.0,,1177.0,1124.0
485,2/23/2016,634882.0,,884.0,1068.0
494,2/24/2016,619586.0,,821.0,930.0
503,2/25/2016,568406.0,,749.0,905.0
512,2/26/2016,569904.0,,800.0,926.0
521,2/27/2016,0.0,,0.0,0.0
530,2/28/2016,0.0,,0.0,0.0
539,2/29/2016,807848.0,,1091.0,1421.0
548,3/1/2016,698018.0,,1037.0,1178.0
557,3/2/2016,683949.0,,949.0,1017.0
566,3/3/2016,624176.0,,858.0,976.0
575,3/4/2016,673291.0,,913.0,1003.0
584,3/5/2016,0.0,,0.0,0.0
593,3/6/2016,0.0,,0.0,0.0
602,3/7/2016,917970.0,,1302.0,1344.0
611,3/8/2016,740820.0,,973.0,1128.0
620,3/9/2016,567291.0,,797.0,1067.0
629,3/10/2016,557265.0,,815.0,954.0
638,3/11/2016,611462.0,,892.0,1024.0
647,3/12/2016,0.0,,0.0,0.0
656,3/13/2016,0.0,,0.0,0.0
665,3/14/2016,842770.0,,1254.0,1441.0
674,3/15/2016,666242.0,,890.0,1178.0
683,3/16/2016,651637.0,,843.0,1129.0
692,3/17/2016,650728.0,,855.0,1027.0
701,3/18/2016,707065.0,,1013.0,1109.0
710,3/19/2016,0.0,,0.0,0.0
719,3/20/2016,0.0,,0.0,0.0
728,3/21/2016,897489.0,,1244.0,1471.0
737,3/22/2016,686396.0,,889.0,1223.0
746,3/23/2016,537881.0,,759.0,1154.0
755,3/24/2016,530201.0,,740.0,1123.0
764,3/25/2016,343339.0,,504.0,607.0
773,3/26/2016,0.0,,0.0,0.0
782,3/27/2016,0.0,,0.0,0.0
791,3/28/2016,825033.0,,1155.0,1477.0
800,3/29/2016,673684.0,,896.0,1227.0
809,3/30/2016,679702.0,,966.0,1158.0
818,3/31/2016,697522.0,,914.0,1134.0
827,4/1/2016,788178.0,,1131.0,1178.0
836,4/2/2016,0.0,,0.0,0.0
845,4/3/2016,0.0,,0.0,0.0
854,4/4/2016,1024826.0,,1523.0,1406.0
863,4/5/2016,755575.0,,1046.0,1154.0
872,4/6/2016,777838.0,,1110.0,1078.0
881,4/7/2016,828364.0,,1168.0,1056.0
890,4/8/2016,857642.0,,1134.0,1101.0
899,4/9/2016,0.0,,0.0,0.0
908,4/10/2016,0.0,,0.0,0.0
917,4/11/2016,1069379.0,,1537.0,1477.0
926,4/12/2016,908143.0,,1236.0,1223.0
935,4/13/2016,814580.0,,1110.0,1243.0
944,4/14/2016,782134.0,,1102.0,1283.0
953,4/15/2016,714901.0,,1037.0,1358.0
962,4/16/2016,0.0,,0.0,0.0
971,4/17/2016,0.0,,0.0,0.0
980,4/18/2016,842267.0,,1289.0,1488.0
989,4/19/2016,645960.0,,947.0,848.0
998,4/20/2016,580614.0,,847.0,789.0
1007,4/21/2016,482997.0,,714.0,754.0
1016,4/22/2016,488767.0,,749.0,787.0
1025,4/23/2016,0.0,,0.0,0.0
1034,4/24/2016,0.0,,0.0,0.0
1043,4/25/2016,647424.0,,918.0,1117.0
1052,4/26/2016,533861.0,,708.0,868.0
1061,4/27/2016,458611.0,,624.0,832.0
1070,4/28/2016,499918.0,,658.0,777.0
1079,4/29/2016,425807.0,,627.0,898.0
1088,4/30/2016,0.0,,0.0,0.0
1097,5/1/2016,0.0,,0.0,0.0
1106,5/2/2016,648695.0,,979.0,917.0
1115,5/3/2016,530918.0,,744.0,691.0
1124,5/4/2016,449764.0,,654.0,622.0
1133,5/5/2016,393693.0,,539.0,600.0
1142,5/6/2016,409334.0,,611.0,629.0
1151,5/7/2016,0.0,,0.0,0.0
1160,5/8/2016,0.0,,0.0,0.0
1169,5/9/2016,574213.0,,820.0,917.0
1178,5/10/2016,542412.0,,818.0,691.0
1187,5/11/2016,496825.0,,705.0,622.0
1196,5/12/2016,464746.0,,647.0,600.0
1205,5/13/2016,464548.0,,702.0,629.0
1214,5/14/2016,0.0,,0.0,0.0
1223,5/15/2016,0.0,,0.0,0.0
1232,5/16/2016,664498.0,,944.0,917.0
1241,5/17/2016,494826.0,,696.0,699.0
1250,5/18/2016,477801.0,,678.0,628.0
1259,5/19/2016,411120.0,,548.0,603.0
1268,5/20/2016,375880.0,,526.0,631.0
1277,5/21/2016,0.0,,0.0,0.0
1286,5/22/2016,0.0,,0.0,0.0
1295,5/23/2016,556581.0,,815.0,892.0
1304,5/24/2016,488246.0,,704.0,685.0
1313,5/25/2016,432900.0,,646.0,615.0
1322,5/26/2016,425003.0,,656.0,591.0
1331,5/27/2016,388215.0,,586.0,601.0
1340,5/28/2016,0.0,,0.0,0.0
1349,5/29/2016,0.0,,0.0,0.0
1358,5/30/2016,0.0,,0.0,0.0
1367,5/31/2016,588378.0,,867.0,878.0
1376,6/1/2016,503642.0,,783.0,832.0
1385,6/2/2016,490657.0,,699.0,647.0
1394,6/3/2016,498569.0,,716.0,622.0
1403,6/4/2016,0.0,,0.0,0.0
1412,6/5/2016,0.0,,0.0,0.0
1421,6/6/2016,780254.0,,1121.0,820.0
1430,6/7/2016,666181.0,,1054.0,819.0
1439,6/8/2016,581775.0,,869.0,705.0
1448,6/9/2016,543493.0,,718.0,648.0
1457,6/10/2016,447176.0,,668.0,661.0
1466,6/11/2016,0.0,,0.0,0.0
1475,6/12/2016,0.0,,0.0,0.0
1484,6/13/2016,562084.0,,820.0,1044.0
1493,6/14/2016,445455.0,,657.0,921.0
1502,6/15/2016,425273.0,,542.0,817.0
1511,6/16/2016,391591.0,,570.0,775.0
1520,6/17/2016,442152.0,,601.0,749.0
1529,6/18/2016,0.0,,0.0,0.0
1538,6/19/2016,0.0,,0.0,0.0
1547,6/20/2016,547399.0,,828.0,1109.0
1556,6/21/2016,488689.0,,672.0,1013.0
1565,6/22/2016,434211.0,,614.0,899.0
1574,6/23/2016,404460.0,,623.0,853.0
1583,6/24/2016,571555.0,,881.0,823.0
1592,6/25/2016,0.0,,0.0,0.0
1601,6/26/2016,0.0,,0.0,0.0
1610,6/27/2016,634627.0,,983.0,860.0
1619,6/28/2016,475523.0,,756.0,660.0
1628,6/29/2016,449789.0,,710.0,592.0
1637,6/30/2016,472694.0,,707.0,569.0
1646,7/1/2016,495800.0,,831.0,568.0
1655,7/2/2016,0.0,,0.0,0.0
1664,7/3/2016,0.0,,0.0,0.0
1673,7/4/2016,0.0,,0.0,0.0
1682,7/5/2016,626529.0,,983.0,1154.0
1691,7/6/2016,504318.0,,756.0,1002.0
1700,7/7/2016,523352.0,,753.0,770.0
1709,7/8/2016,681950.0,,1237.0,722.0
1718,7/9/2016,0.0,,0.0,0.0
1727,7/10/2016,0.0,,0.0,0.0
1736,7/11/2016,1058543.0,,1782.0,1121.0
1745,7/12/2016,766781.0,,1153.0,1054.0
1754,7/13/2016,651017.0,,1018.0,869.0
1763,7/14/2016,621348.0,,974.0,744.0
1772,7/15/2016,651141.0,,968.0,690.0
1781,7/16/2016,0.0,,0.0,0.0
1790,7/17/2016,0.0,,0.0,0.0
1799,7/18/2016,701211.0,,1079.0,927.0
1808,7/19/2016,556147.0,,798.0,766.0
1817,7/20/2016,504762.0,,781.0,774.0
1826,7/21/2016,481374.0,,678.0,734.0
1835,7/22/2016,488299.0,,718.0,764.0
1844,7/23/2016,0.0,,0.0,0.0
1853,7/24/2016,0.0,,0.0,0.0
1862,7/25/2016,606319.0,,901.0,1047.0
1871,7/26/2016,489502.0,,743.0,829.0
1880,7/27/2016,398279.0,,634.0,751.0
1889,7/28/2016,439874.0,,652.0,713.0
1898,7/29/2016,485163.0,,728.0,740.0
1907,7/30/2016,0.0,,0.0,0.0
1916,7/31/2016,0.0,,0.0,0.0
1925,8/1/2016,626779.0,,1027.0,1121.0
1934,8/2/2016,499012.0,,753.0,779.0
1943,8/3/2016,468139.0,,713.0,722.0
1952,8/4/2016,411176.0,,615.0,698.0
1961,8/5/2016,529274.0,,895.0,733.0
1970,8/6/2016,0.0,,0.0,0.0
1979,8/7/2016,0.0,,0.0,0.0
1988,8/8/2016,677571.0,,1089.0,1021.0
1997,8/9/2016,545787.0,,820.0,767.0
2006,8/10/2016,476332.0,,738.0,721.0
2015,8/11/2016,523747.0,,900.0,668.0
2024,8/12/2016,489327.0,,766.0,675.0
2033,8/13/2016,22.0,,1.0,0.0
2042,8/14/2016,0.0,,0.0,0.0
2051,8/15/2016,768970.0,,1227.0,1198.0
