date,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST
1/1/2016,0,,0,646
1/2/2016,0,,0,0
1/3/2016,0,,0,0
1/4/2016,622585,,1032,1306
1/5/2016,507042,,736,1094
1/6/2016,429551,,672,1044
1/7/2016,462952,,679,757
1/8/2016,419145,,660,808
1/9/2016,0,,0,0
1/10/2016,0,,0,0
1/11/2016,517906,,799,1355
1/12/2016,481048,,741,1231
1/13/2016,434736,,696,1176
1/14/2016,405504,,657,1117
1/15/2016,546004,,944,988
1/16/2016,0,,0,0
1/17/2016,0,,0,0
1/18/2016,327414,,555,600
1/19/2016,555402,,970,1164
1/20/2016,590673,,987,1051
1/21/2016,456212,,774,943
1/22/2016,418383,,683,911
1/23/2016,0,,0,0
1/24/2016,0,,0,0
1/25/2016,455924,,791,1027
1/26/2016,457045,,702,916
1/27/2016,404264,,647,809
1/28/2016,364891,,614,877
1/29/2016,366802,,646,871
1/30/2016,0,,0,0
1/31/2016,0,,0,0
2/1/2016,494716,,937,916
2/2/2016,453084,,815,827
2/3/2016,397709,,681,773
2/4/2016,383003,,607,655
2/5/2016,352976,,624,659
2/6/2016,0,,0,0
2/7/2016,0,,0,0
2/8/2016,525318,,802,817
2/9/2016,416826,,704,750
2/10/2016,388893,,623,706
2/11/2016,366232,,624,578
2/12/2016,369640,,634,619
2/13/2016,0,,0,0
2/14/2016,0,,0,0
2/15/2016,203086,,376,442
2/16/2016,412783,,735,804
2/17/2016,394302,,669,750
2/18/2016,367188,,630,663
2/19/2016,338657,,579,634
2/20/2016,0,,0,0
2/21/2016,0,,0,0
2/22/2016,405430,,756,887
2/23/2016,388767,,647,807
2/24/2016,375898,,647,640
2/25/2016,314402,,547,683
2/26/2016,309729,,564,644
2/27/2016,0,,0,0
2/28/2016,0,,0,0
2/29/2016,375721,,713,840
3/1/2016,372086,,637,700
3/2/2016,328172,,597,656
3/3/2016,298942,,518,650
3/4/2016,340078,,653,694
3/5/2016,0,,0,0
3/6/2016,0,,0,0
3/7/2016,436863,,817,746
3/8/2016,408646,,659,686
3/9/2016,319682,,538,608
3/10/2016,364877,,584,617
3/11/2016,332344,,595,575
3/12/2016,0,,0,0
3/13/2016,0,,0,0
3/14/2016,464996,,847,830
3/15/2016,400924,,683,648
3/16/2016,339170,,587,593
3/17/2016,338030,,605,609
3/18/2016,371015,,632,597
3/19/2016,0,,0,0
3/20/2016,0,,0,0
3/21/2016,566173,,944,850
3/22/2016,394769,,641,665
3/23/2016,338873,,584,597
3/24/2016,288715,,537,532
3/25/2016,209519,,393,471
3/26/2016,0,,0,0
3/27/2016,0,,0,0
3/28/2016,552309,,983,1014
3/29/2016,562286,,986,717
3/30/2016,541653,,864,690
3/31/2016,462035,,761,636
4/1/2016,457897,,807,656
4/2/2016,0,,0,0
4/3/2016,0,,0,0
4/4/2016,622171,,1056,1068
4/5/2016,509283,,833,800
4/6/2016,421084,,797,742
4/7/2016,568754,,991,769
4/8/2016,480857,,861,822
4/9/2016,0,,0,0
4/10/2016,0,,0,0
4/11/2016,856437,,1500,1397
4/12/2016,671013,,1159,1191
4/13/2016,648123,,1096,1212
4/14/2016,647732,,1108,1306
4/15/2016,591880,,1026,1419
4/16/2016,0,,0,0
4/17/2016,0,,0,0
4/18/2016,668980,,1357,1399
4/19/2016,445008,,801,672
4/20/2016,371925,,632,572
4/21/2016,342729,,598,606
4/22/2016,416608,,663,586
4/23/2016,0,,0,0
4/24/2016,0,,0,0
4/25/2016,442584,,806,721
4/26/2016,357925,,618,596
4/27/2016,369558,,638,506
4/28/2016,345818,,616,450
4/29/2016,346233,,592,451
4/30/2016,0,,0,0
5/1/2016,0,,0,0
5/2/2016,393727,,687,619
5/3/2016,298916,,525,594
5/4/2016,280971,,483,538
5/5/2016,252702,,473,503
5/6/2016,264884,,428,501
5/7/2016,0,,0,0
5/8/2016,0,,0,0
5/9/2016,313400,,590,680
5/10/2016,324101,,541,599
5/11/2016,253448,,447,508
5/12/2016,252193,,480,510
5/13/2016,271518,,488,527
5/14/2016,0,,0,0
5/15/2016,0,,0,0
5/16/2016,345262,,664,699
5/17/2016,288526,,524,619
5/18/2016,291920,,512,548
5/19/2016,236949,,452,510
5/20/2016,218824,,436,501
5/21/2016,0,,0,0
5/22/2016,0,,0,0
5/23/2016,356457,,626,701
5/24/2016,300513,,510,619
5/25/2016,259441,,453,546
5/26/2016,236195,,415,503
5/27/2016,237970,,413,517
5/28/2016,0,,0,0
5/29/2016,0,,0,0
