,date,handle_time,handle_time_forecast,volume,volume_forecast,volume_handled
5,1/1/2016,2006.0,,6.0,0.0,6.0
14,1/2/2016,728895.0,,1174.0,921.0,1167.0
23,1/3/2016,0.0,,0.0,0.0,0.0
32,1/4/2016,3996279.0,,6886.0,6547.0,6046.0
41,1/5/2016,3175414.0,,4928.0,4328.0,4715.0
50,1/6/2016,2466037.0,,3713.0,3987.0,3676.0
59,1/7/2016,2529994.0,,3910.0,4006.0,3862.0
68,1/8/2016,2538784.0,,3797.0,4107.0,3744.0
77,1/9/2016,708528.0,,1127.0,1229.0,1083.0
86,1/10/2016,0.0,,0.0,0.0,0.0
95,1/11/2016,3379494.0,,5079.0,6478.0,5015.0
104,1/12/2016,2555245.0,,4080.0,4761.0,4009.0
113,1/13/2016,2308801.0,,3610.0,4117.0,3548.0
122,1/14/2016,2185619.0,,3282.0,3722.0,3277.0
131,1/15/2016,2449216.0,,3941.0,3611.0,3756.0
140,1/16/2016,530375.0,,967.0,1056.0,939.0
149,1/17/2016,0.0,,0.0,0.0,0.0
158,1/18/2016,1291907.0,,2000.0,2162.0,1992.0
167,1/19/2016,2607492.0,,4101.0,4297.0,4073.0
176,1/20/2016,2625571.0,,4197.0,4047.0,4065.0
185,1/21/2016,2057512.0,,3405.0,3723.0,3397.0
194,1/22/2016,1875761.0,,2992.0,3789.0,2957.0
203,1/23/2016,453668.0,,835.0,1117.0,821.0
212,1/24/2016,0.0,,0.0,0.0,0.0
221,1/25/2016,2315550.0,,3887.0,4283.0,3757.0
230,1/26/2016,2146729.0,,3389.0,3912.0,3369.0
239,1/27/2016,1872722.0,,3151.0,3741.0,3146.0
248,1/28/2016,1837726.0,,3075.0,3564.0,3044.0
257,1/29/2016,2051000.0,,3462.0,3657.0,3404.0
266,1/30/2016,580774.0,,1189.0,1227.0,1186.0
275,1/31/2016,0.0,,0.0,0.0,0.0
284,2/1/2016,2695765.0,,6381.0,4287.0,4089.0
293,2/2/2016,2899657.0,,5721.0,3849.0,4175.0
302,2/3/2016,2690482.0,,4185.0,3421.0,4029.0
311,2/4/2016,2317669.0,,3629.0,3200.0,3571.0
320,2/5/2016,2090013.0,,3446.0,3274.0,3232.0
329,2/6/2016,516460.0,,944.0,1032.0,932.0
338,2/7/2016,0.0,,0.0,0.0,0.0
347,2/8/2016,2835715.0,,4464.0,4346.0,4221.0
356,2/9/2016,2352926.0,,3621.0,3836.0,3601.0
365,2/10/2016,1995333.0,,3234.0,3367.0,3177.0
374,2/11/2016,1944491.0,,3115.0,3418.0,3018.0
383,2/12/2016,2209937.0,,3294.0,3557.0,3261.0
392,2/13/2016,513089.0,,919.0,926.0,889.0
401,2/14/2016,0.0,,1.0,0.0,0.0
410,2/15/2016,1215109.0,,2104.0,2234.0,2001.0
419,2/16/2016,2635606.0,,4088.0,4023.0,4074.0
428,2/17/2016,2124022.0,,3360.0,3711.0,3276.0
437,2/18/2016,1906004.0,,3017.0,3341.0,2983.0
446,2/19/2016,1874547.0,,2971.0,3562.0,2885.0
455,2/20/2016,399795.0,,800.0,925.0,792.0
464,2/21/2016,0.0,,0.0,0.0,0.0
473,2/22/2016,2517231.0,,4101.0,4127.0,3917.0
482,2/23/2016,2072529.0,,3390.0,3419.0,3208.0
491,2/24/2016,1818546.0,,2848.0,3327.0,2836.0
500,2/25/2016,1791146.0,,2790.0,3201.0,2768.0
509,2/26/2016,1886147.0,,2860.0,3373.0,2811.0
518,2/27/2016,543873.0,,914.0,1164.0,888.0
527,2/28/2016,0.0,,0.0,0.0,0.0
536,2/29/2016,2641224.0,,4025.0,4382.0,4015.0
545,3/1/2016,2284598.0,,3550.0,3772.0,3508.0
554,3/2/2016,1915496.0,,3122.0,3412.0,3042.0
563,3/3/2016,1782558.0,,2867.0,3398.0,2757.0
572,3/4/2016,2250168.0,,3210.0,3514.0,3137.0
581,3/5/2016,484614.0,,920.0,1078.0,902.0
590,3/6/2016,0.0,,1.0,0.0,0.0
599,3/7/2016,2770047.0,,4383.0,4119.0,4076.0
608,3/8/2016,2178736.0,,3300.0,3546.0,3292.0
617,3/9/2016,2056727.0,,2992.0,3208.0,2989.0
626,3/10/2016,1914436.0,,2741.0,3195.0,2740.0
635,3/11/2016,1979451.0,,2973.0,3303.0,2931.0
644,3/12/2016,526962.0,,996.0,1014.0,962.0
653,3/13/2016,0.0,,0.0,0.0,0.0
662,3/14/2016,2620356.0,,4215.0,4329.0,3989.0
671,3/15/2016,2090202.0,,3217.0,3811.0,3182.0
680,3/16/2016,1992152.0,,3132.0,3441.0,3083.0
689,3/17/2016,2002626.0,,2995.0,3423.0,2985.0
698,3/18/2016,2119704.0,,3210.0,3540.0,3134.0
707,3/19/2016,544730.0,,967.0,1070.0,958.0
716,3/20/2016,0.0,,0.0,0.0,0.0
725,3/21/2016,2691346.0,,4278.0,4492.0,4162.0
734,3/22/2016,2037673.0,,3355.0,4040.0,3323.0
743,3/23/2016,1745140.0,,2967.0,3647.0,2693.0
752,3/24/2016,1775840.0,,2746.0,3521.0,2736.0
761,3/25/2016,1103213.0,,1958.0,2249.0,1955.0
770,3/26/2016,394847.0,,699.0,1133.0,683.0
779,3/27/2016,0.0,,0.0,0.0,0.0
788,3/28/2016,2576862.0,,4197.0,4511.0,4180.0
797,3/29/2016,2058056.0,,3434.0,3817.0,3429.0
806,3/30/2016,2055829.0,,3411.0,3551.0,3404.0
