date,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST
1/1/2016,0,,0,0
1/2/2016,0,,0,0
1/3/2016,0,,0,0
1/4/2016,6893852,,10878,9930
1/5/2016,4866501,,7575,9572
1/6/2016,4353665,,6552,8738
1/7/2016,4390773,,6895,8124
1/8/2016,4125672,,6348,8118
1/9/2016,0,,0,0
1/10/2016,0,,0,0
1/11/2016,5317034,,8340,10800
1/12/2016,4399514,,6918,10011
1/13/2016,4158719,,6539,7601
1/14/2016,4391586,,6876,7100
1/15/2016,4708926,,7650,7318
1/16/2016,0,,0,0
1/17/2016,0,,0,0
1/18/2016,2738411,,4644,4998
1/19/2016,5131116,,8516,9122
1/20/2016,5188922,,8361,7916
1/21/2016,4431210,,7289,7332
1/22/2016,3891583,,6387,7154
1/23/2016,0,,0,0
1/24/2016,0,,0,0
1/25/2016,5008026,,8686,8938
1/26/2016,4132561,,6877,7275
1/27/2016,4131370,,6935,6734
1/28/2016,3759388,,6283,6569
1/29/2016,3890319,,6670,6556
1/30/2016,0,,0,0
1/31/2016,0,,0,0
2/1/2016,4963494,,9745,9037
2/2/2016,4309314,,7526,7117
2/3/2016,4373160,,6838,6150
2/4/2016,3746507,,6033,6046
2/5/2016,3650662,,5814,6188
2/6/2016,0,,0,0
2/7/2016,0,,0,0
2/8/2016,4755370,,7590,8630
2/9/2016,3962159,,6282,6833
2/10/2016,3789561,,6106,6570
2/11/2016,3465890,,5646,6220
2/12/2016,3548765,,5454,6247
2/13/2016,0,,0,0
2/14/2016,0,,0,0
2/15/2016,2370085,,3984,4392
2/16/2016,3893100,,6443,7411
2/17/2016,3615085,,5997,6851
2/18/2016,3488854,,5529,6338
2/19/2016,3525298,,5676,6501
2/20/2016,0,,0,0
2/21/2016,0,,0,0
2/22/2016,4433582,,7649,8587
2/23/2016,3793963,,6351,6922
2/24/2016,3508498,,5968,6574
2/25/2016,3496667,,5939,6167
2/26/2016,3429502,,5700,6082
2/27/2016,0,,5,0
2/28/2016,0,,0,0
2/29/2016,4516931,,7794,8000
3/1/2016,3789988,,6288,7424
3/2/2016,3592891,,6067,6431
3/3/2016,3222426,,5265,6100
3/4/2016,3582097,,5691,6405
3/5/2016,0,,0,0
3/6/2016,0,,0,0
3/7/2016,4570980,,7781,7900
3/8/2016,3866053,,6391,6594
3/9/2016,3381621,,5624,6063
3/10/2016,3384421,,5540,5859
3/11/2016,3332939,,5568,5784
3/12/2016,0,,0,0
3/13/2016,0,,0,0
3/14/2016,4582660,,7460,7986
3/15/2016,3739957,,6051,6422
3/16/2016,3318716,,5583,6057
3/17/2016,3209730,,5337,5768
3/18/2016,3499898,,5711,5852
3/19/2016,0,,0,0
3/20/2016,0,,0,0
3/21/2016,4707206,,8139,7768
3/22/2016,4113978,,6582,6344
3/23/2016,3618734,,6043,5940
3/24/2016,3272696,,5389,5630
3/25/2016,2113965,,3560,3917
3/26/2016,0,,0,0
3/27/2016,0,,0,0
3/28/2016,4560087,,7564,8000
3/29/2016,3914503,,6268,6287
3/30/2016,3683425,,6061,5817
3/31/2016,3444042,,5714,5501
4/1/2016,3522362,,5741,5725
4/2/2016,0,,0,0
4/3/2016,0,,0,0
4/4/2016,5005287,,8244,8120
4/5/2016,3919063,,6459,6724
4/6/2016,3614771,,5922,6477
4/7/2016,3369523,,5610,6247
4/8/2016,3302929,,5529,6171
4/9/2016,0,,0,0
4/10/2016,0,,0,0
4/11/2016,4993441,,8267,8996
4/12/2016,4069411,,6895,7534
4/13/2016,3798410,,6497,7322
4/14/2016,3825185,,6593,7099
4/15/2016,3941992,,6616,7500
4/16/2016,0,,0,0
4/17/2016,0,,0,0
4/18/2016,5100353,,8824,9536
4/19/2016,4373560,,7496,7786
4/20/2016,3935695,,6571,6415
4/21/2016,3336421,,5737,5802
4/22/2016,3253908,,5628,5915
4/23/2016,0,,0,0
4/24/2016,0,,0,0
