,,,,,
,Date,Dow Jones  value,RIS Forecast Volume,RIS Actual Volume,
,1/4/2016,17148.94,6547,6886,
,1/5/2016,17158.66,4328,4928,
,1/6/2016,16906.51,3987,3713,
,1/7/2016,16514.1,4006,3910,
,1/8/2016,16346.45,4107,3797,
,1/11/2016,16398.57,6478,5079,
,1/12/2016,16516.22,4761,4080,
,1/13/2016,16151.41,4117,3610,
,1/14/2016,16379.05,3722,3282,
,1/15/2016,15988.08,3611,3941,
,1/19/2016,16016.02,4297,4101,
,1/20/2016,15766.74,4047,4197,
,1/21/2016,15882.68,3723,3405,
,1/22/2016,16093.51,3789,2992,
,1/25/2016,15885.22,4283,3887,
,1/26/2016,16167.23,3912,3389,
,1/27/2016,15944.46,3741,3151,
,1/28/2016,16069.64,3564,3075,
,1/29/2016,16466.3,3657,3462,
,2/1/2016,16449.18,4287,6381,
,2/2/2016,16153.54,3849,5721,
,2/3/2016,16336.66,3421,4185,
,2/4/2016,16416.58,3200,3629,
,2/5/2016,16204.97,3274,3446,
,2/8/2016,16027.05,4346,4464,
,2/9/2016,16014.38,3836,3621,
,2/10/2016,15914.74,3367,3234,
,2/11/2016,15660.18,3418,3115,
,2/12/2016,15973.84,3557,3294,
,2/16/2016,16196.41,4023,4088,
,2/17/2016,16453.83,3711,3360,
,2/18/2016,16413.43,3341,3017,
,2/19/2016,16391.99,3562,2971,
,2/22/2016,16620.66,4127,4101,
,2/23/2016,16431.78,3419,3390,
,2/24/2016,16484.99,3327,2848,
,2/25/2016,16697.29,3201,2790,
,2/26/2016,16639.97,3373,2860,
,2/29/2016,16516.5,4382,4025,
,3/1/2016,16865.08,3772,3550,
,3/2/2016,16899.32,3412,3122,
,3/3/2016,16943.9,3398,2867,
,3/4/2016,17006.77,3514,3210,
,3/7/2016,17073.95,4119,4383,
,3/8/2016,16964.1,3546,3300,
,3/9/2016,17000.36,3208,2992,
,3/10/2016,16995.13,3195,2741,
,3/11/2016,17213.31,3303,2973,
,3/14/2016,17229.13,4329,4215,
,3/15/2016,17251.53,3811,3217,
,3/16/2016,17325.76,3441,3132,
,3/17/2016,17481.49,3423,2995,
,3/18/2016,17602.3,3540,3210,
,3/21/2016,17623.87,4492,4278,
,3/22/2016,17582.57,4040,3355,
,3/23/2016,17502.59,3647,2967,
,3/24/2016,17515.73,3521,2746,
,3/28/2016,17535.39,4511,4197,
,3/29/2016,17633.11,3817,3434,
,3/30/2016,17716.66,3551,3411,
,3/31/2016,17685.09,3470,3231,
,4/1/2016,17792.75,3586,3327,
,4/4/2016,17737,4622,4976,
,4/5/2016,17603.32,3958,3736,
,4/6/2016,17716.05,3625,3708,
,4/7/2016,17541.96,3521,3868,
,4/8/2016,17576.96,3662,3989,
,4/11/2016,17556.41,5812,5426,
,4/12/2016,17721.25,5073,4271,
,4/13/2016,17908.28,4128,4105,
,4/14/2016,17926.43,4619,3947,
,4/15/2016,17897.46,4820,3841,
,4/18/2016,18004.16,5074,4742,
,4/19/2016,18053.6,3526,3115,
,4/20/2016,18096.27,2872,2745,
,4/21/2016,17982.52,2691,2327,
,4/22/2016,18003.75,2707,2239,
,4/25/2016,17977.24,3490,2998,
,4/26/2016,17990.32,3178,2462,
,4/27/2016,18041.55,2748,2295,
,4/28/2016,17830.76,2494,2192,
,4/29/2016,17773.64,2593,2119,
,5/2/2016,17891.16,3018,3412,
,5/3/2016,17750.91,2460,2515,
,5/4/2016,17651.26,2295,2237,
,5/5/2016,17660.71,2216,2025,
,5/6/2016,17740.63,2223,2154,
,5/9/2016,17705.91,3018,2835,
,5/10/2016,17928.35,2460,2510,
,5/11/2016,17711.12,2295,2413,
,5/12/2016,17720.5,2216,2070,
,5/13/2016,17535.32,2223,2221,
,5/16/2016,17710.71,3153,2885,
,5/17/2016,17529.98,2502,2327,
,5/18/2016,17526.62,2216,2116,
,5/19/2016,17435.4,2110,1995,
,5/20/2016,17500.94,2147,1952,
,5/23/2016,17492.93,2978,3034,
,5/24/2016,17706.05,2377,2620,
,5/25/2016,17851.51,2105,2444,
,5/26/2016,17828.29,2004,2181,
,5/27/2016,17873.22,2021,2143,
,5/31/2016,17787.2,3432,3106,
,6/1/2016,17789.67,2688,2650,
,6/2/2016,17838.56,2369,2339,
,6/3/2016,17807.06,2123,2257,
,6/6/2016,17920.33,2865,3036,
,6/7/2016,17938.28,2287,2778,
,6/8/2016,18005.05,2027,2572,
,6/9/2016,17985.19,1929,2337,
,6/10/2016,17865.34,1963,2113,
,6/13/2016,17732.48,3012,2909,
,6/14/2016,17674.82,2748,2310,
,6/15/2016,17640.17,2563,2095,
,6/16/2016,17733.1,2315,2106,
,6/17/2016,17675.16,2277,2003,
,6/20/2016,17804.87,2924,3113,
,6/21/2016,17829.73,2642,2579,
,6/22/2016,17780.83,2558,2456,
,6/23/2016,18011.07,2311,2170,
,6/24/2016,17400.75,2273,2766,
,6/27/2016,17140.24,3531,3413,
,6/28/2016,17409.72,2642,2452,
,6/29/2016,17694.68,2310,2354,
,6/30/2016,17929.99,2122,2231,
,7/1/2016,17949.37,2016,2638,
,7/5/2016,17840.62,3358,3402,
,7/6/2016,17918.62,2882,2625,
,7/7/2016,17895.88,2511,2649,
,7/8/2016,18146.74,2401,3321,
,7/11/2016,18226.93,3342,5222,
,7/12/2016,18347.67,2875,3656,
,7/13/2016,18372.12,2661,3287,
,7/14/2016,18506.41,1997,3226,
,7/15/2016,18516.55,2031,2992,
,7/18/2016,18533.05,4753,3674,
,7/19/2016,18559.01,3017,2828,
,7/20/2016,18595.03,2605,2749,
,7/21/2016,18517.23,2425,2412,
,7/22/2016,18570.85,2456,2405,
,7/25/2016,18493.06,3572,3269,
,7/26/2016,18473.75,2921,2691,
,7/27/2016,18472.17,2617,2458,
,7/28/2016,18456.35,2446,2284,
,7/29/2016,18432.24,2478,2350,
,8/1/2016,18404.51,3822,3368,
,8/2/2016,18313.77,3117,2769,
,8/3/2016,18355,2844,2691,
,8/4/2016,18352.05,2523,2528,
,8/5/2016,18543.53,2561,2739,
,8/8/2016,18529.29,3267,3548,
,8/9/2016,18533.05,2686,2858,
,8/10/2016,18495.66,2550,2559,
,8/11/2016,18613.52,2323,2573,
,8/12/2016,18576.47,2359,2473,
,8/15/2016,18636.05,3624,3462,
,8/16/2016,18552.02,2979,2847,
,8/17/2016,18573.94,2686,2561,
,8/18/2016,18597.7,2615,2356,
,8/19/2016,18552.57,2304,2441,
,8/22/2016,18529.42,3444,3010,
,8/23/2016,18547.3,2830,2588,
,8/24/2016,18481.48,2553,2405,
,8/25/2016,18448.41,2484,2246,
,8/26/2016,18395.4,2188,2407,
,8/29/2016,18502.99,3375,3490,
,8/30/2016,18454.3,2773,2834,
,8/31/2016,18400.88,2502,2622,
,9/1/2016,18419.3,2434,2388,
,9/2/2016,18491.96,2144,2411,
,9/6/2016,18538.12,3371,3654,
,9/7/2016,18526.14,2673,2993,
,9/8/2016,18479.91,2464,2576,
,9/9/2016,18085.45,2498,2631,
,9/12/2016,18325.07,3276,3023,
,9/13/2016,18066.75,2676,2624,
,9/14/2016,18034.77,2487,2304,
,9/15/2016,18212.48,2342,2157,
,9/16/2016,18123.8,2424,2121,
,9/19/2016,18120.17,2953,3004,
,9/20/2016,18129.96,2615,2513,
,9/21/2016,18293.7,2452,2366,
,9/22/2016,18392.46,2348,2293,
,9/23/2016,18261.45,2401,2326,
,9/26/2016,18094.83,2953,2789,
,9/27/2016,18228.3,2615,2393,
,9/28/2016,18339.24,2452,2337,
,9/29/2016,18143.45,2348,2165,
,9/30/2016,18308.15,2401,2307,
,10/3/2016,18253.85,3496,3155,
,10/4/2016,18168.45,2922,2760,
,10/5/2016,18281.03,2644,2424,
,10/6/2016,18268.5,2554,2418,
,10/7/2016,18240.49,2566,2725,
,10/10/2016,18329.04,3022,2997,
,10/11/2016,18128.66,2756,2948,
,10/12/2016,18144.2,2375,2998,
,10/13/2016,18098.94,2264,2762,
,10/14/2016,18138.38,2228,2716,
,10/17/2016,18086.4,3076,3312,
,10/18/2016,18161.94,2615,2761,
,10/19/2016,18202.62,2358,2393,
,10/20/2016,18162.35,2224,2159,
,10/21/2016,18145.71,2324,2325,
,10/24/2016,18223.03,3188,3097,
,10/25/2016,18169.27,2689,2392,
,10/26/2016,18199.33,2421,2254,
,10/27/2016,18169.68,2314,2124,
,10/28/2016,18161.19,2644,2286,
,10/31/2016,18142.42,3075,2708,
,11/1/2016,18037.1,3014,2521,
,11/2/2016,17959.64,2874,2470,
,11/3/2016,17930.67,2615,2406,
,11/4/2016,17888.28,2747,2617,
,11/7/2016,18259.6,3542,3551,
,11/8/2016,18332.74,3135,2443,
,11/9/2016,18589.69,3033,2825,
,11/10/2016,18807.88,2578,2947,
,11/11/2016,18847.66,2732,2332,
,11/14/2016,18868.69,3274,3533,
,11/15/2016,18923.06,2975,3178,
,11/16/2016,18868.14,2689,2774,
,11/17/2016,18903.82,2687,2420,
,11/18/2016,18867.93,2723,2491,
,11/21/2016,18956.69,3276,3325,
,11/22/2016,19023.87,3004,3042,
,11/23/2016,19083.18,1998,2301,
,11/25/2016,19152.14,1522,1688,
,11/28/2016,19097.9,3874,3967,
,11/29/2016,19121.6,3142,2956,
,11/30/2016,19123.58,2932,2815,
,12/1/2016,19191.93,3043,2968,
,12/2/2016,19170.42,3028,2924,
,12/5/2016,19216.24,4081,4116,
,12/6/2016,19251.78,3310,3501,
,12/7/2016,19549.62,3087,3445,
,12/8/2016,19614.81,2882,3651,
,12/9/2016,19756.85,2932,3669,
,12/12/2016,19796.43,4239,4304,
,12/13/2016,19911.21,3891,3830,
,12/14/2016,19792.53,3642,3353,
,12/15/2016,19852.24,3426,3262,
,12/16/2016,19843.41,3586,3308,
,12/19/2016,19883.06,4450,4562,
,12/20/2016,19974.62,4087,3522,
,12/21/2016,19941.96,3825,3098,
,12/22/2016,19918.88,3597,2808,
,12/23/2016,19933.81,3767,2511,
,12/27/2016,19945.04,5128,4533,
,12/28/2016,19833.68,4367,3667,
,12/29/2016,19819.78,4226,3538,
,12/30/2016,19762.6,4319,3336,
,1/3/2017,19881.76,5826,5401,
,1/4/2017,19942.16,4516,4553,
,1/5/2017,19899.29,3923,3746,
,1/6/2017,19963.8,4109,3753,
,1/9/2017,19887.38,5121,5757,
,1/10/2017,19855.53,4922,4055,
,1/11/2017,19954.28,3801,3378,
,1/12/2017,19891,3517,3149,
,1/13/2017,19885.73,3842,3161,
,1/17/2017,19826.77,4837,3829,
,1/18/2017,19804.72,4042,3334,
,1/19/2017,19732.4,3501,2960,
,1/20/2017,19827.25,3518,2742,
,1/23/2017,19799.85,4470,4166,
,1/24/2017,19912.71,4017,3604,
,1/25/2017,20068.51,3423,3647,
,1/26/2017,20100.91,3319,3450,
,1/27/2017,20093.78,3523,3161,
,1/30/2017,19971.13,4009,4249,
,1/31/2017,19864.09,3558,3455,
,2/1/2017,19890.94,3572,2995,
,2/2/2017,19884.91,3421,2876,
,2/3/2017,20071.46,3522,3253,
,2/6/2017,20052.42,4223,5409,
,2/7/2017,20090.29,4020,4346,
,2/8/2017,20054.34,3384,3541,
,2/9/2017,20172.4,3011,3609,
,2/10/2017,20269.37,2970,3693,
,2/13/2017,20412.16,4492,4901,
,2/14/2017,20504.41,3790,3357,
,2/15/2017,20611.86,3085,3329,
,2/16/2017,20619.77,2745,3114,
,2/17/2017,20624.05,2708,3207,
,2/21/2017,20743,4315,4143,
,2/22/2017,20775.6,3561,3318,
,2/23/2017,20810.32,3016,3035,
,2/24/2017,20821.76,3126,3023,
,2/27/2017,20837.44,4152,4191,
,2/28/2017,20812.24,3619,3323,
,3/1/2017,21115.55,3451,3508,
,3/2/2017,21002.97,3320,3378,
,3/3/2017,21005.71,3357,3069,
,3/6/2017,20954.34,4422,4188,
,3/7/2017,20924.76,3654,3331,
,3/8/2017,20855.73,3311,3020,
,3/9/2017,20858.19,3288,2872,
,3/10/2017,20902.98,3309,3060,
,3/13/2017,20881.48,4218,3697,
,3/14/2017,20837.37,3654,3101,
,3/15/2017,20950.1,3218,2912,
,3/16/2017,20934.55,3071,2882,
,3/17/2017,20914.62,3162,2795,
,3/20/2017,20905.86,4432,4113,
,3/21/2017,20668.01,3837,3435,
,3/22/2017,20661.3,3379,3056,
,3/23/2017,20656.58,3226,2766,
,3/24/2017,20596.72,3320,2737,
,3/27/2017,20550.98,4421,3919,
,3/28/2017,20701.5,3828,3289,
,3/29/2017,20659.32,3347,2920,
,3/30/2017,20728.49,3271,2845,
,3/31/2017,20663.22,3368,3018,
,4/3/2017,20650.21,4851,4283,
,4/4/2017,20689.24,3820,3637,
