bu,old,prophet,kpi,start_train,end_train,diff
CS-Joh,29.75688976275006,27.827866783632608,aht,2017-01-01,2020-06-01,1.9290229791174518
PSG_ah,33.68115660586556,30.48502508075187,aht,2018-08-01,2020-08-01,3.196131525113689
RCS-PH,35.22804888385794,29.715415454136966,aht,2016-11-01,2020-11-01,5.512633429720971
RIS_ah,46.261258759851714,40.21452092355425,aht,2017-01-20,2020-06-01,6.046737836297467
BRO_ah,39.06277260792391,30.17117668671923,aht,2016-03-10,2020-09-01,8.89159592120468
CS-Mar,37.75053142607783,20.8825765984914,aht,2019-11-01,2020-11-01,16.867954827586427
CS-Nat,50.10845834921215,32.193603866359034,aht,2016-11-01,2020-11-01,17.914854482853116
WISE-C,57.96134518821318,24.71115196130977,aht,2018-11-01,2020-11-01,33.250193226903406
CS-Ala,80.68209736043269,33.67955337599146,aht,2019-11-01,2020-11-01,47.00254398444123
BRO_ah,24181.5625,21963.00799665737,handle_time,2017-11-01,2020-11-01,0.6162651398173976
CS-Ala,5296.875,2925.512677902405,handle_time,2019-11-01,2020-11-01,0.6587117561382209
CS-Nat,9472.0,6349.783906378147,handle_time,2016-11-01,2020-11-01,0.8672822482282926
BRO-Co,17326.333333333332,13187.170242906233,handle_time,2018-10-01,2020-10-01,1.1497675251186386
CS-Mar,22855.125,13381.658491723865,handle_time,2017-11-01,2020-11-01,2.6315184745211484
PSG_ah,100356.16666666669,65889.08730129228,handle_time,2018-10-01,2020-10-01,9.574188712604002
WISE-C,352606.0701754386,213364.6953704305,handle_time,2016-01-20,2020-09-01,38.6781596680578
RIS_ah,371797.125,121869.17844088633,handle_time,2019-11-01,2020-11-01,69.42442959975381
RCS-PH,37.06410256410256,34.941586492719864,volume,2018-08-01,2020-08-01,2.122516071382698
BRO-Co,25.0,21.704784727328033,volume,2018-10-01,2020-10-01,3.2952152726719675
BRO_ah,47.6875,41.139585703828985,volume,2016-11-01,2020-11-01,6.547914296171015
CS-Joh,35.0625,23.805728903406802,volume,2019-11-01,2020-11-01,11.256771096593198
CS-Mar,42.625,28.66436052331788,volume,2017-11-01,2020-11-01,13.960639476682118
CS-Nat,24.9375,10.10251305570167,volume,2016-11-01,2020-11-01,14.83498694429833
PSG_ah,160.5,116.01860662926144,volume,2016-11-01,2020-11-01,44.48139337073856
RIS_ah,240.6875,155.4665114244171,volume,2017-11-01,2020-11-01,85.22098857558291
