bu,old,prophet,kpi,start_train,end_train,diff
CS-Joh,29.75688976275006,27.827866783632608,aht,2017-01-01,2020-06-01,1.9290229791174518
PSG_ah,33.68115660586556,30.48502508075187,aht,2018-08-01,2020-08-01,3.196131525113689
RIS_ah,46.261258759851714,40.21452092355425,aht,2017-01-20,2020-06-01,6.046737836297467
BRO_ah,34.913854303778294,18.763250334560553,aht,2019-11-01,2020-11-22,16.15060396921774
CS-Nat,50.10845834921215,32.193603866359034,aht,2016-11-01,2020-11-01,17.914854482853116
RCS-PH,46.65837037433732,23.614910211946267,aht,2019-11-01,2020-11-22,23.043460162391057
WISE-C,57.96134518821318,24.71115196130977,aht,2018-11-01,2020-11-01,33.250193226903406
CS-Ala,80.68209736043269,33.67955337599146,aht,2019-11-01,2020-11-01,47.00254398444123
CS-Ala,5296.875,2925.512677902405,handle_time,2019-11-01,2020-11-01,0.6587117561382209
CS-Nat,9472.0,6349.783906378147,handle_time,2016-11-01,2020-11-01,0.8672822482282926
BRO-Co,17326.333333333332,13187.170242906233,handle_time,2018-10-01,2020-10-01,1.1497675251186386
CS-Joh,7203.0,1528.4817707524635,handle_time,2019-11-01,2020-11-22,1.5762550636798713
CS-Mar,22855.125,13381.658491723865,handle_time,2017-11-01,2020-11-01,2.6315184745211484
PSG_ah,74907.0,42376.12441242416,handle_time,2019-11-01,2020-11-22,9.03635432988218
BRO_ah,47358.0,9572.437833643984,handle_time,2019-11-01,2020-11-22,10.495989490654448
RIS_ah,371797.125,121869.17844088633,handle_time,2019-11-01,2020-11-01,69.42442959975381
WISE-C,1822803.0,111741.56093208492,handle_time,2019-11-01,2020-11-22,475.294844185532
RCS-PH,37.06410256410256,34.941586492719864,volume,2018-08-01,2020-08-01,2.122516071382698
BRO-Co,25.0,21.704784727328033,volume,2018-10-01,2020-10-01,3.2952152726719675
CS-Nat,19.0,8.730378686052262,volume,2019-11-01,2020-11-22,10.269621313947738
CS-Joh,35.0625,23.805728903406802,volume,2019-11-01,2020-11-01,11.256771096593198
CS-Mar,42.625,28.66436052331788,volume,2017-11-01,2020-11-01,13.960639476682118
PSG_ah,160.5,116.01860662926144,volume,2016-11-01,2020-11-01,44.48139337073856
BRO_ah,101.0,27.405989290551762,volume,2019-11-01,2020-11-22,73.59401070944824
RIS_ah,221.0,85.99915909050651,volume,2019-11-01,2020-11-22,135.0008409094935
WISE-C,2493.0,336.83787725324686,volume,2019-11-01,2020-11-22,2156.162122746753
