ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
1/1/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/1/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/1/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/1/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/1/2016,College Savings,College Savings,CS National,0,,0,0,
1/1/2016,II Services and Operations,RIS,RIS,2006,,6,0,
1/1/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,646,
1/1/2016,II Services and Operations,SCS,BRO,1317,,6,0,
1/1/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/2/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/2/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/2/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/2/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/2/2016,College Savings,College Savings,CS National,0,,0,0,
1/2/2016,II Services and Operations,RIS,RIS,728895,,1174,921,
1/2/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/2/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/2/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/3/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/3/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/3/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/3/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/3/2016,College Savings,College Savings,CS National,0,,0,0,
1/3/2016,II Services and Operations,RIS,RIS,0,,0,0,
1/3/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/3/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/3/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/4/2016,WISE,WISE,WISE Contractual,6893852,,10210,9930,
1/4/2016,College Savings,College Savings,CS Alaska,92200,,161,135,
1/4/2016,College Savings,College Savings,CS John Hancock,458086,,1031,1027,
1/4/2016,College Savings,College Savings,CS Maryland,693577,,1259,954,
1/4/2016,College Savings,College Savings,CS National,254753,,543,423,
1/4/2016,II Services and Operations,RIS,RIS,3996279,,6886,6547,
1/4/2016,II Services and Operations,RCS PHONES,RCS PHONES,622585,,1032,1306,
1/4/2016,II Services and Operations,SCS,BRO,500887,,790,972,
1/4/2016,II Services and Operations,SCS,PSG,1676378,,2461,2079,
1/5/2016,WISE,WISE,WISE Contractual,4866501,,7110,9572,
1/5/2016,College Savings,College Savings,CS Alaska,83691,,107,98,
1/5/2016,College Savings,College Savings,CS John Hancock,381149,,798,748,
1/5/2016,College Savings,College Savings,CS Maryland,425054,,687,694,
1/5/2016,College Savings,College Savings,CS National,177765,,305,308,
1/5/2016,II Services and Operations,RIS,RIS,3175414,,4928,4328,
1/5/2016,II Services and Operations,RCS PHONES,RCS PHONES,507042,,736,1094,
1/5/2016,II Services and Operations,SCS,BRO,442528,,631,844,
1/5/2016,II Services and Operations,SCS,PSG,1171091,,1487,1622,
1/6/2016,WISE,WISE,WISE Contractual,4353665,,6149,8738,
1/6/2016,College Savings,College Savings,CS Alaska,52741,,79,79,
1/6/2016,College Savings,College Savings,CS John Hancock,279712,,612,605,
1/6/2016,College Savings,College Savings,CS Maryland,303202,,491,562,
1/6/2016,College Savings,College Savings,CS National,126104,,240,249,
1/6/2016,II Services and Operations,RIS,RIS,2466037,,3713,3987,
1/6/2016,II Services and Operations,RCS PHONES,RCS PHONES,429551,,672,1044,
1/6/2016,II Services and Operations,SCS,BRO,397061,,547,828,
1/6/2016,II Services and Operations,SCS,PSG,1003707,,1283,1524,
1/7/2016,WISE,WISE,WISE Contractual,4390773,,6471,8124,
1/7/2016,College Savings,College Savings,CS Alaska,61826,,92,69,
1/7/2016,College Savings,College Savings,CS John Hancock,265484,,578,524,
1/7/2016,College Savings,College Savings,CS Maryland,264589,,412,486,
1/7/2016,College Savings,College Savings,CS National,108545,,203,216,
1/7/2016,II Services and Operations,RIS,RIS,2529994,,3910,4006,
1/7/2016,II Services and Operations,RCS PHONES,RCS PHONES,462952,,679,757,
1/7/2016,II Services and Operations,SCS,BRO,402881,,598,740,
1/7/2016,II Services and Operations,SCS,PSG,965897,,1261,1429,
1/8/2016,WISE,WISE,WISE Contractual,4125672,,5958,8118,
1/8/2016,College Savings,College Savings,CS Alaska,67190,,105,72,
1/8/2016,College Savings,College Savings,CS John Hancock,244487,,519,552,
1/8/2016,College Savings,College Savings,CS Maryland,328339,,517,512,
1/8/2016,College Savings,College Savings,CS National,107551,,207,227,
1/8/2016,II Services and Operations,RIS,RIS,2538784,,3797,4107,
1/8/2016,II Services and Operations,RCS PHONES,RCS PHONES,419145,,660,808,
1/8/2016,II Services and Operations,SCS,BRO,412462,,589,745,
1/8/2016,II Services and Operations,SCS,PSG,1021040,,1346,1388,
1/9/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/9/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/9/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/9/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/9/2016,College Savings,College Savings,CS National,0,,0,0,
1/9/2016,II Services and Operations,RIS,RIS,708528,,1127,1229,
1/9/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/9/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/9/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/10/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/10/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/10/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/10/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/10/2016,College Savings,College Savings,CS National,0,,0,0,
1/10/2016,II Services and Operations,RIS,RIS,0,,0,0,
1/10/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/10/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/10/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/11/2016,WISE,WISE,WISE Contractual,5317034,,7828,10800,
1/11/2016,College Savings,College Savings,CS Alaska,100362,,153,122,
1/11/2016,College Savings,College Savings,CS John Hancock,436316,,874,908,
1/11/2016,College Savings,College Savings,CS Maryland,552397,,925,881,
1/11/2016,College Savings,College Savings,CS National,180195,,330,385,
1/11/2016,II Services and Operations,RIS,RIS,3379494,,5079,6478,
1/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,517906,,799,1355,
1/11/2016,II Services and Operations,SCS,BRO,426351,,631,827,
1/11/2016,II Services and Operations,SCS,PSG,1296176,,1648,2184,
1/12/2016,WISE,WISE,WISE Contractual,4399514,,6493,10011,
1/12/2016,College Savings,College Savings,CS Alaska,70692,,119,96,
