bu,old,prophet,kpi,start_train,end_train
BRO-Co,77.2922872766747,41.54718568723981,aht,2018-10-01,2020-12-20
CS-Ala,75.01075473609566,31.92142713065325,aht,2016-01-01,2020-12-13
CS-Mar,22.10589161832553,12.95556626124336,aht,2017-11-01,2020-12-20
RCS-PH,26.523626971957626,39.0913961200181,aht,2018-11-01,2020-12-01
PSG_ah,89.21330924668437,45.92051198232994,aht,2019-11-01,2020-12-04
RIS_ah,130.38884694417447,36.43179772214421,aht,2019-11-01,2020-12-01
CS-Nat,29.575697875709768,22.19268645290709,aht,2019-11-01,2020-12-13
CS-Joh,25.607001112186857,9.21467527302732,aht,2019-12-01,2020-12-20
BRO_ah,50.1750342311441,17.030055480089935,aht,2018-11-01,2020-12-20
WISE-C,37.329177915981404,9.156925542354882,aht,2016-11-01,2020-12-04
