bu,old,prophet,kpi,start_train,end_train
BRO-Co,22645.6,12824.051243521968,handle_time,2018-10-01,2020-12-04
RIS_ah,402731.875,55038.59207270556,handle_time,2019-11-01,2020-12-01
BRO_ah,35353.4,12555.028775835188,handle_time,2018-11-01,2020-12-04
CS-Mar,20754.125,31942.657383583686,handle_time,2017-11-01,2020-12-01
PSG_ah,279187.0,25004.863611435147,handle_time,2019-11-01,2020-12-04
CS-Joh,17810.6,43606.76905542766,handle_time,2019-12-01,2020-12-04
CS-Nat,15103.75,6595.163424724529,handle_time,2016-11-01,2020-12-01
CS-Ala,7169.0,2799.627294379426,handle_time,2016-01-01,2020-12-01
WISE-C,475344.2,251570.95928539298,handle_time,2016-11-01,2020-12-04
RCS-PH,60709.75,23331.35833916033,handle_time,2018-11-01,2020-12-01
