bu,old,prophet,kpi,start_train,end_train,diff
BRO-Co,69.97859299314831,68.79436903938641,aht,2018-10-01,2020-12-01,1.1842239537619008
BRO_ah,32.18904309125732,27.98901896362,aht,2018-11-01,2020-12-01,4.200024127637317
WISE-C,44.90727897962925,31.709680688781205,aht,2016-11-01,2020-12-01,13.197598290848042
CS-Mar,50.615609540237294,19.866382006027983,aht,2017-11-01,2020-12-01,30.74922753420931
PSG_ah,84.43054313053456,51.438794658699685,aht,2019-11-01,2020-12-01,32.991748471834875
CS-Ala,105.78263919563871,50.742206686912134,aht,2016-01-01,2020-12-01,55.040432508726575
CS-Nat,104.35077771420588,48.76444339049107,aht,2016-11-01,2020-12-01,55.58633432371481
RIS_ah,130.38884694417447,36.43179772214421,aht,2019-11-01,2020-12-01,93.95704922203026
CS-Ala,7169.0,2799.627294379426,handle_time,2016-01-01,2020-12-01,4369.3727056205735
CS-Nat,15103.75,6595.163424724529,handle_time,2016-11-01,2020-12-01,8508.58657527547
BRO_ah,32495.0,13168.61219007522,handle_time,2018-11-01,2020-12-01,19326.38780992478
WISE-C,338553.0,308287.1958714787,handle_time,2016-11-01,2020-12-01,30265.804128521297
RCS-PH,60709.75,23331.35833916033,handle_time,2018-11-01,2020-12-01,37378.39166083967
PSG_ah,186989.25,42057.1666970957,handle_time,2019-11-01,2020-12-01,144932.0833029043
RIS_ah,402731.875,55038.59207270556,handle_time,2019-11-01,2020-12-01,347693.28292729444
CS-Ala,7.5,3.2969639775676076,volume,2016-01-01,2020-12-01,4.203036022432393
CS-Nat,23.875,8.819848412295643,volume,2016-11-01,2020-12-01,15.055151587704357
RCS-PH,75.0,52.09651117375616,volume,2018-11-01,2020-12-01,22.903488826243837
RIS_ah,175.0,143.0493911264339,volume,2019-11-01,2020-12-01,31.950608873566097
BRO_ah,61.75,27.644014576612268,volume,2018-11-01,2020-12-01,34.105985423387736
PSG_ah,188.0,96.0605355346164,volume,2019-11-01,2020-12-01,91.9394644653836
