bu,old,prophet,kpi,start_train,end_train
BRO-Co,19.8,25.678613322004473,volume,2018-10-01,2020-12-04
BRO_ah,66.4,23.369721041941208,volume,2018-11-01,2020-12-04
PSG_ah,188.0,96.0605355346164,volume,2019-11-01,2020-12-01
CS-Nat,23.875,8.819848412295643,volume,2016-11-01,2020-12-01
CS-Ala,7.5,3.2969639775676076,volume,2016-01-01,2020-12-01
RIS_ah,175.0,143.0493911264339,volume,2019-11-01,2020-12-01
CS-Mar,21.6,42.312165005024546,volume,2017-11-01,2020-12-04
WISE-C,358.2,349.5451441315727,volume,2016-11-01,2020-12-04
RCS-PH,75.0,52.09651117375616,volume,2018-11-01,2020-12-01
CS-Joh,30.2,73.76060756165262,volume,2019-12-01,2020-12-04
