,BUSINESS UNIT,attrition,filled position,Attrition %,month,year
0,Client Transactions,2,47,0.042553191,January,2019
1,Participant Transactions,2,59,0.033898305,January,2019
2,RAM,2,89,0.02247191,January,2019
3,RCS PHONES,2,20,0.1,January,2019
4,RIS,2,126,0.015873016,January,2019
5,SCS,2,0,,January,2019
6,WISE,2,278,0.007194245,January,2019
7,Client Transactions,2,48,0.041666667000000004,February,2019
8,Participant Transactions,2,49,0.040816327,February,2019
9,RAM,2,106,0.018867925,February,2019
10,RCS PHONES,2,26,0.076923077,February,2019
11,RIS,2,108,0.018518519,February,2019
12,SCS,2,0,,February,2019
13,WISE,2,274,0.00729927,February,2019
14,Client Transactions,2,46,0.043478261,March,2019
15,Participant Transactions,2,53,0.037735849,March,2019
16,RAM,2,97,0.020618557,March,2019
17,RCS PHONES,2,25,0.08,March,2019
18,RIS,2,122,0.016393443,March,2019
19,SCS,2,0,,March,2019
20,WISE,2,259,0.007722008000000001,March,2019
21,Client Transactions,2,47,0.042553191,April,2019
22,Participant Transactions,2,53,0.037735849,April,2019
23,RAM,2,100,0.02,April,2019
24,RCS PHONES,2,26,0.076923077,April,2019
25,RIS,2,117,0.017094017,April,2019
26,SCS,2,0,,April,2019
27,WISE,2,299,0.006688963000000001,April,2019
28,Client Transactions,2,44,0.045454545,May,2019
29,Participant Transactions,2,53,0.037735849,May,2019
30,RAM,2,110,0.018181818,May,2019
31,RCS PHONES,2,26,0.076923077,May,2019
32,RIS,2,113,0.017699115,May,2019
33,SCS,2,0,,May,2019
34,WISE,2,308,0.006493506,May,2019
35,Client Transactions,2,43,0.046511628,June,2019
36,Participant Transactions,2,55,0.036363636,June,2019
37,RAM,2,90,0.022222222000000003,June,2019
38,RCS PHONES,2,19,0.10526315800000001,June,2019
39,RIS,2,105,0.019047619,June,2019
40,SCS,2,0,,June,2019
41,WISE,2,306,0.006535948000000001,June,2019
42,Client Transactions,2,42,0.047619048,July,2019
43,Participant Transactions,2,52,0.038461537999999997,July,2019
44,RAM,2,86,0.023255814,July,2019
45,RCS PHONES,2,18,0.111111111,July,2019
46,RIS,2,102,0.019607843,July,2019
47,SCS,2,0,,July,2019
48,WISE,2,296,0.0067567569999999995,July,2019
49,Client Transactions,2,43,0.046511628,August,2019
50,Participant Transactions,2,57,0.035087718999999996,August,2019
51,RAM,2,82,0.024390244,August,2019
52,RCS PHONES,2,18,0.111111111,August,2019
53,RIS,2,90,0.022222222000000003,August,2019
54,SCS,2,0,,August,2019
55,WISE,2,298,0.006711409000000001,August,2019
56,Client Transactions,2,42,0.047619048,September,2019
57,Participant Transactions,2,60,0.033333333,September,2019
58,RAM,2,95,0.021052632,September,2019
59,RCS PHONES,2,19,0.10526315800000001,September,2019
60,RIS,2,122,0.016393443,September,2019
61,SCS,2,0,,September,2019
62,WISE,2,284,0.007042254,September,2019
63,Client Transactions,2,40,0.05,October,2019
64,Participant Transactions,2,57,0.035087718999999996,October,2019
65,RAM,2,93,0.021505376,October,2019
66,RCS PHONES,2,19,0.10526315800000001,October,2019
67,RIS,2,117,0.017094017,October,2019
68,SCS,2,0,,October,2019
69,WISE,2,282,0.007092199,October,2019
70,Client Transactions,2,42,0.047619048,November,2019
71,Participant Transactions,2,55,0.036363636,November,2019
72,RAM,2,87,0.022988506000000002,November,2019
73,RCS PHONES,2,17,0.117647059,November,2019
74,RIS,2,115,0.017391304,November,2019
75,SCS,2,0,,November,2019
76,WISE,2,286,0.006993007,November,2019
77,Client Transactions,2,40,0.05,December,2019
78,Participant Transactions,2,52,0.038461537999999997,December,2019
79,RAM,2,85,0.023529412000000003,December,2019
80,RCS PHONES,2,16,0.125,December,2019
81,RIS,2,106,0.018867925,December,2019
82,SCS,2,0,,December,2019
83,WISE,2,267,0.007490637,December,2019
84,Client Transactions,2,40,0.05,January,2020
85,Participant Transactions,2,58,0.034482759,January,2020
86,RAM,2,79,0.025316456,January,2020
87,RCS PHONES,2,19,0.10526315800000001,January,2020
88,RIS,2,128,0.015625,January,2020
89,SCS,2,0,,January,2020
90,WISE,2,282,0.007092199,January,2020
91,Client Transactions,2,41,0.048780488,February,2020
92,Participant Transactions,2,58,0.034482759,February,2020
93,RAM,2,90,0.022222222000000003,February,2020
94,RCS PHONES,2,19,0.10526315800000001,February,2020
95,RIS,2,116,0.017241378999999998,February,2020
96,SCS,2,0,,February,2020
97,WISE,2,288,0.006944444,February,2020
98,Client Transactions,2,41,0.048780488,March,2020
99,Participant Transactions,2,62,0.032258065,March,2020
100,RAM,2,88,0.022727273,March,2020
101,RCS PHONES,2,18,0.111111111,March,2020
102,RIS,2,117,0.017094017,March,2020
103,SCS,2,0,,March,2020
104,WISE,2,276,0.007246376999999999,March,2020
105,Client Transactions,2,42,0.047619048,April,2020
106,Participant Transactions,2,60,0.033333333,April,2020
107,RAM,2,85,0.023529412000000003,April,2020
108,RCS PHONES,2,18,0.111111111,April,2020
109,RIS,2,112,0.017857143,April,2020
110,SCS,2,0,,April,2020
111,WISE,2,269,0.007434944000000001,April,2020
112,Client Transactions,2,41,0.048780488,May,2020
113,Participant Transactions,2,61,0.032786885,May,2020
114,RAM,2,90,0.022222222000000003,May,2020
115,RCS PHONES,2,20,0.1,May,2020
116,RIS,2,121,0.016528926,May,2020
117,SCS,2,0,,May,2020
118,WISE,2,267,0.007490637,May,2020
119,Client Transactions,2,41,0.048780488,June,2020
120,Participant Transactions,2,59,0.033898305,June,2020
121,RAM,2,90,0.022222222000000003,June,2020
122,RCS PHONES,2,20,0.1,June,2020
123,RIS,2,117,0.017094017,June,2020
124,SCS,2,0,,June,2020
125,WISE,2,262,0.007633588,June,2020
126,Client Transactions,2,42,0.047619048,July,2020
127,Participant Transactions,2,71,0.028169014,July,2020
128,RAM,2,89,0.02247191,July,2020
129,RCS PHONES,2,20,0.1,July,2020
130,RIS,2,112,0.017857143,July,2020
131,SCS,2,0,,July,2020
132,WISE,2,248,0.008064515999999999,July,2020
133,Client Transactions,2,41,0.048780488,August,2020
134,Participant Transactions,2,68,0.029411765,August,2020
135,RAM,2,88,0.022727273,August,2020
136,RCS PHONES,2,21,0.095238095,August,2020
137,RIS,2,100,0.02,August,2020
138,SCS,2,0,,August,2020
139,WISE,2,266,0.007518797,August,2020
140,Client Transactions,2,41,0.048780488,September,2020
141,Participant Transactions,2,67,0.029850746,September,2020
142,RAM,2,103,0.019417476,September,2020
143,RCS PHONES,2,22,0.090909091,September,2020
144,RIS,2,94,0.021276596000000002,September,2020
145,SCS,2,0,,September,2020
146,WISE,2,283,0.007067138000000001,September,2020
147,Client Transactions,2,42,0.047619048,October,2020
148,Participant Transactions,2,63,0.031746032,October,2020
149,RAM,2,100,0.02,October,2020
150,RCS PHONES,2,21,0.095238095,October,2020
151,RIS,2,87,0.022988506000000002,October,2020
152,SCS,2,0,,October,2020
153,WISE,2,279,0.007168459,October,2020
154,Client Transactions,2,43,0.046511628,November,2020
155,Participant Transactions,2,61,0.032786885,November,2020
156,RAM,2,98,0.020408163,November,2020
157,RCS PHONES,2,22,0.090909091,November,2020
158,RIS,2,79,0.025316456,November,2020
159,SCS,2,0,,November,2020
160,WISE,2,283,0.007067138000000001,November,2020
161,Client Transactions,2,0,,December,2020
162,Participant Transactions,2,0,,December,2020
163,RAM,2,0,,December,2020
164,RCS PHONES,2,0,,December,2020
165,RIS,2,0,,December,2020
166,SCS,2,0,,December,2020
167,WISE,2,0,,December,2020
