DIVISION,BUSINESS UNIT,ACTIVITY MONTH,Called OT (hrs),Occupancy,Online Time %
WISE,WISE,2019-03,28.25,85%,67%
WISE,WISE,2019-04,24.16666667,82%,66%
WISE,WISE,2019-05,18,79%,61%
WISE,WISE,2019-06,17.5,82%,56%
WISE,WISE,2019-07,21.75,82%,67%
WISE,WISE,2019-08,7.5,80%,65%
WISE,WISE,2019-09,3.5,81%,65%
WISE,WISE,2019-10,4.75,79%,65%
WISE,WISE,2020-03,25.5,87%,64%
WISE,WISE,2020-04,21.75,92%,67%
WISE,WISE,2020-05,24.75,92%,66%
WISE,WISE,2020-06,20.5,92%,64%
WISE,WISE,2020-07,24,90%,63%
WISE,WISE,2020-08,24,89%,62%
WISE,WISE,2020-09,18.58333333,87%,56%
WISE,WISE,2020-10,22,83%,62%
WISE,WISE,2020-11,2.5,83%,66%
College Savings,CS - Direct Sold,2019-03,2.75,54%,63%
College Savings,CS - Direct Sold,2019-04,2.25,51%,63%
College Savings,CS - Direct Sold,2019-05,13,53%,57%
College Savings,CS - Direct Sold,2019-06,11.75,43%,57%
College Savings,CS - Direct Sold,2019-07,11.25,55%,64%
College Savings,CS - Direct Sold,2019-08,22.25,59%,59%
College Savings,CS - Direct Sold,2019-09,14,49%,55%
College Savings,CS - Direct Sold,2019-10,11.5,55%,49%
College Savings,CS - Direct Sold,2020-03,3.25,52%,49%
College Savings,CS - Direct Sold,2020-04,0,46%,57%
College Savings,CS - Direct Sold,2020-05,3.5,52%,59%
College Savings,CS - Direct Sold,2020-06,3.25,47%,61%
College Savings,CS - Direct Sold,2020-07,14.25,57%,65%
College Savings,CS - Direct Sold,2020-08,24,58%,66%
College Savings,CS - Direct Sold,2020-09,6.583333333,46%,61%
College Savings,CS - Direct Sold,2020-10,7.75,51%,57%
College Savings,CS - Direct Sold,2020-11,2,38%,62%
College Savings,CS - Intermediary,2019-03,2.75,66%,63%
College Savings,CS - Intermediary,2019-04,2.25,66%,63%
College Savings,CS - Intermediary,2019-05,13,66%,57%
College Savings,CS - Intermediary,2019-06,11.75,69%,57%
College Savings,CS - Intermediary,2019-07,24.25,73%,67%
College Savings,CS - Intermediary,2019-08,30.5,78%,61%
College Savings,CS - Intermediary,2019-09,16.75,68%,59%
College Savings,CS - Intermediary,2019-10,16,67%,54%
College Savings,CS - Intermediary,2020-03,1.25,67%,59%
College Savings,CS - Intermediary,2020-04,0,66%,60%
College Savings,CS - Intermediary,2020-05,1.5,66%,62%
College Savings,CS - Intermediary,2020-06,4.5,70%,64%
College Savings,CS - Intermediary,2020-07,24,64%,71%
College Savings,CS - Intermediary,2020-08,25.5,66%,73%
College Savings,CS - Intermediary,2020-09,5,58%,68%
College Savings,CS - Intermediary,2020-10,8,52%,63%
College Savings,CS - Intermediary,2020-11,2,46%,53%
RPS,Client Transactions,2019-03,21.81666667,,83%
RPS,Client Transactions,2019-04,12.63333333,,78%
RPS,Client Transactions,2019-05,3.666666667,,78%
RPS,Client Transactions,2019-06,3.016666667,,78%
RPS,Client Transactions,2019-07,8.55,,77%
RPS,Client Transactions,2019-08,2.983333333,,83%
RPS,Client Transactions,2019-09,6.05,,82%
RPS,Client Transactions,2019-10,3.233333333,,86%
RPS,Client Transactions,2020-03,4.1,,90%
RPS,Client Transactions,2020-04,1.733333333,,89%
RPS,Client Transactions,2020-05,3.516666667,,91%
RPS,Client Transactions,2020-06,5.083333333,,91%
RPS,Client Transactions,2020-07,5.133333333,,91%
RPS,Client Transactions,2020-08,2.166666667,,89%
RPS,Client Transactions,2020-09,8.233333333,,94%
RPS,Client Transactions,2020-10,3.916666667,,92%
RPS,Client Transactions,2020-11,0.25,,89%
RPS,Participant Transactions,2019-03,48.91666667,,77%
RPS,Participant Transactions,2019-04,38.78333333,,71%
RPS,Participant Transactions,2019-05,40.98333333,,74%
RPS,Participant Transactions,2019-06,35.66666667,,75%
RPS,Participant Transactions,2019-07,38.55,,78%
RPS,Participant Transactions,2019-08,29.31666667,,78%
RPS,Participant Transactions,2019-09,19.91666667,,69%
RPS,Participant Transactions,2019-10,19.18333333,,75%
RPS,Participant Transactions,2020-03,22.2,,79%
RPS,Participant Transactions,2020-04,30.86666667,,73%
RPS,Participant Transactions,2020-05,27.56666667,,73%
RPS,Participant Transactions,2020-06,15.95,,76%
RPS,Participant Transactions,2020-07,13.36666667,,79%
RPS,Participant Transactions,2020-08,12.06666667,,77%
RPS,Participant Transactions,2020-09,17.31666667,,74%
RPS,Participant Transactions,2020-10,16.28333333,,76%
RPS,Participant Transactions,2020-11,3.116666667,,82%
II Services and Operations,RAM,2019-03,24,,78%
II Services and Operations,RAM,2019-04,14,,82%
II Services and Operations,RAM,2019-05,18.5,,68%
II Services and Operations,RAM,2019-06,15,,71%
II Services and Operations,RAM,2019-07,33.25,,81%
II Services and Operations,RAM,2019-08,28.25,,82%
II Services and Operations,RAM,2019-09,34,,87%
II Services and Operations,RAM,2019-10,26.5,,78%
II Services and Operations,RAM,2020-03,14,,82%
II Services and Operations,RAM,2020-04,0.5,,76%
II Services and Operations,RAM,2020-05,0.5,,66%
II Services and Operations,RAM,2020-06,10.25,,74%
II Services and Operations,RAM,2020-07,22.5,,84%
II Services and Operations,RAM,2020-08,27.5,,81%
II Services and Operations,RAM,2020-09,32.75,,74%
II Services and Operations,RAM,2020-10,6.5,,72%
II Services and Operations,RAM,2020-11,0,,80%
II Services and Operations,RIS,2019-03,15,86%,57%
II Services and Operations,RIS,2019-04,8,74%,60%
II Services and Operations,RIS,2019-05,1,74%,47%
II Services and Operations,RIS,2019-06,1,79%,44%
II Services and Operations,RIS,2019-07,22,88%,48%
II Services and Operations,RIS,2019-08,19,88%,41%
II Services and Operations,RIS,2019-09,17.5,87%,45%
II Services and Operations,RIS,2019-10,17,81%,43%
II Services and Operations,RIS,2020-03,21,87%,56%
II Services and Operations,RIS,2020-04,2.5,84%,53%
II Services and Operations,RIS,2020-05,0,85%,51%
II Services and Operations,RIS,2020-06,0,89%,48%
