ACTIVITY DATE,BUSINESS UNIT,VOLUME - HANDLED,TOTAL TIME - AHT (sec),AHT CALC,Sum of PRODUCTIVE TIME - ACTUAL (hrs),Sum of PRODUCTIVE TIME - SCHEDULED (hrs),Conformance CALC,Attrition,EOM Headcount,Attrition % CALC,System Outage (hrs),Unplanned out,Shrinkage,Regular Scheduled Time (no OT),Unplanned out % CALC,Shrinkage % CALC
1/1/2019,Client Transactions,290,0,0,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/1/2019,Participant Transactions,429,0,0,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/1/2019,RAM,1072,1315240,1226.902985,360.4438889,507.5000001,0.710234264,0,0,,0,0,115.25,656.25,0%,18%
1/1/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/1/2019,RIS,3,105,35,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/1/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/1/2019,WISE,330,163640,495.8787879,432.8297222,483.75,0.894738444,0,0,,0,0,142.75,671.5,0%,21%
1/2/2019,Client Transactions,2830,1104801,390.3890459,257.9705555,290.0833333,0.889298094,0,0,,0,26.5,124.9166667,415,6%,30%
1/2/2019,Participant Transactions,3221,1435394,445.6361378,309.4722222,356.4166668,0.86828774,0,0,,0,60.25,205.75,588.5,10%,35%
1/2/2019,RAM,2469,2344196,949.4515998,487.0686111,490.2500001,0.99351068,0,0,,0,51.5,170.25,726,7%,23%
1/2/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,9,53.75,164,5%,33%
1/2/2019,RIS,3670,2069880,564,527.5241667,607,0.86906782,0,0,,0,81,200.0833333,726.5,11%,28%
1/2/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0.583333333,80,216.4166667,633.5,13%,34%
1/2/2019,WISE,10279,5846735,568.803872,1640.196944,1749.333333,0.937612583,0,0,,0,288.5,530,2102.666667,14%,25%
1/3/2019,Client Transactions,2770,989834,357.3407942,201.1683333,260.5,0.772239283,0,0,,0,17.75,135,402.5,4%,34%
1/3/2019,Participant Transactions,3207,1447150,451.2472716,307.8413889,323.4166667,0.95184145,0,0,,0,60,246.0833333,590,10%,42%
1/3/2019,RAM,2055,1740893,847.1498783,461.5936111,476.5000001,0.968716917,0,0,,0,68,190,712,10%,27%
1/3/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,8.5,49.58333333,160.75,5%,31%
1/3/2019,RIS,3071,1685979,549,509.0980556,616.3833333,0.825943902,0,0,,0.5,65.61666667,162.6166667,729,9%,22%
1/3/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,76,223.4166667,625,12%,36%
1/3/2019,WISE,8632,4854591,562.3946942,1494.365,1616.3,0.924559178,0,0,,0,229.1666667,558,2118.5,11%,26%
1/4/2019,Client Transactions,3053,1021134,334.4690468,241.4736111,289.8333333,0.833146444,0,0,,0,18.25,122.6666667,412.5,4%,30%
1/4/2019,Participant Transactions,2806,1404963,500.6995723,340.6636111,378.9166667,0.899046257,0,0,,0,42,194.5833333,573.5,7%,34%
1/4/2019,RAM,2656,2167284,815.9954819,401.1966667,427.1666667,0.939204058,0,0,,0,116.75,242.3333333,712,16%,34%
1/4/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,27,60.58333333,161.25,17%,38%
1/4/2019,RIS,3080,1712480,556,540.4222222,624.6666666,0.865136962,0,0,,0,83,176.5,725,11%,24%
1/4/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,84.75,237.5833333,623.25,14%,38%
1/4/2019,WISE,8238,4559298,553.4471959,1487.400556,1600.583333,0.929286545,0,0,,0,254.75,575.25,2084.5,12%,28%
1/5/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/5/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,1.5,33,0%,5%
1/6/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/6/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/7/2019,Client Transactions,3313,988803,298.4615152,215.0705556,308.5833334,0.696961023,0,0,,0,8.25,93.91666667,402.5,2%,23%
1/7/2019,Participant Transactions,3524,1656557,470.0786039,336.9222222,394.6666667,0.853688063,0,0,,0,83.91666667,159.75,568.4166667,15%,28%
1/7/2019,RAM,3729,2881799,772.8074551,434.1616667,437.8333334,0.991614008,0,0,,0,71.83333333,232.9166667,726.5,10%,32%
1/7/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,28.5,62.16666667,167.25,17%,37%
1/7/2019,RIS,3224,1960192,608,476.785,582.5,0.818515021,0,0,,0,135,218.3333333,739,18%,30%
1/7/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,75.66666667,201.8333333,639,12%,32%
1/7/2019,WISE,9762,5399657,553.1301987,1652.141389,1762.583333,0.937340867,0,0,,0,282.6,568.6666667,2127.583333,13%,27%
