date,bu,VOLUME - HANDLED,TOTAL TIME - AHT (sec),AHT CALC,Sum of PRODUCTIVE TIME - ACTUAL (hrs),Sum of PRODUCTIVE TIME - SCHEDULED (hrs),Conformance CALC,Attrition,EOM Headcount,Attrition % CALC,System Outage (hrs),Unplanned out,Shrinkage,Regular Scheduled Time (no OT),Unplanned out % CALC,Shrinkage % CALC,month,year,aht
2019-01-01,Client Transactions,290,0,0,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,,,January,2019,0.0
2019-01-01,Participant Transactions,429,0,0,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,,,January,2019,0.0
2019-01-01,RAM,1072,1315240,1226.902985,360.4438889,507.5000001,0.7102342640000001,0,0,,0.0,0.0,115.25,656.25,0.0,18.0,January,2019,1226.902985074627
2019-01-01,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,,,January,2019,
2019-01-01,RIS,3,105,35,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,,,January,2019,35.0
2019-01-01,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,0.0,0.0,0.0,,,January,2019,
2019-01-01,WISE,330,163640,495.8787879,432.8297222,483.75,0.894738444,0,0,,0.0,0.0,142.75,671.5,0.0,21.0,January,2019,495.8787878787879
2019-01-02,Client Transactions,2830,1104801,390.3890459,257.9705555,290.0833333,0.889298094,0,0,,0.0,26.5,124.91666670000001,415.0,0.06,30.0,January,2019,390.38904593639575
2019-01-02,Participant Transactions,3221,1435394,445.6361378,309.47222220000003,356.41666680000003,0.86828774,0,0,,0.0,60.25,205.75,588.5,0.1,35.0,January,2019,445.6361378453896
2019-01-02,RAM,2469,2344196,949.4515998,487.06861110000006,490.2500001,0.99351068,0,0,,0.0,51.5,170.25,726.0,0.07,23.0,January,2019,949.4515998379911
2019-01-02,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,9.0,53.75,164.0,0.05,33.0,January,2019,
2019-01-02,RIS,3670,2069880,564,527.5241666999999,607.0,0.86906782,0,0,,0.0,81.0,200.08333330000002,726.5,0.11,28.0,January,2019,564.0
2019-01-02,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.583333333,80.0,216.41666669999998,633.5,0.13,34.0,January,2019,
2019-01-02,WISE,10279,5846735,568.803872,1640.196944,1749.3333329999998,0.9376125829999999,0,0,,0.0,288.5,530.0,2102.666667,0.14,25.0,January,2019,568.8038719719817
2019-01-03,Client Transactions,2770,989834,357.3407942,201.1683333,260.5,0.772239283,0,0,,0.0,17.75,135.0,402.5,0.04,34.0,January,2019,357.3407942238267
2019-01-03,Participant Transactions,3207,1447150,451.2472716,307.84138889999997,323.4166667,0.95184145,0,0,,0.0,60.0,246.08333330000002,590.0,0.1,42.0,January,2019,451.2472715933895
2019-01-03,RAM,2055,1740893,847.1498783,461.59361110000003,476.5000001,0.9687169170000001,0,0,,0.0,68.0,190.0,712.0,0.1,27.0,January,2019,847.1498783454988
2019-01-03,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,8.5,49.58333333,160.75,0.05,31.0,January,2019,
2019-01-03,RIS,3071,1685979,549,509.0980556,616.3833333,0.825943902,0,0,,0.5,65.61666667,162.6166667,729.0,0.09,22.0,January,2019,549.0
2019-01-03,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,76.0,223.41666669999998,625.0,0.12,36.0,January,2019,
2019-01-03,WISE,8632,4854591,562.3946942,1494.365,1616.3,0.924559178,0,0,,0.0,229.16666669999998,558.0,2118.5,0.11,26.0,January,2019,562.3946941612604
2019-01-04,Client Transactions,3053,1021134,334.4690468,241.4736111,289.8333333,0.833146444,0,0,,0.0,18.25,122.66666670000001,412.5,0.04,30.0,January,2019,334.4690468391746
2019-01-04,Participant Transactions,2806,1404963,500.6995723,340.6636111,378.9166667,0.8990462570000001,0,0,,0.0,42.0,194.58333330000002,573.5,0.07,34.0,January,2019,500.6995723449751
2019-01-04,RAM,2656,2167284,815.9954819,401.1966667,427.16666669999995,0.939204058,0,0,,0.0,116.75,242.33333330000002,712.0,0.16,34.0,January,2019,815.9954819277109
2019-01-04,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,27.0,60.58333333,161.25,0.17,38.0,January,2019,
2019-01-04,RIS,3080,1712480,556,540.4222222,624.6666666,0.865136962,0,0,,0.0,83.0,176.5,725.0,0.11,24.0,January,2019,556.0
2019-01-04,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,84.75,237.58333330000002,623.25,0.14,38.0,January,2019,
2019-01-04,WISE,8238,4559298,553.4471959,1487.400556,1600.583333,0.929286545,0,0,,0.0,254.75,575.25,2084.5,0.12,28.0,January,2019,553.4471959213402
2019-01-07,Client Transactions,3313,988803,298.4615152,215.07055559999998,308.58333339999996,0.696961023,0,0,,0.0,8.25,93.91666667,402.5,0.02,23.0,January,2019,298.4615152429822
2019-01-07,Participant Transactions,3524,1656557,470.0786039,336.9222222,394.6666667,0.853688063,0,0,,0.0,83.91666667,159.75,568.4166667000001,0.15,28.0,January,2019,470.07860385925085
2019-01-07,RAM,3729,2881799,772.8074551,434.16166669999996,437.83333339999996,0.991614008,0,0,,0.0,71.83333333,232.91666669999998,726.5,0.1,32.0,January,2019,772.8074550817913
2019-01-07,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,28.5,62.16666667,167.25,0.17,37.0,January,2019,
2019-01-07,RIS,3224,1960192,608,476.785,582.5,0.818515021,0,0,,0.0,135.0,218.33333330000002,739.0,0.18,30.0,January,2019,608.0
2019-01-07,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,75.66666667,201.83333330000002,639.0,0.12,32.0,January,2019,
2019-01-07,WISE,9762,5399657,553.1301987,1652.1413890000001,1762.5833329999998,0.9373408670000001,0,0,,0.0,282.6,568.6666667000001,2127.583333,0.13,27.0,January,2019,553.1301987297685
2019-01-08,Client Transactions,2321,810561,349.2292115,189.8391667,262.0833333,0.724346582,0,0,,0.0,0.0,137.91666669999998,400.0,0.0,34.0,January,2019,349.2292115467471
2019-01-08,Participant Transactions,3425,1449917,423.3334307,304.0177778,327.76083339999997,0.9275598140000001,0,0,,0.0,33.75,198.06666669999998,574.9166667000001,0.06,34.0,January,2019,423.3334306569343
2019-01-08,RAM,2661,2252455,846.4693724,430.3988889,446.66666669999995,0.963579602,0,0,,0.0,81.08333333,218.58333330000002,720.0,0.11,30.0,January,2019,846.4693724163848
2019-01-08,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,20.16666667,55.75,165.75,0.12,34.0,January,2019,
2019-01-08,RIS,3091,1882419,609,612.1952778,630.9333333,0.970301053,0,0,,0.0,110.0,189.25,732.1,0.15,26.0,January,2019,609.0
2019-01-08,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,77.33333333,211.16666669999998,638.0,0.12,33.0,January,2019,
2019-01-08,WISE,8405,4512164,536.8428316,1571.896389,1662.583333,0.9454541959999999,0,0,,0.0,188.66666669999998,538.1666667000001,2108.833333,0.09,26.0,January,2019,536.8428316478287
2019-01-09,Client Transactions,2310,871633,377.330303,225.8027778,270.25,0.8355329429999999,0,0,,0.0,0.0,129.75,400.0,0.0,32.0,January,2019,377.330303030303
2019-01-09,Participant Transactions,2660,1386947,521.4086466,341.3591667,370.08333339999996,0.9223845979999999,0,0,,0.0,30.25,177.25,570.0,0.05,31.0,January,2019,521.4086466165413
2019-01-09,RAM,2927,2464817,842.096686,435.0433334,443.25,0.981485242,0,0,,0.0,51.5,178.25,715.5,0.07,25.0,January,2019,842.0966860266484
2019-01-09,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,26.5,59.58333333,153.58333330000002,0.17,39.0,January,2019,
2019-01-09,RIS,2851,1781875,625,584.4480556,595.0166666,0.9822381259999999,0,0,,0.0,76.5,162.75,709.35,0.11,23.0,January,2019,625.0
2019-01-09,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,72.5,210.41666669999998,586.0,0.12,36.0,January,2019,
2019-01-09,WISE,7813,4201638,537.7752464,1460.613333,1530.5,0.9543373629999999,0,0,,0.0,181.8,526.3,2052.666667,0.09,26.0,January,2019,537.7752463842314
2019-01-10,Client Transactions,1956,855574,437.4100204,214.1577778,287.6666667,0.744465044,0,0,,0.0,1.5,112.33333329999999,400.0,0.0,28.0,January,2019,437.41002044989773
2019-01-10,Participant Transactions,2505,1378640,550.3552894,346.90972220000003,398.1666667,0.871267615,0,0,,0.0,1.5,164.83333330000002,582.5,0.0,28.0,January,2019,550.3552894211576
2019-01-10,RAM,2606,2213441,849.3633922,442.5658334,450.2500001,0.982933555,0,0,,0.0,32.75,198.0,711.5,0.05,28.0,January,2019,849.363392171911
2019-01-10,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,26.25,69.5,153.75,0.17,45.0,January,2019,
2019-01-10,RIS,2793,1642284,588,501.85944440000003,523.1666666,0.959272592,0,0,,0.0,104.0,184.16666669999998,708.5833332999999,0.15,26.0,January,2019,588.0
2019-01-10,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,35.5,159.93333330000002,595.75,0.06,27.0,January,2019,
2019-01-10,WISE,7122,3798721,533.3784049,1451.506944,1577.75,0.919985387,0,0,,0.0,159.33333330000002,500.08333330000005,2093.75,0.08,24.0,January,2019,533.3784049424319
2019-01-11,Client Transactions,2637,872486,330.863102,212.7680556,278.5,0.7639786559999999,0,0,,0.0,8.166666667000001,121.5,400.0,0.02,30.0,January,2019,330.8631020098597
2019-01-11,Participant Transactions,2869,1310127,456.6493552,314.2169444,370.83333339999996,0.847326592,0,0,,0.0,33.5,177.08333330000002,560.5,0.06,32.0,January,2019,456.6493551760195
2019-01-11,RAM,2738,2203662,804.8436815,381.1783334,398.0000001,0.957734506,0,0,,0.0,47.25,215.25,703.5,0.07,31.0,January,2019,804.8436815193572
2019-01-11,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,45.75,78.58333333,164.25,0.28,48.0,January,2019,
2019-01-11,RIS,2696,1606816,596,642.8052778,659.35,0.974907527,0,0,,0.75,61.75,139.08333330000002,709.5166667000001,0.09,20.0,January,2019,596.0
2019-01-11,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,111.58333329999999,244.0,627.0,0.18,39.0,January,2019,
2019-01-11,WISE,7135,3791218,531.3550105,1463.903056,1579.033333,0.927088127,0,0,,0.716666667,216.5,550.3833333,2053.3,0.11,27.0,January,2019,531.3550105115627
2019-01-14,Client Transactions,3060,808860,264.3333333,210.33694440000002,283.75,0.741275575,0,0,,0.0,7.0,133.25,417.0,0.02,32.0,January,2019,264.3333333333333
2019-01-14,Participant Transactions,3039,1585793,521.8140836,360.3408333,406.58333339999996,0.886265628,0,0,,0.0,43.16666667,150.66666669999998,571.25,0.08,26.0,January,2019,521.814083580125
2019-01-14,RAM,3028,2331025,769.8233157,392.0413889,399.9166667,0.9803077029999999,0,0,,0.0,81.25,248.08333330000002,720.5,0.11,34.0,January,2019,769.8233157199471
2019-01-14,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,19.0,69.41666667,165.0,0.12,42.0,January,2019,
2019-01-14,RIS,3147,1863024,592,487.4477778,523.5,0.9311323359999999,0,0,,0.0,76.41666667,177.58333330000002,709.5,0.11,25.0,January,2019,592.0
2019-01-14,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,100.7,244.45,659.5,0.15,37.0,January,2019,
2019-01-14,WISE,9613,5156798,536.4400291,1565.750278,1653.333333,0.947026378,0,0,,0.0,316.9166667,631.75,2103.25,0.15,30.0,January,2019,536.4400291272235
2019-01-15,Client Transactions,3021,792773,262.4207216,206.65722219999998,269.5,0.7668171509999999,0,0,,0.0,11.0,151.5,421.0,0.03,36.0,January,2019,262.4207216153591
2019-01-15,Participant Transactions,2416,1298348,537.3956954,288.2922222,316.83333339999996,0.909917587,0,0,,0.0,29.0,209.66666669999998,574.5,0.05,36.0,January,2019,537.3956953642385
2019-01-15,RAM,2598,2149037,827.1889915,371.8505556,400.33333339999996,0.928852345,0,0,,0.0,49.16666667,217.91666669999998,695.5,0.07,31.0,January,2019,827.1889915319476
2019-01-15,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,15.45,77.78333333,180.25,0.09,43.0,January,2019,
2019-01-15,RIS,2603,1452474,558,492.8888888999999,525.9216667,0.9371906879999999,0,0,,0.0,98.0,211.58333330000002,711.0,0.14,30.0,January,2019,558.0
2019-01-15,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,60.33333333,235.66666669999998,645.0,0.09,37.0,January,2019,
2019-01-15,WISE,8267,4409195,533.3488569,1617.944722,1763.5833329999998,0.9174189229999999,0,0,,0.0,145.41666669999998,459.66666669999995,2247.0,0.06,20.0,January,2019,533.3488569009314
2019-01-16,Client Transactions,2293,830748,362.297427,205.0925,268.5,0.7638454379999999,0,0,,0.0,9.0,131.5,400.0,0.02,33.0,January,2019,362.2974269515918
2019-01-16,Participant Transactions,2586,1191214,460.6395978,30.37027777,52.08333333,0.583109333,0,0,,0.0,8.0,240.25,555.9166667000001,0.01,43.0,January,2019,460.63959783449343
2019-01-16,RAM,2708,2090452,771.9542097,344.17972230000004,367.1666667,0.9373937059999999,0,0,,0.0,74.33333333,236.08333330000002,699.5,0.11,34.0,January,2019,771.9542097488921
2019-01-16,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,26.83333333,87.33333333,168.0,0.16,52.0,January,2019,
2019-01-16,RIS,2456,1395008,568,505.3702778,533.9166667,0.946533999,0,0,,0.333333333,42.5,156.83333330000002,815.0,0.05,19.0,January,2019,568.0
2019-01-16,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,20.75,196.16666669999998,626.1666667000001,0.03,31.0,January,2019,
2019-01-16,WISE,7994,4284673,535.9861146,1559.328333,1674.816667,0.931044194,0,0,,0.0,104.35,485.9333333000001,2203.833333,0.05,22.0,January,2019,535.9861145859395
2019-01-17,Client Transactions,2211,1017898,460.379014,234.7330556,277.1666667,0.846902185,0,0,,0.0,19.5,137.41666669999998,421.5,0.05,33.0,January,2019,460.3790140208051
2019-01-17,Participant Transactions,2384,1329694,557.7575503,330.55055560000005,337.91666680000003,0.9782013970000001,0,0,,0.0,12.5,194.08333330000002,565.0,0.02,34.0,January,2019,557.7575503355705
2019-01-17,RAM,2443,2047127,837.9562014,401.4252778,404.1666667,0.993217182,0,0,,0.0,70.61666667,232.33333330000002,696.25,0.1,33.0,January,2019,837.9562013917315
2019-01-17,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,11.75,82.0,168.0,0.07,49.0,January,2019,
2019-01-17,RIS,2236,1240980,555,459.8002778,494.08333330000005,0.930612807,0,0,,0.0,67.0,185.41666669999998,815.5,0.08,23.0,January,2019,555.0
2019-01-17,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,40.75,225.83333330000002,628.5,0.06,36.0,January,2019,
2019-01-17,WISE,7777,4112077,528.7484891,1373.886111,1440.997778,0.9534269459999999,0,0,,2.25,99.5,505.5,2237.5,0.04,23.0,January,2019,528.7484891346278
2019-01-18,Client Transactions,2716,909628,334.9145803,211.5786111,264.0833333,0.801181235,0,0,,0.0,12.5,155.91666669999998,420.0,0.03,37.0,January,2019,334.9145802650957
2019-01-18,Participant Transactions,3146,1277902,406.1989828,306.0263889,352.5000001,0.868159968,0,0,,0.0,49.0,202.0,561.5,0.09,36.0,January,2019,406.1989828353465
2019-01-18,RAM,2237,2096254,937.0827,354.07444449999997,399.25,0.886848953,0,0,,0.0,85.0,259.75,695.5,0.12,37.0,January,2019,937.0827000447027
2019-01-18,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,19.16666667,94.66666667,178.75,0.11,53.0,January,2019,
2019-01-18,RIS,2350,1301900,554,460.30111110000007,478.91666660000004,0.961129865,0,0,,2.916666667,96.25,218.83333330000002,671.75,0.14,33.0,January,2019,554.0
2019-01-18,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,34.83333333,279.1666667,658.0,0.05,42.0,January,2019,
2019-01-18,WISE,8221,4441683,540.2850018,1431.376667,1535.7663890000001,0.932027603,0,0,,0.0,202.5,607.4833332999999,2217.5,0.09,27.0,January,2019,540.2850018245955
2019-01-21,Client Transactions,808,252579,312.5977723,57.40527778,81.33333335,0.705802596,0,0,,0.0,0.0,69.83333333,151.16666669999998,0.0,46.0,January,2019,312.5977722772277
2019-01-21,Participant Transactions,2083,749933,360.0254441,176.8613889,196.83333340000001,0.898533728,0,0,,0.0,0.0,82.0,284.3333333,0.0,29.0,January,2019,360.02544407105137
2019-01-21,RAM,2345,1758663,749.9628998,239.4530555,313.75,0.76319699,0,0,,0.0,36.0,180.0,501.75,0.07,36.0,January,2019,749.9628997867804
2019-01-21,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,10.5,55.75,128.25,0.08,43.0,January,2019,
2019-01-21,RIS,1438,766454,533,322.5758333,336.0000001,0.960047123,0,0,,1.25,42.0,103.0,459.0,0.09,22.0,January,2019,533.0
2019-01-21,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,39.5,87.91666667,377.25,0.1,23.0,January,2019,
2019-01-21,WISE,5143,2629236,511.2261326,1178.795556,1226.416667,0.961170528,0,0,,0.0,178.0,496.66666669999995,1991.0,0.09,25.0,January,2019,511.2261326074276
2019-01-22,Client Transactions,2323,828593,356.6909169,177.8625,195.08333340000001,0.911725758,0,0,,0.0,46.75,185.41666669999998,380.5,0.12,49.0,January,2019,356.69091691777874
2019-01-22,Participant Transactions,2522,1171100,464.3536875,262.9697222,287.16666680000003,0.9157390209999999,0,0,,0.0,66.5,215.33333330000002,550.5,0.12,39.0,January,2019,464.35368754956386
2019-01-22,RAM,1999,1849771,925.3481741,403.1588889,422.2500001,0.954787185,0,0,,0.0,71.25,239.75,688.5,0.1,35.0,January,2019,925.3481740870435
2019-01-22,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,42.75,97.58333333,176.25,0.24,55.0,January,2019,
