date,month,year,bu,Conformance %,System Outage (hrs),Unplanned out %,Shrinkage %,aht,Attrition %
2019-01-01,January,2019,Client Transactions,,0.0,,,0.0,0.042553191
2019-01-01,January,2019,Participant Transactions,,0.0,,,0.0,0.033898305
2019-01-01,January,2019,RAM,0.7102342640000001,0.0,0.0,18.0,1226.902985074627,0.02247191
2019-01-01,January,2019,RCS PHONES,,0.0,,,,0.1
2019-01-01,January,2019,RIS,,0.0,,,35.0,0.015873016
2019-01-01,January,2019,SCS,,0.0,,,,
2019-01-01,January,2019,WISE,0.894738444,0.0,0.0,21.0,495.8787878787879,0.007194245
2019-01-02,January,2019,Client Transactions,0.889298094,0.0,0.06,30.0,390.38904593639575,0.042553191
2019-01-02,January,2019,Participant Transactions,0.86828774,0.0,0.1,35.0,445.6361378453896,0.033898305
2019-01-02,January,2019,RAM,0.99351068,0.0,0.07,23.0,949.4515998379911,0.02247191
2019-01-02,January,2019,RCS PHONES,,0.0,0.05,33.0,,0.1
2019-01-02,January,2019,RIS,0.86906782,0.0,0.11,28.0,564.0,0.015873016
2019-01-02,January,2019,SCS,,0.583333333,0.13,34.0,,
2019-01-02,January,2019,WISE,0.9376125829999999,0.0,0.14,25.0,568.8038719719817,0.007194245
2019-01-03,January,2019,Client Transactions,0.772239283,0.0,0.04,34.0,357.3407942238267,0.042553191
2019-01-03,January,2019,Participant Transactions,0.95184145,0.0,0.1,42.0,451.2472715933895,0.033898305
2019-01-03,January,2019,RAM,0.9687169170000001,0.0,0.1,27.0,847.1498783454988,0.02247191
2019-01-03,January,2019,RCS PHONES,,0.0,0.05,31.0,,0.1
2019-01-03,January,2019,RIS,0.825943902,0.5,0.09,22.0,549.0,0.015873016
2019-01-03,January,2019,SCS,,0.0,0.12,36.0,,
2019-01-03,January,2019,WISE,0.924559178,0.0,0.11,26.0,562.3946941612604,0.007194245
2019-01-04,January,2019,Client Transactions,0.833146444,0.0,0.04,30.0,334.4690468391746,0.042553191
2019-01-04,January,2019,Participant Transactions,0.8990462570000001,0.0,0.07,34.0,500.6995723449751,0.033898305
2019-01-04,January,2019,RAM,0.939204058,0.0,0.16,34.0,815.9954819277109,0.02247191
2019-01-04,January,2019,RCS PHONES,,0.0,0.17,38.0,,0.1
2019-01-04,January,2019,RIS,0.865136962,0.0,0.11,24.0,556.0,0.015873016
2019-01-04,January,2019,SCS,,0.0,0.14,38.0,,
2019-01-04,January,2019,WISE,0.929286545,0.0,0.12,28.0,553.4471959213402,0.007194245
2019-01-07,January,2019,Client Transactions,0.696961023,0.0,0.02,23.0,298.4615152429822,0.042553191
2019-01-07,January,2019,Participant Transactions,0.853688063,0.0,0.15,28.0,470.07860385925085,0.033898305
2019-01-07,January,2019,RAM,0.991614008,0.0,0.1,32.0,772.8074550817913,0.02247191
2019-01-07,January,2019,RCS PHONES,,0.0,0.17,37.0,,0.1
2019-01-07,January,2019,RIS,0.818515021,0.0,0.18,30.0,608.0,0.015873016
2019-01-07,January,2019,SCS,,0.0,0.12,32.0,,
2019-01-07,January,2019,WISE,0.9373408670000001,0.0,0.13,27.0,553.1301987297685,0.007194245
2019-01-08,January,2019,Client Transactions,0.724346582,0.0,0.0,34.0,349.2292115467471,0.042553191
2019-01-08,January,2019,Participant Transactions,0.9275598140000001,0.0,0.06,34.0,423.3334306569343,0.033898305
2019-01-08,January,2019,RAM,0.963579602,0.0,0.11,30.0,846.4693724163848,0.02247191
2019-01-08,January,2019,RCS PHONES,,0.0,0.12,34.0,,0.1
2019-01-08,January,2019,RIS,0.970301053,0.0,0.15,26.0,609.0,0.015873016
2019-01-08,January,2019,SCS,,0.0,0.12,33.0,,
2019-01-08,January,2019,WISE,0.9454541959999999,0.0,0.09,26.0,536.8428316478287,0.007194245
2019-01-09,January,2019,Client Transactions,0.8355329429999999,0.0,0.0,32.0,377.330303030303,0.042553191
2019-01-09,January,2019,Participant Transactions,0.9223845979999999,0.0,0.05,31.0,521.4086466165413,0.033898305
2019-01-09,January,2019,RAM,0.981485242,0.0,0.07,25.0,842.0966860266484,0.02247191
2019-01-09,January,2019,RCS PHONES,,0.0,0.17,39.0,,0.1
2019-01-09,January,2019,RIS,0.9822381259999999,0.0,0.11,23.0,625.0,0.015873016
2019-01-09,January,2019,SCS,,0.0,0.12,36.0,,
2019-01-09,January,2019,WISE,0.9543373629999999,0.0,0.09,26.0,537.7752463842314,0.007194245
2019-01-10,January,2019,Client Transactions,0.744465044,0.0,0.0,28.0,437.41002044989773,0.042553191
2019-01-10,January,2019,Participant Transactions,0.871267615,0.0,0.0,28.0,550.3552894211576,0.033898305
2019-01-10,January,2019,RAM,0.982933555,0.0,0.05,28.0,849.363392171911,0.02247191
2019-01-10,January,2019,RCS PHONES,,0.0,0.17,45.0,,0.1
2019-01-10,January,2019,RIS,0.959272592,0.0,0.15,26.0,588.0,0.015873016
2019-01-10,January,2019,SCS,,0.0,0.06,27.0,,
2019-01-10,January,2019,WISE,0.919985387,0.0,0.08,24.0,533.3784049424319,0.007194245
2019-01-11,January,2019,Client Transactions,0.7639786559999999,0.0,0.02,30.0,330.8631020098597,0.042553191
2019-01-11,January,2019,Participant Transactions,0.847326592,0.0,0.06,32.0,456.6493551760195,0.033898305
2019-01-11,January,2019,RAM,0.957734506,0.0,0.07,31.0,804.8436815193572,0.02247191
2019-01-11,January,2019,RCS PHONES,,0.0,0.28,48.0,,0.1
2019-01-11,January,2019,RIS,0.974907527,0.75,0.09,20.0,596.0,0.015873016
2019-01-11,January,2019,SCS,,0.0,0.18,39.0,,
2019-01-11,January,2019,WISE,0.927088127,0.716666667,0.11,27.0,531.3550105115627,0.007194245
2019-01-14,January,2019,Client Transactions,0.741275575,0.0,0.02,32.0,264.3333333333333,0.042553191
2019-01-14,January,2019,Participant Transactions,0.886265628,0.0,0.08,26.0,521.814083580125,0.033898305
2019-01-14,January,2019,RAM,0.9803077029999999,0.0,0.11,34.0,769.8233157199471,0.02247191
2019-01-14,January,2019,RCS PHONES,,0.0,0.12,42.0,,0.1
2019-01-14,January,2019,RIS,0.9311323359999999,0.0,0.11,25.0,592.0,0.015873016
2019-01-14,January,2019,SCS,,0.0,0.15,37.0,,
2019-01-14,January,2019,WISE,0.947026378,0.0,0.15,30.0,536.4400291272235,0.007194245
2019-01-15,January,2019,Client Transactions,0.7668171509999999,0.0,0.03,36.0,262.4207216153591,0.042553191
2019-01-15,January,2019,Participant Transactions,0.909917587,0.0,0.05,36.0,537.3956953642385,0.033898305
2019-01-15,January,2019,RAM,0.928852345,0.0,0.07,31.0,827.1889915319476,0.02247191
2019-01-15,January,2019,RCS PHONES,,0.0,0.09,43.0,,0.1
2019-01-15,January,2019,RIS,0.9371906879999999,0.0,0.14,30.0,558.0,0.015873016
2019-01-15,January,2019,SCS,,0.0,0.09,37.0,,
2019-01-15,January,2019,WISE,0.9174189229999999,0.0,0.06,20.0,533.3488569009314,0.007194245
2019-01-16,January,2019,Client Transactions,0.7638454379999999,0.0,0.02,33.0,362.2974269515918,0.042553191
2019-01-16,January,2019,Participant Transactions,0.583109333,0.0,0.01,43.0,460.63959783449343,0.033898305
2019-01-16,January,2019,RAM,0.9373937059999999,0.0,0.11,34.0,771.9542097488921,0.02247191
2019-01-16,January,2019,RCS PHONES,,0.0,0.16,52.0,,0.1
2019-01-16,January,2019,RIS,0.946533999,0.333333333,0.05,19.0,568.0,0.015873016
2019-01-16,January,2019,SCS,,0.0,0.03,31.0,,
2019-01-16,January,2019,WISE,0.931044194,0.0,0.05,22.0,535.9861145859395,0.007194245
2019-01-17,January,2019,Client Transactions,0.846902185,0.0,0.05,33.0,460.3790140208051,0.042553191
2019-01-17,January,2019,Participant Transactions,0.9782013970000001,0.0,0.02,34.0,557.7575503355705,0.033898305
2019-01-17,January,2019,RAM,0.993217182,0.0,0.1,33.0,837.9562013917315,0.02247191
2019-01-17,January,2019,RCS PHONES,,0.0,0.07,49.0,,0.1
2019-01-17,January,2019,RIS,0.930612807,0.0,0.08,23.0,555.0,0.015873016
2019-01-17,January,2019,SCS,,0.0,0.06,36.0,,
2019-01-17,January,2019,WISE,0.9534269459999999,2.25,0.04,23.0,528.7484891346278,0.007194245
2019-01-18,January,2019,Client Transactions,0.801181235,0.0,0.03,37.0,334.9145802650957,0.042553191
2019-01-18,January,2019,Participant Transactions,0.868159968,0.0,0.09,36.0,406.1989828353465,0.033898305
2019-01-18,January,2019,RAM,0.886848953,0.0,0.12,37.0,937.0827000447027,0.02247191
2019-01-18,January,2019,RCS PHONES,,0.0,0.11,53.0,,0.1
2019-01-18,January,2019,RIS,0.961129865,2.916666667,0.14,33.0,554.0,0.015873016
2019-01-18,January,2019,SCS,,0.0,0.05,42.0,,
2019-01-18,January,2019,WISE,0.932027603,0.0,0.09,27.0,540.2850018245955,0.007194245
2019-01-21,January,2019,Client Transactions,0.705802596,0.0,0.0,46.0,312.5977722772277,0.042553191
2019-01-21,January,2019,Participant Transactions,0.898533728,0.0,0.0,29.0,360.02544407105137,0.033898305
2019-01-21,January,2019,RAM,0.76319699,0.0,0.07,36.0,749.9628997867804,0.02247191
2019-01-21,January,2019,RCS PHONES,,0.0,0.08,43.0,,0.1
2019-01-21,January,2019,RIS,0.960047123,1.25,0.09,22.0,533.0,0.015873016
2019-01-21,January,2019,SCS,,0.0,0.1,23.0,,
2019-01-21,January,2019,WISE,0.961170528,0.0,0.09,25.0,511.2261326074276,0.007194245
2019-01-22,January,2019,Client Transactions,0.911725758,0.0,0.12,49.0,356.69091691777874,0.042553191
2019-01-22,January,2019,Participant Transactions,0.9157390209999999,0.0,0.12,39.0,464.35368754956386,0.033898305
2019-01-22,January,2019,RAM,0.954787185,0.0,0.1,35.0,925.3481740870435,0.02247191
2019-01-22,January,2019,RCS PHONES,,0.0,0.24,55.0,,0.1
2019-01-22,January,2019,RIS,0.965590253,0.0,0.19,32.0,575.0,0.015873016
2019-01-22,January,2019,SCS,,0.0,0.16,44.0,,
2019-01-22,January,2019,WISE,0.9409240459999999,0.0,0.2,31.0,537.2077102027251,0.007194245
2019-01-23,January,2019,Client Transactions,0.546811048,0.0,0.04,42.0,349.03826225587886,0.042553191
2019-01-23,January,2019,Participant Transactions,0.934167895,0.0,0.04,34.0,456.9506759225429,0.033898305
2019-01-23,January,2019,RAM,0.959540123,0.0,0.07,44.0,854.1795340338053,0.02247191
2019-01-23,January,2019,RCS PHONES,,0.0,0.11,49.0,,0.1
2019-01-23,January,2019,RIS,0.954028447,0.0,0.09,25.0,567.0,0.015873016
2019-01-23,January,2019,SCS,,0.0,0.09,44.0,,
2019-01-23,January,2019,WISE,0.9373700420000001,0.0,0.07,23.0,517.5714113243994,0.007194245
2019-01-24,January,2019,Client Transactions,1.010811486,0.0,0.05,40.0,363.6869731800766,0.042553191
2019-01-24,January,2019,Participant Transactions,0.8404055490000001,0.0,0.02,33.0,438.21147093250096,0.033898305
2019-01-24,January,2019,RAM,0.960283731,0.0,0.11,45.0,945.3925729442971,0.02247191
2019-01-24,January,2019,RCS PHONES,,0.0,0.1,43.0,,0.1
2019-01-24,January,2019,RIS,0.9561428190000001,0.0,0.07,22.0,579.0,0.015873016
2019-01-24,January,2019,SCS,,0.41666666700000005,0.09,42.0,,
2019-01-24,January,2019,WISE,0.9389626179999999,0.45,0.07,24.0,528.1302997569538,0.007194245
2019-01-25,January,2019,Client Transactions,0.7320829190000001,0.0,0.05,36.0,259.840311587147,0.042553191
2019-01-25,January,2019,Participant Transactions,0.8934695659999999,0.0,0.03,33.0,515.2351409978309,0.033898305
2019-01-25,January,2019,RAM,0.980271901,0.0,0.07,43.0,870.3739474987617,0.02247191
2019-01-25,January,2019,RCS PHONES,,0.0,0.05,38.0,,0.1
2019-01-25,January,2019,RIS,0.9546948120000001,0.0,0.12,28.0,582.0,0.015873016
2019-01-25,January,2019,SCS,,0.0,0.1,47.0,,
2019-01-25,January,2019,WISE,0.94711828,0.0,0.13,30.0,533.2885779631374,0.007194245
2019-01-28,January,2019,Client Transactions,0.760196078,0.0,0.06,33.0,234.9349930843707,0.042553191
2019-01-28,January,2019,Participant Transactions,0.930509804,0.0,0.04,20.0,456.20319573901463,0.033898305
2019-01-28,January,2019,RAM,0.955252964,0.0,0.04,27.0,844.1406933692359,0.02247191
2019-01-28,January,2019,RCS PHONES,,0.0,0.1,43.0,,0.1
2019-01-28,January,2019,RIS,0.8988749859999999,0.0,0.1,27.0,632.0,0.015873016
2019-01-28,January,2019,SCS,,0.0,0.12,36.0,,
2019-01-28,January,2019,WISE,0.944328492,0.0,0.13,26.0,532.3852748901511,0.007194245
2019-01-29,January,2019,Client Transactions,0.743982193,0.0,0.02,34.0,264.97292780748666,0.042553191
2019-01-29,January,2019,Participant Transactions,0.893411518,0.0,0.03,39.0,520.5627830382873,0.033898305
2019-01-29,January,2019,RAM,0.920812616,0.0,0.11,42.0,922.3623503808487,0.02247191
2019-01-29,January,2019,RCS PHONES,,0.0,0.05,38.0,,0.1
2019-01-29,January,2019,RIS,0.9116812129999999,0.0,0.15,36.0,627.0,0.015873016
2019-01-29,January,2019,SCS,,0.0,0.12,47.0,,
2019-01-29,January,2019,WISE,0.954025802,1.0,0.09,25.0,510.7448184818482,0.007194245
2019-01-30,January,2019,Client Transactions,0.805173622,0.0,0.07,32.0,350.25457376411055,0.042553191
2019-01-30,January,2019,Participant Transactions,0.82886094,0.0,0.03,37.0,511.0170305676856,0.033898305
2019-01-30,January,2019,RAM,0.9693902879999999,0.0,0.08,41.0,857.3285151116951,0.02247191
2019-01-30,January,2019,RCS PHONES,,0.0,0.17,52.0,,0.1
2019-01-30,January,2019,RIS,0.9641917640000001,0.0,0.08,34.0,617.0,0.015873016
2019-01-30,January,2019,SCS,,0.0,0.09,44.0,,
2019-01-30,January,2019,WISE,0.9481314409999999,0.26666666699999997,0.08,27.0,515.6627750939346,0.007194245
2019-01-31,January,2019,Client Transactions,0.782369743,0.0,0.02,29.0,277.0908527131783,0.042553191
2019-01-31,January,2019,Participant Transactions,0.8876128090000001,0.0,0.05,35.0,491.37848766680145,0.033898305
2019-01-31,January,2019,RAM,0.943356849,0.0,0.01,36.0,840.3574207893274,0.02247191
2019-01-31,January,2019,RCS PHONES,,0.0,0.1,43.0,,0.1
2019-01-31,January,2019,RIS,0.951728798,0.0,0.11,35.0,624.0,0.015873016
2019-01-31,January,2019,SCS,,0.0,0.06,40.0,,
2019-01-31,January,2019,WISE,0.9417501309999999,0.0,0.09,31.0,512.6160617551462,0.007194245
2019-02-01,February,2019,Client Transactions,0.686049652,0.0,0.02,30.0,240.825488997555,0.041666667
2019-02-01,February,2019,Participant Transactions,0.839451466,0.0,0.11,36.0,451.1879759519038,0.040816327
2019-02-01,February,2019,RAM,0.9322465609999999,0.0,0.05,34.0,908.7909222597779,0.018867925
