,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
0,2019-01-01,January,2019,Client Transactions,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.0,0.042553191
1,2019-01-01,January,2019,Participant Transactions,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.0,0.033898305
2,2019-01-01,January,2019,RAM,0.710234264,0.0,0%,18%,1226.902985074627,0.02247191
3,2019-01-01,January,2019,RCS PHONES,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.1
4,2019-01-01,January,2019,RIS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,35.0,0.015873016
5,2019-01-01,January,2019,SCS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,
6,2019-01-01,January,2019,WISE,0.894738444,0.0,0%,21%,495.8787878787879,0.007194245
7,2019-01-02,January,2019,Client Transactions,0.889298094,0.0,6%,30%,390.38904593639575,0.042553191
8,2019-01-02,January,2019,Participant Transactions,0.86828774,0.0,10%,35%,445.6361378453896,0.033898305
9,2019-01-02,January,2019,RAM,0.99351068,0.0,7%,23%,949.4515998379911,0.02247191
10,2019-01-02,January,2019,RCS PHONES,#DIV/0!,0.0,5%,33%,,0.1
11,2019-01-02,January,2019,RIS,0.86906782,0.0,11%,28%,564.0,0.015873016
12,2019-01-02,January,2019,SCS,#DIV/0!,0.583333333,13%,34%,,
13,2019-01-02,January,2019,WISE,0.937612583,0.0,14%,25%,568.8038719719817,0.007194245
14,2019-01-03,January,2019,Client Transactions,0.772239283,0.0,4%,34%,357.3407942238267,0.042553191
15,2019-01-03,January,2019,Participant Transactions,0.95184145,0.0,10%,42%,451.2472715933895,0.033898305
16,2019-01-03,January,2019,RAM,0.968716917,0.0,10%,27%,847.1498783454988,0.02247191
17,2019-01-03,January,2019,RCS PHONES,#DIV/0!,0.0,5%,31%,,0.1
18,2019-01-03,January,2019,RIS,0.825943902,0.5,9%,22%,549.0,0.015873016
